geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0007267	cell-cell signaling	http://amigo.geneontology.org/amigo/term/GO:0007267	1405	75	40.4783373652958	1.8528429002200428	8.32631152823173e-8	7.118163725485306e-4	154;367;575;760;1131;1896;2151;2281;2300;2706;2894;3090;3170;3280;3363;3487;3553;3557;3785;3786;3814;4129;4804;4842;4915;4923;5021;5152;5228;5678;5799;6317;6330;6331;6372;6376;6616;6657;6696;6861;7133;7447;7915;8091;8425;8448;8549;8572;8626;9001;9378;9982;23452;26232;27122;27123;27253;28514;50964;54894;55107;55959;56033;56130;56300;57586;59352;64101;79012;84073;115701;115908;169026;374946;441478	ADGRB1;ADRB2;ALDH5A1;ALPK2;ANGPTL2;ANO1;AR;BARX1;CA2;CAMKV;CHRM3;CTHRC1;CX3CL1;CXCL6;DKK2;DKK3;DLL1;DOC2A;DRAXIN;EDA;F2RL2;FBXO2;FGFBP1;FKBP1B;FOXA2;FOXL1;GJB2;GRID1;HAP1;HES1;HIC1;HMGA2;HTR7;IGFBP4;IL1B;IL1RN;IL36G;KCNQ2;KCNQ3;KISS1;LGR5;LGR6;LRRC4;LTBP4;MAOB;MYCBPAP;NGFR;NOS1;NRARP;NRXN1;NTRK2;NTSR1;OXTR;PCDH17;PCDHB6;PDE9A;PDLIM4;PGF;PSG9;PTPRN2;RNF43;SCN4B;SCN5A;SERPINB3;SLC30A8;SNAP25;SOST;SOX2;SPP1;SULF2;SYT13;SYT5;TNFRSF1B;TP63;VSNL1
GO:0007155	cell adhesion	http://amigo.geneontology.org/amigo/term/GO:0007155	1289	68	37.13635363976248	1.831089844189531	5.887422877681604e-7	0.0025165789090650014	182;575;683;942;1002;1010;1012;1272;1292;1296;1545;1896;2196;2303;3037;3111;3170;3280;3553;3557;3576;3676;3932;4345;4684;4897;4973;5212;5680;5818;6376;6404;6657;6696;7087;7216;7412;8515;8631;9071;9073;9378;9473;9638;10319;10630;11005;23149;26047;27253;28514;54587;56130;57575;57722;58494;64098;64101;79812;83872;84063;84868;91179;94025;129804;144100;253559;441478	ADGRB1;BST1;CADM2;CD200;CD86;CDH12;CDH13;CDH4;CLDN10;CLDN8;CNTN1;CNTNAP2;COL6A2;COL8A2;CX3CL1;CXCL8;CYP1B1;DLL1;EDA;FAT2;FBLN7;FCHO1;FEZ1;FOXA2;FOXC2;HAS2;HAVCR2;HES1;HLA-DOA;HMCN1;ICAM5;IGDCC4;IL1B;IL1RN;ITGA10;ITGA4;JAG1;JAM2;KIRREL2;LAMC3;LCK;LRRC4;MMRN2;MUC16;MXRA8;NCAM1;NECTIN1;NRARP;NRCAM;NRXN1;OLR1;PARVG;PCDH10;PCDH17;PCDHB6;PDPN;PLEKHA7;PSG11;SCARF2;SELPLG;SKAP1;SOX2;SPINK5;SPP1;THEMIS2;TRO;VCAM1;VIT
GO:0098609	cell-cell adhesion	http://amigo.geneontology.org/amigo/term/GO:0098609	812	48	23.39388607873323	2.0518181476328357	1.5871060560957331e-6	0.0045227232245208075	182;942;1002;1010;1012;1272;1296;1545;2196;3037;3111;3170;3280;3553;3557;3676;3932;4345;4897;4973;5680;5818;6376;6404;6657;7087;7216;7412;8515;8631;9071;9073;9378;10630;23149;27253;56130;57575;57722;58494;64101;83872;84063;84868;91179;144100;253559;441478	CADM2;CD200;CD86;CDH12;CDH13;CDH4;CLDN10;CLDN8;CNTN1;COL8A2;CX3CL1;CYP1B1;FAT2;FCHO1;FOXA2;HAS2;HAVCR2;HES1;HLA-DOA;HMCN1;ICAM5;IGDCC4;IL1B;IL1RN;ITGA10;ITGA4;JAG1;JAM2;KIRREL2;LCK;LRRC4;NECTIN1;NRARP;NRCAM;NRXN1;OLR1;PCDH10;PCDH17;PCDHB6;PDPN;PLEKHA7;PSG11;SCARF2;SELPLG;SKAP1;SOX2;TRO;VCAM1
GO:0019730	antimicrobial humoral response	http://amigo.geneontology.org/amigo/term/GO:0019730	66	11	1.9014734990103366	5.7849872773536894	2.552704475818916e-6	0.005455767640943979	2919;2920;3576;5266;5646;6372;6590;6700;11005;78989;84659	COLEC11;CXCL1;CXCL2;CXCL6;CXCL8;PI3;PRSS3;RNASE7;SLPI;SPINK5;SPRR2A
GO:0048646	anatomical structure formation involved in morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0048646	1020	54	29.386408621068835	1.8375841939829367	9.188212802964007e-6	0.013419303639586561	182;367;575;577;1012;1272;1296;1545;1896;2303;2324;3170;3280;3553;3576;3676;4804;4842;4846;4879;4897;5228;5818;6376;6657;6939;7111;8091;8463;8626;8842;8912;9982;10252;10411;10439;10630;10913;11005;11082;23136;28514;54922;58494;58529;64094;79143;79812;90139;90625;115908;219699;221981;441478	ADGRB1;ADGRB3;AR;CACNA1H;CDH13;CNTN1;COL8A2;CTHRC1;CX3CL1;CXCL8;CYP1B1;DLL1;EDA;EDAR;EPB41L3;ERVH48-1;ESM1;FGFBP1;FLT4;FOXA2;FOXC2;HES1;HMGA2;IL1B;ITGA4;JAG1;JAM2;MBOAT7;MMRN2;MYOZ1;NECTIN1;NGFR;NOS1;NOS3;NPPB;NRARP;NRCAM;OLFM1;PDPN;PGF;PROM1;RAPGEF3;RASIP1;SMOC2;SOX2;SPINK5;SPRY1;TCF15;TEAD2;THSD7A;TMOD1;TP63;TSPAN18;UNC5B
GO:0035295	tube development	http://amigo.geneontology.org/amigo/term/GO:0035295	969	52	27.917088190015395	1.8626584422439123	9.418156724472964e-6	0.013419303639586561	182;367;575;577;1012;1296;1545;1896;2300;2303;2324;2706;3037;3280;3553;3576;4804;4821;4846;4879;4897;4915;5021;5228;6376;7498;8091;8463;8549;8626;8842;9953;9982;10252;10411;10630;10913;11005;11082;28514;51676;54922;57333;64094;64399;79812;90139;115908;219699;221981;282679;441478	ADGRB1;ADGRB3;AQP11;AR;ASB2;CDH13;COL8A2;CTHRC1;CX3CL1;CXCL8;CYP1B1;DLL1;EDA;EDAR;ESM1;FGFBP1;FLT4;FOXC2;FOXL1;GJB2;HAS2;HES1;HHIP;HMGA2;HS3ST3B1;IL1B;JAG1;LGR5;MMRN2;NGFR;NKX2-2;NOS3;NPPB;NRARP;NRCAM;NTRK2;OXTR;PDPN;PGF;PROM1;RAPGEF3;RASIP1;RCN3;SMOC2;SPINK5;SPRY1;TEAD2;THSD7A;TP63;TSPAN18;UNC5B;XDH
GO:0035239	tube morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0035239	783	44	22.5583901473499	1.950493794663313	1.604905667440573e-5	0.01960048364421351	182;367;575;577;1012;1296;1545;1896;2303;2324;3037;3280;3553;3576;4804;4846;4879;4897;4915;5228;6376;7498;8091;8463;8549;8626;9953;9982;10252;10411;10913;11005;11082;28514;51676;54922;64094;64399;79812;90139;115908;219699;221981;441478	ADGRB1;ADGRB3;AR;ASB2;CDH13;COL8A2;CTHRC1;CX3CL1;CXCL8;CYP1B1;DLL1;EDA;EDAR;ESM1;FGFBP1;FLT4;FOXC2;HAS2;HES1;HHIP;HMGA2;HS3ST3B1;IL1B;JAG1;LGR5;MMRN2;NGFR;NOS3;NPPB;NRARP;NRCAM;NTRK2;PGF;RAPGEF3;RASIP1;SMOC2;SPINK5;SPRY1;TEAD2;THSD7A;TP63;TSPAN18;UNC5B;XDH
GO:0007409	axonogenesis	http://amigo.geneontology.org/amigo/term/GO:0007409	415	28	11.956234880140752	2.341874367699807	2.7184188989406026e-5	0.02189888219994335	575;658;1002;1272;3676;4684;4804;4897;4915;5454;5818;6616;6696;7345;9378;9638;10371;10439;10501;10509;23105;26053;56978;59352;90249;219699;284656;374946	ADGRB1;AUTS2;BMPR1B;CDH4;CNTN1;DRAXIN;EPHA10;FEZ1;FSTL4;ITGA4;LGR6;NCAM1;NECTIN1;NGFR;NRCAM;NRXN1;NTRK2;OLFM1;POU3F2;PRDM8;SEMA3A;SEMA4B;SEMA6B;SNAP25;SPP1;UCHL1;UNC5A;UNC5B
GO:0048514	blood vessel morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0048514	554	34	15.960853309874643	2.130211921624824	2.7260550333172408e-5	0.02189888219994335	182;575;577;1012;1296;1545;2303;2324;3037;3280;3553;3576;4804;4846;4879;4897;4915;5228;6376;7498;8091;8463;9982;10411;11005;11082;28514;54922;64094;79812;90139;219699;221981;441478	ADGRB1;ADGRB3;CDH13;COL8A2;CX3CL1;CXCL8;CYP1B1;DLL1;ESM1;FGFBP1;FLT4;FOXC2;HAS2;HES1;HMGA2;IL1B;JAG1;MMRN2;NGFR;NOS3;NPPB;NRARP;NRCAM;NTRK2;PGF;RAPGEF3;RASIP1;SMOC2;SPINK5;TEAD2;THSD7A;TSPAN18;UNC5B;XDH
GO:0048667	cell morphogenesis involved in neuron differentiation	http://amigo.geneontology.org/amigo/term/GO:0048667	531	33	15.298218605674071	2.1571139000301893	2.796744757714845e-5	0.02189888219994335	547;575;577;658;1002;1272;3280;3676;4647;4684;4804;4897;4915;5454;5818;6616;6696;7345;9378;9638;10371;10439;10501;10509;23105;25830;26053;56978;59352;90249;219699;284656;374946	ADGRB1;ADGRB3;AUTS2;BMPR1B;CDH4;CNTN1;DRAXIN;EPHA10;FEZ1;FSTL4;HES1;ITGA4;KIF1A;LGR6;MYO7A;NCAM1;NECTIN1;NGFR;NRCAM;NRXN1;NTRK2;OLFM1;POU3F2;PRDM8;SEMA3A;SEMA4B;SEMA6B;SNAP25;SPP1;SULT4A1;UCHL1;UNC5A;UNC5B
