NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLCO2A1	56	3.860578775405884	0.027063854	No	
row_1	OLR1	73	2.614121675491333	0.05580479	No	
row_2	COL3A1	1111	0.005495382007211447	0.04173829	No	
row_3	FGFR1	2239	9.014689130708575E-4	0.023898369	No	
row_4	FSTL1	2543	6.46699802018702E-4	0.040606264	No	
row_5	KCNJ8	2931	4.2040436528623104E-4	0.053792294	No	
row_6	LRPAP1	4092	1.434719597455114E-4	0.03456878	No	
row_7	PRG2	5558	3.876045229844749E-5	0.0025575436	No	
row_8	LUM	5618	3.7012876418884844E-5	0.029495617	No	
row_9	VAV2	6519	1.6440259059891105E-5	0.021173116	No	
row_10	PDGFA	8903	8.275155778392218E-7	-0.049327075	No	
row_11	CCND2	12363	-3.0243668334151153E-6	-0.16494067	No	
row_12	TNFRSF21	12596	-4.1270900510426145E-6	-0.14525597	No	
row_13	ITGAV	14686	-3.723124973475933E-5	-0.20342962	Yes	
row_14	PGLYRP1	15290	-6.017516352585517E-5	-0.19929983	Yes	
row_15	MSX1	15335	-6.2390165112447E-5	-0.17173284	Yes	
row_16	APP	15500	-7.208964234450832E-5	-0.1491971	Yes	
row_17	PTK2	15513	-7.296439434867352E-5	-0.12028846	Yes	
row_18	POSTN	16054	-1.0867708624573424E-4	-0.113517255	Yes	
row_19	TIMP1	16473	-1.4895819185767323E-4	-0.10163096	Yes	
row_20	LPL	18312	-6.38144148979336E-4	-0.14928095	Yes	
row_21	VCAN	18969	-0.0010946267284452915	-0.14737327	Yes	
row_22	COL5A2	19464	-0.0017127848695963621	-0.13867344	Yes	
row_23	VTN	20476	-0.004359936807304621	-0.15164983	Yes	
row_24	NRP1	20580	-0.004886372946202755	-0.12655655	Yes	
row_25	JAG2	22451	-0.07335503399372101	-0.1755482	Yes	
row_26	VEGFA	22503	-0.0832754522562027	-0.1482747	Yes	
row_27	S100A4	22868	-0.2143978625535965	-0.13412435	Yes	
row_28	SERPINA5	23407	-1.3171926736831665	-0.1272693	Yes	
row_29	STC1	23468	-1.7105664014816284	-0.10037316	Yes	
row_30	THBD	23505	-1.965354084968567	-0.07247076	Yes	
row_31	JAG1	23726	-6.113379955291748	-0.05228293	Yes	
row_32	SPP1	23771	-8.11677074432373	-0.02471595	Yes	
row_33	CXCL6	23794	-9.305841445922852	0.0037734215	Yes	
