NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CADM2	30	5.5841965675354	0.004110468	No	
row_1	CLDN9	371	0.0734572485089302	-0.0048597846	No	
row_2	CLDN6	376	0.07131045311689377	3.4777608E-4	No	
row_3	ARHGEF6	563	0.027962015941739082	-0.002124312	No	
row_4	SLIT2	713	0.015561886131763458	-0.0030351528	No	
row_5	MYH10	741	0.014445053413510323	0.0012019026	No	
row_6	TGFBI	994	0.007370814215391874	-0.004055113	No	
row_7	EPB41L2	1050	0.006467780098319054	-9.99542E-4	No	
row_8	FLNC	1090	0.00581591110676527	0.002731163	No	
row_9	ACTC1	1123	0.005413908511400223	0.0067572393	No	
row_10	CD99	1169	0.0049117752350866795	0.010234769	No	
row_11	AKT2	1240	0.004324302077293396	0.012657402	No	
row_12	RSU1	1279	0.004050881136208773	0.016430303	No	
row_13	AMH	1408	0.003219529055058956	0.016405575	No	
row_14	KCNH2	1536	0.0025644521228969097	0.016423045	No	
row_15	PBX2	1578	0.0023906000424176455	0.020069357	No	
row_16	MAPK14	1691	0.0019639411475509405	0.020719763	No	
row_17	MVD	1705	0.001886245678178966	0.025547562	No	
row_18	DHX16	1839	0.0015545692294836044	0.025311854	No	
row_19	INSIG1	1978	0.0013043616199865937	0.02486517	No	
row_20	INPPL1	1993	0.00127899379003793	0.02965077	No	
row_21	CLDN7	2031	0.0012020788853988051	0.033465866	No	
row_22	CRB3	2055	0.0011703207856044173	0.037871707	No	
row_23	JAM3	2076	0.0011442259419709444	0.042404134	No	
row_24	PARVA	2226	9.162880014628172E-4	0.041493293	No	
row_25	GAMT	2379	7.680185954086483E-4	0.040455863	No	
row_26	ADRA1B	2443	7.232076022773981E-4	0.04317387	No	
row_27	CLDN4	2607	6.048914510756731E-4	0.041672286	No	
row_28	ZYX	2689	5.527300527319312E-4	0.043630764	No	
row_29	PFN1	2736	5.223375046625733E-4	0.047066096	No	
row_30	CDK8	2837	4.6894533443264663E-4	0.048222855	No	
row_31	SYMPK	2962	4.070294089615345E-4	0.048366908	No	
row_32	VASP	3138	3.413698577787727E-4	0.046358977	No	
row_33	ACTN1	3223	3.15146055072546E-4	0.048190866	No	
row_34	MAPK13	3410	2.6436016196385026E-4	0.045718778	No	
row_35	NECTIN2	3477	2.4860433768481016E-4	0.048310194	No	
row_36	BAIAP2	3542	2.3503167903982103E-4	0.050986003	No	
row_37	CTNNA1	3716	1.9988215353805572E-4	0.04906246	No	
row_38	MPZL1	3726	1.982156391022727E-4	0.054059044	No	
row_39	LIMA1	3731	1.9731151405721903E-4	0.059266604	No	
row_40	MYL12B	3740	1.9552276353351772E-4	0.06430538	No	
row_41	ACTG1	3863	1.7598961130715907E-4	0.06453383	No	
row_42	ITGB1	4093	1.4342581562232226E-4	0.060247317	No	
row_43	CERCAM	4137	1.3756963016930968E-4	0.06380924	No	
row_44	CDH1	4425	1.0584596020635217E-4	0.057075366	No	
row_45	DSC1	4553	9.242775558959693E-5	0.057092838	No	
row_46	ACTN4	4669	8.334706944879144E-5	0.057616655	No	
row_47	ADAM15	4943	6.611777644138783E-5	0.051473524	No	
row_48	TJP1	4980	6.387961911968887E-5	0.05533082	No	
row_49	ICAM1	5005	6.254373874980956E-5	0.05969446	No	
row_50	RRAS	5027	6.17422119830735E-5	0.064184695	No	
row_51	GTF2F1	5311	4.8064146540127695E-5	0.057619605	No	
row_52	MAP4K2	5575	3.8393845898099244E-5	0.051898435	No	
row_53	GNAI2	5779	3.246762935305014E-5	0.048709016	No	
row_54	AKT3	6104	2.4270419089589268E-5	0.040413897	No	
row_55	PIK3R3	6316	2.0159417545073666E-5	0.03688691	No	
row_56	FBN1	6336	1.9839106244035065E-5	0.041461535	No	
row_57	VAV2	6519	1.6440259059891105E-5	0.039158233	No	
row_58	SHC1	6576	1.559046359034255E-5	0.042171605	No	
row_59	CD34	6853	1.1822069609479513E-5	0.03590189	No	
row_60	ACTB	7123	8.997507393360138E-6	0.029927544	No	
row_61	B4GALT1	7143	8.837053428578656E-6	0.034502167	No	
row_62	MYH9	7233	7.970244951138739E-6	0.03612308	No	
row_63	EXOC4	7343	7.1439681050833315E-6	0.036900073	No	
row_64	STX4	7425	6.589996701222844E-6	0.03885855	No	
row_65	TSPAN4	7584	5.314190730132395E-6	0.037567947	No	
