NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V0A4	526	0.03366853669285774	0.0017485416	No	
row_1	RTN4RL1	729	0.014836601912975311	0.017085977	No	
row_2	ADAM10	2299	8.45039845444262E-4	-0.024909977	No	
row_3	ATP8B1	2355	7.894451264292002E-4	-0.0034072094	No	
row_4	GATA3	2723	5.309311090968549E-4	0.005009956	No	
row_5	NCOA6	2949	4.1440376662649214E-4	0.019382749	No	
row_6	HSPB1	2984	3.981765767093748E-4	0.04176628	No	
row_7	LYN	3382	2.7163553750142455E-4	0.048925214	No	
row_8	ADIPOR2	4178	1.3305498578120023E-4	0.039391614	No	
row_9	AKAP7	4555	9.239748032996431E-5	0.047431313	No	
row_10	FLOT2	5338	4.695820462075062E-5	0.03844295	No	
row_11	PKHD1	6474	1.7180344002554193E-5	0.014649403	No	
row_12	B4GALT1	7143	8.837053428578656E-6	0.010442318	No	
row_13	SCUBE1	8975	6.914576147210028E-7	-0.042542186	No	
row_14	BRCA1	11778	-1.198733343699132E-6	-0.13625143	No	
row_15	EFNA5	12440	-3.3189592159033054E-6	-0.14016493	No	
row_16	IL2RG	13498	-1.1784924936364405E-5	-0.16068707	No	
row_17	GSTM3	13519	-1.199424332298804E-5	-0.13771637	No	
row_18	LYPD3	14924	-4.51390296802856E-5	-0.17279206	No	
row_19	APP	15500	-7.208964234450832E-5	-0.17309862	No	
row_20	MAL	15628	-7.93956860434264E-5	-0.15461561	No	
row_21	TMEM8B	17047	-2.2857241856399924E-4	-0.19027847	No	
row_22	CD160	17578	-3.456188424024731E-4	-0.1886977	No	
row_23	PCSK9	18349	-6.59123994410038E-4	-0.19718276	Yes	
row_24	SRPX	18521	-7.536547491326928E-4	-0.18054515	Yes	
row_25	IL2RB	18722	-8.844807744026184E-4	-0.16512384	Yes	
row_26	AFAP1L2	18978	-0.0011085601290687919	-0.15200928	Yes	
row_27	PLAUR	19453	-0.001691406941972673	-0.1480798	Yes	
row_28	GHRL	20015	-0.0028464042115956545	-0.1477992	Yes	
row_29	CROCC	20247	-0.0034773226361721754	-0.13367805	Yes	
row_30	EPHB4	20742	-0.00588191719725728	-0.1305874	Yes	
row_31	SLC34A3	21007	-0.00784526951611042	-0.1178503	Yes	
row_32	SLC2A4	21014	-0.007863861508667469	-0.094292425	Yes	
row_33	SHROOM2	22315	-0.05601022392511368	-0.12500624	Yes	
row_34	RHCG	22569	-0.09752338379621506	-0.1118078	Yes	
row_35	NTNG1	22729	-0.14837199449539185	-0.0946669	Yes	
row_36	GAS1	22856	-0.20579256117343903	-0.076141946	Yes	
row_37	MDGA1	23112	-0.4137461483478546	-0.06302738	Yes	
row_38	DCBLD2	23199	-0.5733379125595093	-0.04282479	Yes	
row_39	THY1	23358	-1.0698453187942505	-0.025641948	Yes	
row_40	SULF2	23503	-1.9593174457550049	-0.007871931	Yes	
row_41	CX3CL1	23857	-15.492730140686035	0.0011324084	Yes	
