NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCYT2	297	0.13281652331352234	0.0016128515	Yes	
row_1	FDFT1	478	0.043467532843351364	0.00813878	Yes	
row_2	IDI1	629	0.02087680622935295	0.01592447	Yes	
row_3	CXCL16	727	0.014882401563227177	0.025935743	Yes	
row_4	EBP	787	0.01254956517368555	0.037542716	Yes	
row_5	ACAT2	790	0.012365809641778469	0.05154324	Yes	
row_6	SEMA3B	801	0.012077897787094116	0.065207824	Yes	
row_7	LSS	865	0.010055244900286198	0.07664683	Yes	
row_8	HMGCR	1174	0.004893823992460966	0.07779776	Yes	
row_9	SQLE	1314	0.0038752856198698282	0.08604537	Yes	
row_10	TM7SF2	1360	0.0035158873070031404	0.098240234	Yes	
row_11	FDPS	1380	0.0034169862046837807	0.11152689	Yes	
row_12	DHCR7	1493	0.00279140193015337	0.12090828	Yes	
row_13	MVK	1566	0.0024507197085767984	0.13196936	Yes	
row_14	MVD	1705	0.001886245678178966	0.14025895	Yes	
row_15	SREBF2	1781	0.001690181321464479	0.15119405	Yes	
row_16	ATF5	2024	0.0012121532345190644	0.15511647	Yes	
row_17	CYP51A1	2519	6.648867856711149E-4	0.14845687	Yes	
row_18	HMGCS1	2748	5.176531849429011E-4	0.15296718	Yes	
row_19	SC5D	2802	4.886490060016513E-4	0.16482611	Yes	
row_20	HSD17B7	2845	4.6601457870565355E-4	0.17714694	Yes	
row_21	STX5	3527	2.384400722803548E-4	0.16263483	Yes	
row_22	CTNNB1	3708	2.0171450159978122E-4	0.16916075	Yes	
row_23	ACSS2	3779	1.9058097677771002E-4	0.18030581	Yes	
row_24	S100A11	3820	1.8220972560811788E-4	0.19271064	Yes	
row_25	ACTG1	3863	1.7598961130715907E-4	0.20503147	Yes	
row_26	FBXO6	3885	1.726903865346685E-4	0.21823415	Yes	
row_27	NSDHL	4269	1.228209148393944E-4	0.21623568	Yes	
row_28	SCD	4355	1.1344554513925686E-4	0.22675085	Yes	
row_29	TNFRSF12A	4709	8.109183545457199E-5	0.22601216	Yes	
row_30	FASN	4798	7.425867079291493E-5	0.23640135	Yes	
row_31	CHKA	4826	7.287945481948555E-5	0.24935207	Yes	
row_32	CLU	5400	4.4023148802807555E-5	0.2393751	Yes	
row_33	PMVK	5484	4.096917837159708E-5	0.24997427	Yes	
row_34	STARD4	6444	1.7712047338136472E-5	0.22378834	Yes	
row_35	ATXN2	6471	1.7263490008190274E-5	0.23678106	Yes	
row_36	CD9	6923	1.120958859246457E-5	0.23192713	Yes	
row_37	TP53INP1	6975	1.0639011634339113E-5	0.24387003	Yes	
row_38	PLSCR1	7192	8.301066372951027E-6	0.24888425	Yes	
row_39	CBS	7422	6.618774932576343E-6	0.25335255	Yes	
row_40	GPX8	7847	3.720719632838154E-6	0.24963242	Yes	
row_41	ETHE1	8385	1.7935374216904165E-6	0.24116716	Yes	
row_42	ATF3	8402	1.7594337577975239E-6	0.25457978	Yes	
row_43	TMEM97	9083	5.471501935971901E-7	0.24010967	No	
row_44	GUSB	9616	5.591132179461056E-8	0.23185438	No	
row_45	ANXA13	9872	0.0	0.2352309	No	
row_46	MAL2	11921	-1.5179074353000033E-6	0.16331556	No	
row_47	ANXA5	11986	-1.7171419131045695E-6	0.17471258	No	
row_48	PPARG	11998	-1.7441911950299982E-6	0.18833518	No	
row_49	FABP5	12597	-4.128843556827633E-6	0.1773084	No	
row_50	LGMN	12708	-4.860029548581224E-6	0.18677378	No	
row_51	LGALS3	13609	-1.3074433809379116E-5	0.16306539	No	
row_52	CPEB2	14519	-3.170067066093907E-5	0.13897908	No	
row_53	NFIL3	14742	-3.8937661884119734E-5	0.14374134	No	
row_54	GNAI1	15004	-4.807207005796954E-5	0.1468659	No	
row_55	PDK3	15231	-5.726371819037013E-5	0.15146019	No	
row_56	PNRC1	15999	-1.0418247256893665E-4	0.13333675	No	
row_57	LDLR	16576	-1.6073721053544432E-4	0.12323381	No	
row_58	TRIB3	16650	-1.6997654165606946E-4	0.13425289	No	
row_59	ECH1	17043	-2.2809189977124333E-4	0.1318765	No	
row_60	ABCA2	17201	-2.5982927763834596E-4	0.13936824	No	
row_61	ALCAM	18162	-5.569474888034165E-4	0.11314032	No	
row_62	LPL	18312	-6.38144148979336E-4	0.12096801	No	
row_63	ERRFI1	18707	-8.758638869039714E-4	0.11850762	No	
row_64	PLAUR	19453	-0.001691406941972673	0.10130801	No	
row_65	FADS2	21666	-0.018016448244452477	0.022505982	No	
row_66	GLDC	21958	-0.028755836188793182	0.024370786	No	
row_67	ANTXR2	22435	-0.07075252383947372	0.01846705	No	
row_68	ALDOC	23094	-0.3942207992076874	0.0049207523	No	
row_69	GSTM2	23515	-2.1081504821777344	0.0013685748	No	
row_70	JAG1	23726	-6.113379955291748	0.0066347397	No	
