NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OLR1	73	2.614121675491333	0.0055494625	No	
row_1	DPP4	142	0.7400414347648621	0.011309283	No	
row_2	SERPINE1	176	0.46292269229888916	0.01854161	No	
row_3	FN1	249	0.22284042835235596	0.024133144	No	
row_4	SPARC	419	0.057786066085100174	0.025643732	No	
row_5	MMP3	446	0.050185319036245346	0.03317056	No	
row_6	RGN	509	0.036145057529211044	0.03918281	No	
row_7	S100A13	554	0.028941983357071877	0.04595235	No	
row_8	F3	1012	0.007078029680997133	0.035346314	No	
row_9	ARF4	1532	0.002608499489724636	0.02213184	No	
row_10	PROZ	1926	0.0013764036120846868	0.014218389	No	
row_11	PLEK	1935	0.001367485267110169	0.022502506	No	
row_12	WDR1	2038	0.0011974612716585398	0.026831891	No	
row_13	ISCU	2107	0.0010949847055599093	0.03259171	No	
row_14	TF	2373	7.755373953841627E-4	0.030063426	No	
row_15	CAPN5	2441	7.238160469569266E-4	0.035865318	No	
row_16	CFI	2591	6.149815744720399E-4	0.03821734	No	
row_17	LRP1	2718	5.327847902663052E-4	0.041537005	No	
row_18	USP11	3267	3.017778799403459E-4	0.027102455	No	
row_19	CAPN2	3343	2.813587780110538E-4	0.032567773	No	
row_20	SIRT2	4130	1.3838511949870735E-4	0.008120181	No	
row_21	PROS1	4240	1.262875593965873E-4	0.012155066	No	
row_22	RABIF	4309	1.1876066128024831E-4	0.017914886	No	
row_23	DCT	4474	1.0019397450378165E-4	0.019635832	No	
row_24	APOC1	4512	9.595415758667514E-5	0.026699873	No	
row_25	RAC1	4655	8.410370355704799E-5	0.029346395	No	
row_26	CTSE	4806	7.374054257525131E-5	0.031656343	No	
row_27	MSRB2	5205	5.27619085914921E-5	0.023532534	No	
row_28	C8G	5266	4.998828444513492E-5	0.029628927	No	
row_29	CLU	5400	4.4023148802807555E-5	0.03265409	No	
row_30	CFD	5406	4.3793868826469406E-5	0.041064426	No	
row_31	CASP9	5417	4.327664282754995E-5	0.049264397	No	
row_32	CPQ	5592	3.772838681470603E-5	0.050564628	No	
row_33	PDGFB	6118	2.409986154816579E-5	0.037097726	No	
row_34	FBN1	6336	1.9839106244035065E-5	0.036588877	No	
row_35	SERPING1	6347	1.9591665477491915E-5	0.04478885	No	
row_36	FURIN	6866	1.1724775504262652E-5	0.031616446	No	
row_37	CD9	6923	1.120958859246457E-5	0.03788113	No	
row_38	TIMP3	7031	9.946070349542424E-6	0.042000156	No	
row_39	F2	7386	6.8422232288867235E-6	0.035727497	No	
row_40	THBS1	8348	1.8924768028227845E-6	0.003917372	No	
row_41	KLF7	8783	1.0187709449382965E-6	-0.0057210154	No	
row_42	CTSH	9163	4.285246575363999E-7	-0.013045465	No	
row_43	PEF1	9342	2.1605771394206386E-7	-0.011913521	No	
row_44	APOA1	9882	0.0	-0.025969427	No	
row_45	CPB2	9940	0.0	-0.01974682	No	
row_46	MEP1A	10194	0.0	-0.021770246	No	
row_47	CTSO	10811	-2.0378262632902988E-8	-0.039065666	No	
row_48	ANG	11110	-2.0600614902832604E-7	-0.042982314	No	
row_49	GNG12	11183	-2.7401139846006117E-7	-0.03739078	No	
row_50	F8	11221	-3.134559278805682E-7	-0.03032674	No	
row_51	ANXA1	11427	-5.826468054692668E-7	-0.030330729	No	
row_52	LTA4H	11640	-9.336037578577816E-7	-0.03062922	No	
row_53	GNB2	12092	-2.066023625957314E-6	-0.040982824	No	
row_54	LGMN	12708	-4.860029548581224E-6	-0.058236174	No	
row_55	FGA	12897	-6.130357178335544E-6	-0.057524946	No	
row_56	MASP2	13336	-1.0019460205512587E-5	-0.06733162	No	
row_57	CSRP1	13483	-1.1626282685028855E-5	-0.064853385	No	
row_58	ADAM9	13669	-1.3942144505563192E-5	-0.06401594	No	
row_59	PREP	13858	-1.6988662537187338E-5	-0.063304715	No	
row_60	PRSS23	14100	-2.1367308363551274E-5	-0.064823285	No	
row_61	FYN	14141	-2.2459009414887987E-5	-0.057885457	No	
row_62	BMP1	14372	-2.8043650672771037E-5	-0.058941234	No	
row_63	TFPI2	14532	-3.2240026484942064E-5	-0.05700993	No	
row_64	F10	15278	-5.965919262962416E-5	-0.07973259	No	
row_65	C1R	15972	-1.018619368551299E-4	-0.10026752	No	
row_66	TMPRSS6	15984	-1.0257939720759168E-4	-0.09210962	No	
row_67	COMP	16208	-1.2209013220854104E-4	-0.0928709	No	
row_68	TIMP1	16473	-1.4895819185767323E-4	-0.09535711	No	
row_69	MMP15	16708	-1.7680623568594456E-4	-0.096581176	No	
row_70	ITGA2	16732	-1.8008820188697428E-4	-0.08892813	No	
row_71	GSN	16741	-1.8055854889098555E-4	-0.08064402	No	
row_72	HNF4A	17082	-2.345560642424971E-4	-0.08632767	No	
row_73	KLK8	17140	-2.4435287923552096E-4	-0.08010507	No	
