NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ERCC2	202	0.3383762538433075	-0.0016598896	Yes	
row_1	CDA	460	0.04711243882775307	-0.0056366418	Yes	
row_2	PDE6G	498	0.03823564946651459	-3.4594338E-4	Yes	
row_3	NELFE	513	0.0352604053914547	0.005913625	Yes	
row_4	DDB2	843	0.010560999624431133	-0.0010961111	Yes	
row_5	RRM2B	897	0.009367339313030243	0.0035205907	Yes	
row_6	ITPA	1233	0.0043532284907996655	-0.003741894	Yes	
row_7	RFC3	1510	0.0027000478003174067	-0.008519017	Yes	
row_8	SURF1	1627	0.002164477715268731	-0.0065561756	Yes	
row_9	SUPT5H	1730	0.0018042543670162559	-0.0040035876	Yes	
row_10	POLH	1832	0.001575229107402265	-0.001408875	Yes	
row_11	POLD1	2125	0.0010622774716466665	-0.0068599945	Yes	
row_12	APRT	2157	0.0010133523028343916	-0.0013165473	Yes	
row_13	ADA	2234	9.05692286323756E-4	0.0023312848	Yes	
row_14	POLR2G	2396	7.467817631550133E-4	0.0023985112	Yes	
row_15	POLR1D	2462	7.053108420222998E-4	0.0065097157	Yes	
row_16	PCNA	2625	5.955628585070372E-4	0.006534817	Yes	
row_17	LIG1	2758	5.137072876095772E-4	0.007823662	Yes	
row_18	TYMS	2941	4.176038200967014E-4	0.007006268	Yes	
row_19	POLR1C	3012	3.8706514169462025E-4	0.010906848	Yes	
row_20	USP11	3267	3.017778799403459E-4	0.007056471	Yes	
row_21	POLR2H	3276	2.996745170094073E-4	0.013568788	Yes	
row_22	POLR2I	3377	2.72690987912938E-4	0.016205626	Yes	
row_23	ZNF707	3406	2.654521958902478E-4	0.021875447	Yes	
row_24	SEC61A1	3486	2.4701718939468265E-4	0.025396904	Yes	
row_25	DCTN4	3586	2.2451528639066964E-4	0.028075866	Yes	
row_26	GTF2B	3803	1.85401615453884E-4	0.02582623	Yes	
row_27	PNP	3816	1.827414525905624E-4	0.032170046	Yes	
row_28	RPA2	3904	1.7096892406698316E-4	0.035354506	Yes	
row_29	TAF13	4268	1.2299418449401855E-4	0.026912529	Yes	
row_30	STX3	4302	1.1973444634350017E-4	0.032371726	Yes	
row_31	GTF2H1	4330	1.1624410399235785E-4	0.038083673	Yes	
row_32	POLR2E	4346	1.1484999413369223E-4	0.044301115	Yes	
row_33	GUK1	4689	8.219238952733576E-5	0.036743756	Yes	
row_34	TP53	4829	7.270059722941369E-5	0.03773773	Yes	
row_35	ARL6IP1	4878	6.952093099243939E-5	0.042565055	Yes	
row_36	GMPR2	4976	6.433114322135225E-5	0.045328267	Yes	
row_37	TAF10	4997	6.306313298409805E-5	0.051335085	Yes	
row_38	ERCC5	5043	6.114790448918939E-5	0.056288786	Yes	
row_39	GTF2F1	5311	4.8064146540127695E-5	0.051890787	Yes	
