NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GLRX	94	1.6086630821228027	0.0013810141	No	
row_1	VLDLR	112	1.1753650903701782	0.0060112476	No	
row_2	SERPINE1	176	0.46292269229888916	0.008700389	No	
row_3	FBP1	200	0.34762391448020935	0.013077437	No	
row_4	COL5A1	293	0.13387711346149445	0.014542846	No	
row_5	IGFBP3	323	0.1049029603600502	0.018666709	No	
row_6	PLAC8	330	0.09543754160404205	0.023761116	No	
row_7	PFKP	535	0.03219790384173393	0.020500388	No	
row_8	SLC2A3	682	0.016988329589366913	0.019687124	No	
row_9	HMOX1	800	0.01210943702608347	0.020097593	No	
row_10	TPD52	831	0.01099755521863699	0.024179256	No	
row_11	TGFBI	994	0.007370814215391874	0.022690829	No	
row_12	F3	1012	0.007078029680997133	0.027321063	No	
row_13	GYS1	1346	0.003592584514990449	0.018616838	No	
row_14	SDC2	1490	0.002795399399474263	0.017930167	No	
row_15	NOCT	1621	0.0021799576934427023	0.017792065	No	
row_16	PFKL	1725	0.0018302099779248238	0.018793302	No	
row_17	PPARGC1A	1728	0.0018198888283222914	0.0240565	No	
row_18	PIM1	1782	0.001689175725914538	0.027167616	No	
row_19	B3GALT6	1833	0.0015704823890700936	0.030405328	No	
row_20	SLC25A1	1851	0.0015199703630059958	0.03503556	No	
row_21	SCARB1	1930	0.0013728846097365022	0.03709174	No	
row_22	GCNT2	2160	0.0010008724639192224	0.03277607	No	
row_23	GALK1	2251	8.908030577003956E-4	0.034325875	No	
row_24	UGP2	2401	7.452323916368186E-4	0.033386018	No	
row_25	NDST1	2414	7.37903465051204E-4	0.038227238	No	
row_26	FOSL2	2504	6.728433072566986E-4	0.03981924	No	
row_27	EFNA1	2580	6.221511284820735E-4	0.04200201	No	
row_28	EDN2	2642	5.853729089722037E-4	0.04477555	No	
row_29	KLF6	2768	5.081307608634233E-4	0.044848435	No	
row_30	CITED2	2834	4.7021740465424955E-4	0.04745318	No	
row_31	IRS2	3000	3.906365018337965E-4	0.045838162	No	
row_32	FOXO3	3229	3.1178686185739934E-4	0.041564688	No	
row_33	SLC6A6	3396	2.679582394193858E-4	0.039907474	No	
row_34	LXN	3811	1.8370877660345286E-4	0.027785238	No	
row_35	XPNPEP1	4129	1.3858906459063292E-4	0.019756174	No	
row_36	HDLBP	4223	1.279811840504408E-4	0.021179385	No	
row_37	GRHPR	4279	1.222586870426312E-4	0.02420611	No	
row_38	CHST3	4283	1.2201330537209287E-4	0.02942711	No	
row_39	MAP3K1	4422	1.0616906365612522E-4	0.028951427	No	
row_40	CASP6	4500	9.750304889166728E-5	0.031049801	No	
row_41	IL6	4789	7.497647311538458E-5	0.02424447	No	
row_42	FOS	4801	7.410618127323687E-5	0.02912789	No	
row_43	AK4	4936	6.638420018134639E-5	0.028820997	No	
row_44	ETS1	5112	5.74346340727061E-5	0.026784003	No	
row_45	RBPJ	5719	3.432571975281462E-5	0.006559817	No	
row_46	GAPDH	5823	3.126031515421346E-5	0.007561052	No	
row_47	ADM	5865	3.0195064027793705E-5	0.011178542	No	
row_48	ANXA2	5907	2.945582673419267E-5	0.014796032	No	
row_49	PDGFB	6118	2.409986154816579E-5	0.011282118	No	
row_50	ILVBL	6250	2.1499910872080363E-5	0.011101819	No	
row_51	PPP1R15A	6261	2.131651490344666E-5	0.016027436	No	
row_52	NAGK	6609	1.5072048881847877E-5	0.006732444	No	
row_53	JUN	6644	1.4450150047196075E-5	0.010645317	No	
row_54	PAM	6751	1.3127158126735594E-5	0.011519959	No	
row_55	EXT1	7085	9.388842045154888E-6	0.002815734	No	
row_56	MYH9	7233	7.970244951138739E-6	0.0019602724	No	
row_57	CAV1	7470	6.162631507322658E-6	-0.0026507804	No	
row_58	RRAGD	7605	5.083413270767778E-6	-0.0029576723	No	
row_59	LDHA	7723	4.418299340613885E-6	-0.0025472043	No	
row_60	PGM1	7825	3.8475509427371435E-6	-0.0014615738	No	
row_61	PGM2	7917	3.344891638334957E-6	4.6033354E-5	No	
row_62	SIAH2	8004	3.044488721570815E-6	0.0017646287	No	
row_63	ATF3	8402	1.7594337577975239E-6	-0.009640247	No	
row_64	CCNG2	8725	1.1424183412600541E-6	-0.017880298	No	
row_65	KLF7	8783	1.0187709449382965E-6	-0.01493797	No	
row_66	GBE1	8892	8.39697122501093E-7	-0.014147723	No	
row_67	HSPA5	8976	6.896489139762707E-7	-0.012302535	No	
row_68	KDELR3	9115	5.018209776608273E-7	-0.012778218	No	
row_69	BHLHE40	9339	2.1975198194468248E-7	-0.0168407	No	
row_70	GAA	9343	2.154944382937174E-7	-0.0116197	No	
row_71	GPI	9520	9.520257293615941E-8	-0.013698894	No	
row_72	TPI1	9527	9.127785460805171E-8	-0.008604486	No	
row_73	HEXA	11198	-2.931113840531907E-7	-0.073726974	No	
row_74	PRDX5	11231	-3.238837109620363E-7	-0.06972971	No	
row_75	CDKN1A	11319	-4.356020610885025E-7	-0.06805331	No	
row_76	IDS	11812	-1.2582249837578274E-6	-0.08346696	No	
row_77	ZFP36	11822	-1.2807892062483006E-6	-0.078499146	No	
row_78	NDST2	12162	-2.2927922600501915E-6	-0.08745656	No	
row_79	ENO1	12217	-2.485462346157874E-6	-0.08438764	No	
row_80	ERO1A	12287	-2.69159772869898E-6	-0.081951685	No	
row_81	ADORA2B	12608	-4.195896508463193E-6	-0.09010734	No	
row_82	SDC4	12688	-4.7302387429226656E-6	-0.088093355	No	
row_83	TES	12745	-5.0953158279298805E-6	-0.08510883	No	
row_84	ENO3	12876	-5.968949153611902E-6	-0.085246935	No	
