NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAT1	169	0.5294932126998901	0.005246032	Yes	
row_1	CSF2RA	387	0.0680340826511383	0.008475596	Yes	
row_2	IL9R	694	0.016155783087015152	0.007966293	Yes	
row_3	HMOX1	800	0.01210943702608347	0.015900949	Yes	
row_4	CCR1	814	0.011537270620465279	0.0277005	Yes	
row_5	EBI3	1429	0.0031132521107792854	0.014252197	Yes	
row_6	PIM1	1782	0.001689175725914538	0.011810445	Yes	
row_7	BAK1	1869	0.0014948986936360598	0.020543287	Yes	
row_8	CSF2RB	1934	0.0013687291648238897	0.030200342	Yes	
row_9	IL1R2	2391	7.539927028119564E-4	0.023389576	Yes	
row_10	IFNAR1	2801	4.890221171081066E-4	0.01855327	Yes	
row_11	TNF	2803	4.867035604547709E-4	0.030856939	Yes	
row_12	GRB2	2900	4.376630240585655E-4	0.039169684	Yes	
row_13	PTPN2	3176	3.2735636341385543E-4	0.039962683	Yes	
row_14	PTPN11	3228	3.1250124447979033E-4	0.05016586	Yes	
row_15	IL7	3296	2.9412354342639446E-4	0.05969689	Yes	
row_16	PTPN1	3665	2.0970920741092414E-4	0.056582984	Yes	
row_17	IL10RB	3768	1.9180087838321924E-4	0.064643666	Yes	
row_18	MAP3K8	4161	1.3439370377454907E-4	0.060521524	Yes	
row_19	IRF9	4265	1.232706126756966E-4	0.0685402	Yes	
row_20	TNFRSF12A	4709	8.109183545457199E-5	0.062275562	Yes	
row_21	DNTT	4737	7.901753997430205E-5	0.07348698	Yes	
row_22	IL6	4789	7.497647311538458E-5	0.08369016	Yes	
row_23	STAT3	4921	6.725852290401235E-5	0.09053256	Yes	
row_24	MYD88	5743	3.35556069330778E-5	0.06838824	No	
row_25	HAX1	6359	1.93236210179748E-5	0.054897927	No	
row_26	JUN	6644	1.4450150047196075E-5	0.05531284	No	
row_27	IL15RA	6647	1.4380843822436873E-5	0.0675745	No	
row_28	CD9	6923	1.120958859246457E-5	0.068367496	No	
row_29	IFNGR1	6973	1.0657376151357312E-5	0.0786547	No	
row_30	STAT2	7649	4.817215540242614E-6	0.062643796	No	
row_31	TNFRSF1A	7768	4.156588147452567E-6	0.07003233	No	
row_32	IL13RA1	8105	2.689252823984134E-6	0.06826273	No	
row_33	IL1R1	8108	2.6714806153904647E-6	0.08052439	No	
row_34	IL6ST	8435	1.6737755004214705E-6	0.07917489	No	
row_35	LTBR	9547	8.010179186612731E-8	0.044847745	No	
row_36	CBL	11102	-1.979191495138366E-7	-0.00808972	No	
row_37	FAS	11301	-4.1239434267481556E-7	-0.004061971	No	
row_38	STAM2	11737	-1.1257554888288723E-6	-0.009990531	No	
row_39	TNFRSF21	12596	-4.1270900510426145E-6	-0.033689216	No	
row_40	IL4R	12621	-4.237862412992399E-6	-0.022351768	No	
row_41	IL12RB1	13258	-9.321404832007829E-6	-0.036724288	No	
row_42	LEPR	13320	-9.805777153815143E-6	-0.026941203	No	
row_43	IL2RG	13498	-1.1784924936364405E-5	-0.02203125	No	
row_44	CSF3R	13974	-1.8829932741937228E-5	-0.0296402	No	
row_45	TYK2	14196	-2.398553078819532E-5	-0.026578674	No	
row_46	OSMR	14228	-2.4665250748512335E-5	-0.015535297	No	
row_47	TGFB1	14624	-3.5166307498002425E-5	-0.019783467	No	
row_48	IL17RA	14929	-4.5240536564961076E-5	-0.020208752	No	
row_49	SOCS1	15001	-4.801975592272356E-5	-0.010845765	No	
row_50	ACVR1B	15034	-4.896374957752414E-5	1.5560308E-4	No	
row_51	CSF1	15384	-6.494869739981368E-5	-0.0021601191	No	
row_52	CD44	15487	-7.137873762985691E-5	0.005900566	No	
row_53	IL3RA	15673	-8.326807437697425E-5	0.0104744425	No	
row_54	IFNGR2	15829	-9.326796134700999E-5	0.016308611	No	
row_55	IRF1	16872	-2.003217814490199E-4	-0.015119866	No	
row_56	IL2RA	17629	-3.583542420528829E-4	-0.034533553	No	
row_57	PDGFC	18830	-9.75748582277447E-4	-0.07259957	No	
row_58	CD38	18966	-0.001092602964490652	-0.0659252	No	
row_59	TLR2	19542	-0.001837838557548821	-0.07773513	No	
row_60	IL17RB	19626	-0.002006765455007553	-0.06887626	No	
row_61	LTB	20035	-0.0029027843847870827	-0.07367056	No	
row_62	SOCS3	20160	-0.0032182345166802406	-0.06653409	No	
row_63	A2M	20718	-0.0057165538892149925	-0.077587835	No	
row_64	CD36	20883	-0.006812965031713247	-0.07213175	No	
row_65	PLA2G2A	21176	-0.009672860614955425	-0.072052926	No	
row_66	ITGB3	21348	-0.012261548079550266	-0.06689091	No	
row_67	INHBE	21553	-0.01589314639568329	-0.06311522	No	
row_68	CD14	21912	-0.026606792584061623	-0.06580903	No	
row_69	CXCL10	22585	-0.10296030342578888	-0.0816939	No	
row_70	CXCL11	22658	-0.1252129226922989	-0.07237292	No	
row_71	PIK3R5	22678	-0.13068872690200806	-0.06082543	No	
row_72	CNTFR	22897	-0.23666749894618988	-0.057637874	No	
row_73	ACVRL1	22967	-0.28377872705459595	-0.048190866	No	
row_74	CSF2	23137	-0.4555206000804901	-0.042944834	No	
row_75	CXCL3	23216	-0.6049456000328064	-0.033875916	No	
row_76	IL18R1	23271	-0.7532876133918762	-0.023798764	No	
row_77	TNFRSF1B	23432	-1.4343607425689697	-0.018174643	No	
row_78	CXCL1	23717	-5.910594463348389	-0.017759733	No	
row_79	IL1B	23804	-9.913841247558594	-0.009026891	No	
row_80	ITGA4	23835	-11.876121520996094	0.0020584958	No	
