NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OLR1	73	2.614121675491333	0.002507203	No	
row_1	SERPINE1	176	0.46292269229888916	0.0037910868	No	
row_2	ICOSLG	239	0.24210238456726074	0.0067623076	No	
row_3	ADGRE1	256	0.20858316123485565	0.011673965	No	
row_4	C3AR1	809	0.011710117571055889	-0.0060246866	No	
row_5	SELL	822	0.0113175418227911	-9.4429555E-4	No	
row_6	STAB1	962	0.007918888702988625	-0.0012211978	No	
row_7	F3	1012	0.007078029680997133	0.002298407	No	
row_8	MARCO	1258	0.004176395945250988	-0.002449937	No	
row_9	PTGER2	1343	0.003632934298366308	-4.0675147E-4	No	
row_10	PVR	1412	0.003198056248947978	0.0023113685	No	
row_11	EBI3	1429	0.0031132521107792854	0.007223026	No	
row_12	CCRL2	1448	0.002999107586219907	0.012050317	No	
row_13	ITGA5	1991	0.0012808289611712098	-0.005226501	No	
row_14	SLC7A1	2058	0.0011642005993053317	-0.0024240138	No	
row_15	CXCR6	2072	0.0011485355207696557	0.0026141938	No	
row_16	GPR183	2120	0.001079060835763812	0.006218165	No	
row_17	LY6E	2538	6.511537940241396E-4	-0.0057857255	No	
row_18	TAPBP	2762	5.130881909281015E-4	-0.0096060345	No	
row_19	HIF1A	2765	5.100478883832693E-4	-0.004103809	No	
row_20	KLF6	2768	5.081307608634233E-4	0.0013984161	No	
row_21	IFNAR1	2801	4.890221171081066E-4	0.005635139	No	
row_22	CD55	2875	4.4869541306979954E-4	0.008142342	No	
row_23	AXL	2981	3.987195959780365E-4	0.009299676	No	
row_24	CD69	3040	3.761570842470974E-4	0.01243963	No	
row_25	GCH1	3100	3.5410968121141195E-4	0.015537401	No	
row_26	CYBB	3263	3.028959617950022E-4	0.01429028	No	
row_27	LYN	3382	2.7163553750142455E-4	0.014899229	No	
row_28	ABI1	3591	2.2315116075333208E-4	0.011711671	No	
row_29	KIF1B	3804	1.85354525456205E-4	0.00835538	No	
row_30	SLC7A2	4144	1.3682163262274116E-4	-3.5820453E-4	No	
row_31	BST2	4616	8.749697008170187E-5	-0.01464	No	
row_32	IL6	4789	7.497647311538458E-5	-0.016308954	No	
row_33	ICAM1	5005	6.254373874980956E-5	-0.019791797	No	
row_34	ADM	5865	3.0195064027793705E-5	-0.050440755	No	
row_35	RASGRP1	5887	2.9807462851749733E-5	-0.045740016	No	
row_36	RHOG	6239	2.167104321415536E-5	-0.0549598	No	
row_37	RNF144B	6341	1.9779467038461007E-5	-0.053633735	No	
row_38	RIPK2	6590	1.536061245133169E-5	-0.058508627	No	
row_39	INHBA	6592	1.5345829524449073E-5	-0.052964218	No	
row_40	IL10RA	6641	1.4548217222909443E-5	-0.04940243	No	
row_41	IL15RA	6647	1.4380843822436873E-5	-0.044026755	No	
row_42	IL15	6680	1.4000200280861463E-5	-0.03979003	No	
row_43	NPFFR2	7345	7.1248668973566964E-6	-0.062213227	No	
row_44	TLR1	7382	6.853992090327665E-6	-0.058145236	No	
row_45	EDN1	7796	4.002301920991158E-6	-0.06998039	No	
row_46	SLC31A1	7853	3.696974317790591E-6	-0.06675607	No	
row_47	LIF	7971	3.1568970371154137E-6	-0.06610494	No	
row_48	MET	7992	3.077106157434173E-6	-0.061362017	No	
row_49	EMP3	8046	2.8909762477269396E-6	-0.058011144	No	
row_50	SEMA4D	8095	2.7164019229530822E-6	-0.054449357	No	
