NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAT1	169	0.5294932126998901	-0.00178381	Yes	
row_1	PFKP	535	0.03219790384173393	-0.011838361	Yes	
row_2	IFI27	615	0.021863393485546112	-0.009824381	Yes	
row_3	STAT4	672	0.018100343644618988	-0.006839856	Yes	
row_4	HLA-DMA	779	0.012917700223624706	-0.0059652138	Yes	
row_5	ISG15	950	0.008208164013922215	-0.0077912216	Yes	
row_6	RIPK1	1165	0.004932619631290436	-0.011473926	Yes	
row_7	LAP3	1204	0.004613174125552177	-0.0077298433	Yes	
row_8	ARL4A	1497	0.0027884223964065313	-0.014703965	Yes	
row_9	SP110	1530	0.0026156529784202576	-0.010706696	Yes	
row_10	OAS3	1756	0.0017376490868628025	-0.014853574	Yes	
row_11	PIM1	1782	0.001689175725914538	-0.010560922	Yes	
row_12	MX1	1810	0.0016183259431272745	-0.0063526654	Yes	
row_13	ADAR	1817	0.001599014038220048	-0.0012582574	Yes	
row_14	IRF4	1849	0.0015242646913975477	0.0027812088	Yes	
row_15	IFIT1	1917	0.0013872727286070585	0.00530156	Yes	
row_16	CSF2RB	1934	0.0013687291648238897	0.009973991	Yes	
row_17	HERC6	2066	0.0011500861728563905	0.009793692	Yes	
row_18	TAP1	2068	0.0011496164370328188	0.015099088	Yes	
row_19	CASP8	2070	0.001148989307694137	0.020404484	Yes	
row_20	TRIM26	2206	9.459512075409293E-4	0.020055395	Yes	
row_21	IRF5	2362	7.838220335543156E-4	0.018862352	Yes	
row_22	PARP12	2535	6.530921091325581E-4	0.016951948	Yes	
row_23	LY6E	2538	6.511537940241396E-4	0.022215147	Yes	
row_24	NOD1	2601	6.105926586315036E-4	0.024946487	Yes	
row_25	SLAMF7	2645	5.826794076710939E-4	0.02847958	Yes	
row_26	TAPBP	2762	5.130881909281015E-4	0.028932245	Yes	
row_27	HIF1A	2765	5.100478883832693E-4	0.034195445	Yes	
row_28	CD69	3040	3.761570842470974E-4	0.02798088	Yes	
row_29	GCH1	3100	3.5410968121141195E-4	0.030838814	Yes	
row_30	TRIM25	3144	3.3954341779462993E-4	0.03437191	Yes	
row_31	PTPN2	3176	3.2735636341385543E-4	0.038411375	Yes	
row_32	IL7	3296	2.9412354342639446E-4	0.038737446	Yes	
row_33	PTPN6	3436	2.5827556964941323E-4	0.038219567	Yes	
row_34	PTPN1	3665	2.0970920741092414E-4	0.033946093	Yes	
row_35	PNP	3816	1.827414525905624E-4	0.03296404	Yes	
row_36	IRF9	4265	1.232706126756966E-4	0.019407084	Yes	
row_37	TDRD7	4370	1.1159774294355884E-4	0.020366123	Yes	
row_38	CD74	4439	1.0379901505075395E-4	0.022844275	Yes	
row_39	PSMB2	4531	9.455780673306435E-5	0.024351882	Yes	
row_40	UPP1	4546	9.293438051827252E-5	0.029108709	Yes	
row_41	PSMA2	4611	8.779347263043746E-5	0.031755652	Yes	
row_42	BST2	4616	8.749697008170187E-5	0.036934458	Yes	
row_43	VAMP8	4643	8.539948612451553E-5	0.04118491	Yes	
row_44	TRIM14	4714	8.05411982582882E-5	0.04357867	Yes	
row_45	IL6	4789	7.497647311538458E-5	0.045803636	Yes	
row_46	STAT3	4921	6.725852290401235E-5	0.045623336	Yes	
row_47	OAS2	4924	6.702868995489553E-5	0.050886534	Yes	
row_48	ICAM1	5005	6.254373874980956E-5	0.052858315	Yes	
row_49	CASP4	5060	6.041365486453287E-5	0.055927236	Yes	
row_50	LGALS3BP	5079	5.91678217460867E-5	0.060515273	Yes	
row_51	EPSTI1	5277	4.958034696755931E-5	0.057549927	Yes	
row_52	TOR1B	5433	4.257434557075612E-5	0.056356885	Yes	
row_53	IFNAR2	5480	4.115096453460865E-5	0.059763387	Yes	
row_54	LYSMD2	5735	3.382701106602326E-5	0.054392777	Yes	
row_55	MYD88	5743	3.35556069330778E-5	0.059444986	Yes	
row_56	ISOC1	5950	2.835760824382305E-5	0.05609986	Yes	
row_57	PNPT1	6075	2.5169869331875816E-5	0.056214947	Yes	
row_58	VAMP5	6086	2.4861465135472827E-5	0.061140563	Yes	
row_59	PSMB8	6125	2.397575372015126E-5	0.06488465	Yes	
row_60	CMTR1	6203	2.2494828954222612E-5	0.06698302	Yes	
row_61	RNF31	6234	2.178762406401802E-5	0.07106469	Yes	
row_62	SERPING1	6347	1.9591665477491915E-5	0.07168614	Yes	
row_63	LATS2	6364	1.9237291780882515E-5	0.07635857	Yes	
row_64	CMPK2	6389	1.8778702724375762E-5	0.080693424	Yes	
row_65	PML	6518	1.644406802370213E-5	0.08063972	Yes	
row_66	RIPK2	6590	1.536061245133169E-5	0.08299128	Yes	
row_67	IL10RA	6641	1.4548217222909443E-5	0.08622899	Yes	
row_68	IL15RA	6647	1.4380843822436873E-5	0.09136559	Yes	
row_69	GPR18	6667	1.4161509170662612E-5	0.095911436	Yes	
row_70	IL15	6680	1.4000200280861463E-5	0.10075265	Yes	
row_71	SAMD9L	6784	1.2650927601498552E-5	0.10175389	Yes	
row_72	SPPL2A	6788	1.2622685972019099E-5	0.10697489	Yes	
row_73	HLA-B	6915	1.1271986295469105E-5	0.10700558	Yes	
row_74	CASP3	6991	1.0408340131107252E-5	0.10918835	Yes	
row_75	RBCK1	7095	9.297805263486225E-6	0.11018959	Yes	
row_76	XAF1	7126	8.991566573968157E-6	0.114271246	Yes	
row_77	PSMB9	7144	8.821461051411461E-6	0.11890148	Yes	
row_78	PLSCR1	7192	8.301066372951027E-6	0.122265786	Yes	
row_79	STAT2	7649	4.817215540242614E-6	0.10837125	No	
row_80	USP18	8274	2.099657876897254E-6	0.08738751	No	
row_81	IFI35	8512	1.537494767944736E-6	0.08273426	No	
row_82	TRAFD1	8525	1.5189575606200378E-6	0.08757548	No	
row_83	PSME2	8738	1.101982093132392E-6	0.08397717	No	
row_84	HLA-A	9166	4.2531169697213045E-7	0.07130636	No	
row_85	EIF2AK2	9622	5.504282540869099E-8	0.057454024	No	
row_86	CD274	9737	6.89143986321028E-9	0.057991084	No	
row_87	FGL2	9795	2.95269147673749E-12	0.06093341	No	
row_88	IFIH1	10754	-1.3805401266608897E-9	0.025855653	No	
row_89	SRI	10831	-2.794793196869705E-8	0.027996225	No	
row_90	UBE2L6	10913	-7.820568725946941E-8	0.029925808	No	
row_91	MVP	11273	-3.758513003049302E-7	0.020124445	No	
row_92	PSMA3	11292	-4.017994115201873E-7	0.02471248	No	
row_93	FAS	11301	-4.1239434267481556E-7	0.029722493	No	
row_94	CDKN1A	11319	-4.356020610885025E-7	0.034352727	No	
row_95	SAMHD1	11350	-4.7425689331248577E-7	0.03843439	No	
row_96	PLA2G4A	11376	-5.063573098595953E-7	0.042727042	No	
row_97	HELZ2	11570	-7.932938501653553E-7	0.03993049	No	
row_98	SLC25A28	11650	-9.463224159844685E-7	0.041944467	No	
row_99	NCOA3	11967	-1.6617796063655987E-6	0.033957604	No	
row_100	ZNFX1	12110	-2.1182197542657377E-6	0.03331313	No	
row_101	IL18BP	12404	-3.1745864816912217E-6	0.026296811	No	
row_102	PSMB10	12447	-3.3380445074726595E-6	0.029872103	No	
row_103	NMI	12552	-3.837664735328872E-6	0.03083114	No	
row_104	IL4R	12621	-4.237862412992399E-6	0.033309292	No	
row_105	PELI1	12643	-4.4088319555157796E-6	0.037770737	No	
row_106	NUP93	13149	-8.243196134571917E-6	0.021808514	No	
row_107	JAK2	13152	-8.262127266789321E-6	0.027071713	No	
row_108	TRIM21	13395	-1.0594761988613755E-5	0.022207474	No	
row_109	PSME1	14216	-2.4557020879001357E-5	-0.007047009	No	
row_110	TNFAIP2	14234	-2.4798560843919404E-5	-0.0024167756	No	
row_111	RAPGEF6	14382	-2.823763497872278E-5	-0.003272237	No	
row_112	NFKB1	14565	-3.3187781809829175E-5	-0.0056046164	No	
row_113	IFI44L	14615	-3.481010935502127E-5	-0.002324708	No	
row_114	B2M	14657	-3.624241435318254E-5	0.0012927819	No	
row_115	FPR1	14899	-4.421714038471691E-5	-0.0035292592	No	
row_116	MTHFD2	14974	-4.7127246944000944E-5	-0.001304292	No	
row_117	SOCS1	15001	-4.801975592272356E-5	0.0029461626	No	
row_118	IRF7	15091	-5.1215251005487517E-5	0.004538165	No	
row_119	RNF213	15125	-5.2678031352115795E-5	0.008493236	No	
row_120	ST8SIA4	15398	-6.57922137179412E-5	0.0023630678	No	
row_121	APOL6	15418	-6.664921238552779E-5	0.006908906	No	
row_122	NFKBIA	15544	-7.493648445233703E-5	0.006981793	No	
row_123	IFI30	15592	-7.774248661007732E-5	0.010346097	No	
row_124	RSAD2	15784	-9.055918053491041E-5	0.0076339385	No	
row_125	C1R	15972	-1.018619368551299E-4	0.0050905705	No	
row_126	ARID5B	16026	-1.062274823198095E-4	0.0082016885	No	
row_127	BTG1	16142	-1.1519607505761087E-4	0.008696552	No	
row_128	TNFAIP3	16269	-1.2765753490384668E-4	0.008727241	No	
row_129	HLA-DQA1	16354	-1.3561567175202072E-4	0.0105302315	No	
row_130	RTP4	16412	-1.4211620145943016E-4	0.013472559	No	
row_131	OGFR	16559	-1.5846089809201658E-4	0.012659295	No	
row_132	CASP7	16605	-1.6446404333692044E-4	0.016107995	No	
row_133	HLA-G	16796	-1.8828072643373162E-4	0.013438034	No	
row_134	IRF1	16872	-2.003217814490199E-4	0.015620803	No	
row_135	BPGM	17029	-2.2549732238985598E-4	0.014385563	No	
row_136	CD40	17030	-2.255928993690759E-4	0.019733157	No	
row_137	IFIT3	17235	-2.6603255537338555E-4	0.016472429	No	
row_138	NLRC5	17368	-2.921421255450696E-4	0.016249932	No	
row_139	NAMPT	17554	-3.3870182232931256E-4	0.0137909595	No	
row_140	TNFAIP6	18391	-6.777889793738723E-4	-0.016138686	No	
row_141	DHX58	18422	-6.940074963495135E-4	-0.012057022	No	
row_142	BATF2	18524	-7.563928957097232E-4	-0.010971392	No	
row_143	GBP4	18548	-7.700151763856411E-4	-0.0065943436	No	
row_144	IL2RB	18722	-8.844807744026184E-4	-0.008546944	No	
row_145	EIF4E3	18763	-9.236099431291223E-4	-0.004887257	No	
row_146	IFIT2	18839	-9.878729470074177E-4	-0.0027044872	No	
row_147	PARP14	18843	-9.905489860102534E-4	0.0025165137	No	
row_148	CD38	18966	-0.001092602964490652	0.0027159934	No	
row_149	KLRK1	19298	-0.0014659966109320521	-0.005903837	No	
row_150	IRF2	19353	-0.001547506544739008	-0.0028349163	No	
row_151	ITGB7	19366	-0.0015569757670164108	0.0020063056	No	
row_152	SOD2	19480	-0.0017390168504789472	0.0025855643	No	
row_153	MX2	19582	-0.0019045439548790455	0.003671195	No	
row_154	BANK1	19813	-0.0023740956094115973	-6.8667205E-4	No	
row_155	MT2A	19939	-0.0026537422090768814	-6.1378523E-4	No	
row_156	C1S	20025	-0.002868416951969266	0.0011470078	No	
row_157	SOCS3	20160	-0.0032182345166802406	8.4011577E-4	No	
row_158	CFB	20246	-0.0034752616193145514	0.0026009087	No	
row_159	SECTM1	20385	-0.003991974983364344	0.0021252262	No	
row_160	TNFSF10	20568	-0.0048056114464998245	-2.071533E-4	No	
row_161	LCP2	20594	-0.004975524265319109	0.004085499	No	
row_162	IRF8	20624	-0.005125208757817745	0.008209361	No	
row_163	IFITM3	20677	-0.0053814006969332695	0.0113626765	No	
row_164	CASP1	20751	-0.005957161076366901	0.013629842	No	
row_165	CIITA	21237	-0.010349959135055542	-0.0014884276	No	
row_166	DDX60	21370	-0.012589516118168831	-0.0017109243	No	
row_167	SSPN	21534	-0.015617091208696365	-0.0032415483	No	
row_168	IDO1	21641	-0.01754743792116642	-0.002366906	No	
row_169	IFI44	21674	-0.018193168565630913	0.0016303627	No	
row_170	PTGS2	21696	-0.018776502460241318	0.0060918056	No	
row_171	ZBP1	22140	-0.039924800395965576	-0.007254162	No	
row_172	HLA-DRB1	22194	-0.04340348765254021	-0.004143044	No	
row_173	ST3GAL5	22356	-0.06116485968232155	-0.0055892724	No	
row_174	XCL1	22430	-0.06989157199859619	-0.0033221075	No	
row_175	CXCL10	22585	-0.10296030342578888	-0.004472953	No	
row_176	CCL2	22656	-0.1246456503868103	-0.0020791949	No	
row_177	CXCL11	22658	-0.1252129226922989	0.0032262013	No	
row_178	CFH	22858	-0.20825837552547455	1.7646162E-4	No	
row_179	GBP6	22878	-0.2216186225414276	0.0047223	No	
row_180	OASL	23104	-0.4031221568584442	5.7542126E-4	No	
row_181	CD86	23424	-1.3829721212387085	-0.007538037	No	
row_182	PDE4B	23430	-1.42587149143219	-0.0024014316	No	
row_183	VCAM1	23557	-2.586592435836792	-0.0023707424	No	
row_184	ISG20	23689	-5.004960536956787	-0.0025510413	No	
row_185	IFITM2	23754	-7.268566131591797	9.5902404E-5	No	
row_186	AUTS2	23862	-16.344396591186523	9.2834706E-4	No	
