NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EPB41L3	13	9.301730155944824	0.0048862826	No	
row_1	GLRX	94	1.6086630821228027	0.0069456804	No	
row_2	IGFBP3	323	0.1049029603600502	0.0027606152	No	
row_3	CSF2RA	387	0.0680340826511383	0.005537282	No	
row_4	GABRA3	611	0.022511836141347885	0.0015631788	No	
row_5	SEMA3B	801	0.012077897787094116	-9.763858E-4	No	
row_6	C3AR1	809	0.011710117571055889	0.0041630506	No	
row_7	AKT2	1240	0.004324302077293396	-0.008544861	No	
row_8	MAFB	1505	0.0027183741331100464	-0.01424885	No	
row_9	NR1H4	1587	0.002334554446861148	-0.012231644	No	
row_10	SNAP91	1743	0.0017701765755191445	-0.013336671	No	
row_11	EVI5	2229	9.142656926997006E-4	-0.02836516	No	
row_12	TFPI	2297	8.457513758912683E-4	-0.025757262	No	
row_13	CCSER2	2584	6.189382984302938E-4	-0.03238948	No	
row_14	ANKH	2622	5.972064100205898E-4	-0.028515814	No	
row_15	FBXO4	2629	5.922468844801188E-4	-0.023334187	No	
row_16	LCP1	2654	5.798499332740903E-4	-0.01891202	No	
row_17	GADD45G	2815	4.811353574041277E-4	-0.020228006	No	
row_18	PTPRR	3050	3.7041291943751276E-4	-0.024666226	No	
row_19	BTBD3	3452	2.5389777147211134E-4	-0.03615056	No	
row_20	SATB1	3461	2.5179435033351183E-4	-0.031053316	No	
row_21	PIGR	3929	1.6705281450413167E-4	-0.045322344	No	
row_22	NGF	3978	1.6020992188714445E-4	-0.041912794	No	
row_23	KLF4	4303	1.1946907034143806E-4	-0.05014832	No	
row_24	PCSK1N	4410	1.0744832252385095E-4	-0.04918592	No	
row_25	MAP3K1	4422	1.0616906365612522E-4	-0.044215254	No	
row_26	PDCD1LG2	4783	7.535707845818251E-5	-0.053969704	No	
row_27	ETS1	5112	5.74346340727061E-5	-0.062374003	No	
row_28	TSPAN13	5194	5.361723742680624E-5	-0.060356796	No	
row_29	NIN	5204	5.2802097343374044E-5	-0.055301744	No	
row_30	AVL9	5473	4.134766641072929E-5	-0.0611745	No	
row_31	CROT	5666	3.5843819205183536E-5	-0.06384064	No	
row_32	IKZF1	5943	2.8534555895021185E-5	-0.07005094	No	
row_33	AMMECR1	6032	2.6288196750101633E-5	-0.06832908	No	
row_34	PSMB8	6125	2.397575372015126E-5	-0.06677599	No	
row_35	USP12	6227	2.1973608454572968E-5	-0.06560263	No	
row_36	PPP1R15A	6261	2.131651490344666E-5	-0.061560195	No	
row_37	INHBA	6592	1.5345829524449073E-5	-0.070048876	No	
row_38	TRIB1	6613	1.5034990610729437E-5	-0.06545794	No	
row_39	IL10RA	6641	1.4548217222909443E-5	-0.06116235	No	
