NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GLRX	94	1.6086630821228027	0.0011868875	Yes	
row_1	VLDLR	112	1.1753650903701782	0.0056239543	Yes	
row_2	EEF1E1	259	0.2053082436323166	0.0046159155	Yes	
row_3	SSR1	316	0.11400549113750458	0.007406788	Yes	
row_4	IDI1	629	0.02087680622935295	-6.081312E-4	Yes	
row_5	SLC2A3	682	0.016988329589366913	0.0023515816	Yes	
row_6	DHCR24	760	0.01373873557895422	0.0042560413	Yes	
row_7	EBP	787	0.01254956517368555	0.008313217	Yes	
row_8	BCAT1	896	0.009369074366986752	0.008909163	Yes	
row_9	IDH1	1108	0.005521628074347973	0.005157466	Yes	
row_10	HMGCR	1174	0.004893823992460966	0.007568447	Yes	
row_11	SQLE	1314	0.0038752856198698282	0.006855879	Yes	
row_12	TM7SF2	1360	0.0035158873070031404	0.010111063	Yes	
row_13	UNG	1481	0.002815632149577141	0.010200487	Yes	
row_14	DHCR7	1493	0.00279140193015337	0.014890815	Yes	
row_15	QDPR	1658	0.0020750705152750015	0.0131229935	Yes	
row_16	PSMG1	1664	0.0020478488877415657	0.018066581	Yes	
row_17	PFKL	1725	0.0018302099779248238	0.020688614	Yes	
row_18	INSIG1	1978	0.0013043616199865937	0.0152063025	Yes	
row_19	CTH	2149	0.0010219597024843097	0.013185221	Yes	
row_20	PSMC6	2320	8.239762391895056E-4	0.011164139	Yes	
row_21	MLLT11	2368	7.805799250490963E-4	0.014334902	Yes	
row_22	ATP6V1D	2511	6.6927052102983E-4	0.013495703	Yes	
row_23	CYP51A1	2519	6.648867856711149E-4	0.018354872	Yes	
row_24	PSMB5	2697	5.459156818687916E-4	0.01603832	Yes	
row_25	HMGCS1	2748	5.176531849429011E-4	0.019082451	Yes	
row_26	SC5D	2802	4.886490060016513E-4	0.021999955	Yes	
row_27	YKT6	3001	3.905392368324101E-4	0.01879699	Yes	
row_28	TOMM40	3065	3.669925790745765E-4	0.02129239	Yes	
row_29	SERP1	3340	2.8162094531580806E-4	0.014881456	Yes	
row_30	CALR	3350	2.792558807414025E-4	0.019656204	Yes	
row_31	SLC6A6	3396	2.679582394193858E-4	0.022911388	Yes	
row_32	MAP2K3	3454	2.5266953161917627E-4	0.02566005	Yes	
row_33	CANX	3511	2.42485519265756E-4	0.028450921	Yes	
row_34	ME1	3575	2.2706059098709375E-4	0.030946324	Yes	
row_35	PSMC4	3638	2.1486860350705683E-4	0.033483934	Yes	
row_36	TXNRD1	3640	2.147064369637519E-4	0.038596366	Yes	
row_37	FKBP2	3651	2.1264524548314512E-4	0.0433289	Yes	
row_38	PNP	3816	1.827414525905624E-4	0.041561082	Yes	
row_39	ADIPOR2	4178	1.3305498578120023E-4	0.031477865	Yes	
row_40	FDXR	4253	1.2448744382709265E-4	0.033508956	Yes	
row_41	COPS5	4273	1.2247996346559376E-4	0.0378616	Yes	
row_42	GTF2H1	4330	1.1624410399235785E-4	0.040652476	Yes	
row_43	SCD	4355	1.1344554513925686E-4	0.04479407	Yes	
row_44	PSMD13	4465	1.0134506010217592E-4	0.045347806	Yes	
row_45	SLC1A5	4619	8.727585372980684E-5	0.044044297	Yes	
row_46	ELOVL6	4814	7.347021164605394E-5	0.04101017	Yes	
row_47	RAB1A	4907	6.828885670984164E-5	0.04228148	Yes	
row_48	AK4	4936	6.638420018134639E-5	0.046254236	Yes	
row_49	NFKBIB	4946	6.597054743906483E-5	0.05102898	Yes	
row_50	GMPS	4949	6.580685294466093E-5	0.056099202	Yes	
row_51	ACTR2	5033	6.148780084913597E-5	0.0577504	Yes	
row_52	SERPINH1	5098	5.826915003126487E-5	0.060203593	Yes	
row_53	MCM4	5102	5.7993460359284654E-5	0.0652316	Yes	
row_54	ACLY	5136	5.6365701311733574E-5	0.06899331	Yes	
row_55	TUBA4A	5141	5.622900789603591E-5	0.0739791	Yes	
row_56	RIT1	5221	5.2000854338984936E-5	0.075799145	Yes	
row_57	HSPD1	5246	5.0813039706554264E-5	0.07994074	Yes	
row_58	SQSTM1	5464	4.170638203504495E-5	0.07593578	Yes	
row_59	ETF1	5494	4.0734179492574185E-5	0.07986633	Yes	
row_60	HSPA4	5510	4.024344525532797E-5	0.08438782	Yes	
row_61	ABCF2	5549	3.903992910636589E-5	0.08793847	Yes	
row_62	SDF2L1	5670	3.569497857824899E-5	0.088027894	Yes	
row_63	EGLN3	5701	3.484954868326895E-5	0.091916226	Yes	
row_64	PPIA	5811	3.165610178257339E-5	0.09246997	Yes	
row_65	GAPDH	5823	3.126031515421346E-5	0.097160295	Yes	
row_66	SYTL2	5881	3.002109588123858E-5	0.099908955	Yes	
row_67	UFM1	5910	2.9417549740173854E-5	0.10388171	Yes	
row_68	PNO1	5921	2.9042195819783956E-5	0.10861425	Yes	
row_69	HPRT1	5934	2.880266765714623E-5	0.11326236	Yes	
row_70	G6PD	6065	2.538493754400406E-5	0.11292969	Yes	
row_71	HSPE1	6169	2.3229287762660533E-5	0.11373668	Yes	
row_72	PPP1R15A	6261	2.131651490344666E-5	0.115050204	Yes	
row_73	NMT1	6265	2.123791455233004E-5	0.12007821	Yes	
row_74	PIK3R3	6316	2.0159417545073666E-5	0.12312234	Yes	
row_75	PSME3	6321	2.0059675080119632E-5	0.12810814	Yes	
row_76	HMBS	6428	1.804463863663841E-5	0.12878852	Yes	
row_77	STARD4	6444	1.7712047338136472E-5	0.13330999	Yes	
row_78	CCNG1	6456	1.751787385728676E-5	0.13800032	Yes	
row_79	ACTR3	6729	1.3362329809751827E-5	0.13167381	Yes	
row_80	PSMD12	6790	1.2614436855074018E-5	0.13429584	Yes	
row_81	PSMD14	6841	1.1977614121860825E-5	0.13733998	Yes	
row_82	CD9	6923	1.120958859246457E-5	0.13907559	Yes	
