NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LSM2	103	1.4419825077056885	8.069964E-4	Yes	
row_1	SRPK1	984	0.007544968277215958	-0.031183273	Yes	
row_2	RPS10	1379	0.003436764469370246	-0.04265942	Yes	
row_3	DEK	1468	0.0028814952820539474	-0.04121927	Yes	
row_4	PRPF31	1741	0.0017753493739292026	-0.047545787	Yes	
row_5	CCT3	1811	0.001614656881429255	-0.045303646	Yes	
row_6	CTPS1	1928	0.0013752328231930733	-0.045045383	Yes	
row_7	PSMA1	1929	0.0013730498030781746	-0.039890744	Yes	
row_8	TRIM28	1996	0.0012733853654935956	-0.037521973	Yes	
row_9	RAD23B	2090	0.0011133378138765693	-0.036292873	Yes	
row_10	POLD2	2141	0.0010333340615034103	-0.03324874	Yes	
row_11	C1QBP	2156	0.0010158424265682697	-0.028685044	Yes	
row_12	MRPS18B	2277	8.647983195260167E-4	-0.028595619	Yes	
row_13	SLC25A3	2290	8.500790572725236E-4	-0.023947502	Yes	
row_14	PSMC6	2320	8.239762391895056E-4	-0.020016957	Yes	
row_15	RPS3	2345	7.990116137079895E-4	-0.01587536	Yes	
row_16	AIMP2	2378	7.692083599977195E-4	-0.012071445	Yes	
row_17	RUVBL2	2427	7.292238296940923E-4	-0.008942892	Yes	
row_18	CLNS1A	2431	7.280085701495409E-4	-0.0039148834	Yes	
row_19	PCNA	2625	5.955628585070372E-4	-0.0069067976	Yes	
row_20	HDGF	2648	5.815162439830601E-4	-0.0026807813	Yes	
row_21	CCT5	2731	5.260082543827593E-4	-9.873724E-4	Yes	
row_22	SRM	2733	5.244650528766215E-4	0.0041250563	Yes	
row_23	GLO1	2885	4.4587242882698774E-4	0.0029059672	Yes	
row_24	PHB2	2895	4.397970042191446E-4	0.007680715	Yes	
row_25	RPL18	2940	4.177599330432713E-4	0.010978108	Yes	
row_26	TYMS	2941	4.176038200967014E-4	0.016132748	Yes	
row_27	HSP90AB1	2975	4.022884531877935E-4	0.019894453	Yes	
row_28	EIF3B	2980	3.997130843345076E-4	0.02488025	Yes	
row_29	UBE2E1	2997	3.9140405715443194E-4	0.029359529	Yes	
row_30	GOT2	3010	3.8810979458503425E-4	0.034007646	Yes	
row_31	EXOSC7	3134	3.438182466197759E-4	0.03397044	Yes	
row_32	RPLP0	3148	3.3704409725032747E-4	0.038576346	Yes	
row_33	VDAC1	3259	3.0419506947509944E-4	0.039087873	Yes	
row_34	RPS2	3341	2.8157630003988743E-4	0.040823493	Yes	
row_35	CANX	3511	2.42485519265756E-4	0.03884462	Yes	
row_36	PWP1	3516	2.412029862171039E-4	0.043830417	Yes	
row_37	CDK2	3537	2.3634782701265067E-4	0.048140854	Yes	
row_38	PSMC4	3638	2.1486860350705683E-4	0.049074482	Yes	
row_39	EIF4A1	3709	2.0110727928113192E-4	0.05127441	Yes	
row_40	PA2G4	3741	1.9505636009853333E-4	0.05512054	Yes	
row_41	PSMD8	3845	1.781200699042529E-4	0.055927534	Yes	
row_42	FAM120A	3991	1.5788448217790574E-4	0.054961707	Yes	
row_43	RPL22	3998	1.5684751269873232E-4	0.059863083	Yes	
row_44	CDK4	4028	1.520434598205611E-4	0.06379363	Yes	
row_45	PSMD1	4054	1.4821822696831077E-4	0.06789301	Yes	
row_46	EIF4H	4153	1.357991568511352E-4	0.06891106	Yes	
row_47	NPM1	4185	1.325445482507348E-4	0.072757185	Yes	
row_48	NOP56	4210	1.290870422963053E-4	0.07689878	Yes	
row_49	COPS5	4273	1.2247996346559376E-4	0.07943639	Yes	
row_50	RPL6	4496	9.808388858800754E-5	0.07522038	Yes	
row_51	PSMB2	4531	9.455780673306435E-5	0.078939885	Yes	
row_52	CCT2	4571	9.089509694604203E-5	0.082448326	Yes	
row_53	MCM5	4576	9.065512858796865E-5	0.08743413	Yes	
