NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BAX	310	0.1200835108757019	-0.0076747634	Yes	
row_1	FDX1	400	0.06540330499410629	-0.006024632	Yes	
row_2	NDUFA3	547	0.03074543923139572	-0.006779564	Yes	
row_3	NDUFC2	556	0.028917495161294937	-0.0017117113	Yes	
row_4	IDH1	1108	0.005521628074347973	-0.019555252	Yes	
row_5	ACAA1	1188	0.004799760412424803	-0.017483179	Yes	
row_6	SLC25A6	1387	0.0033481114078313112	-0.020432204	Yes	
row_7	TIMM8B	1465	0.002899724990129471	-0.018275743	Yes	
row_8	SDHA	1514	0.00267499266192317	-0.014895654	Yes	
row_9	SLC25A4	1589	0.0023278160952031612	-0.012612612	Yes	
row_10	CYB5A	1617	0.0021918651182204485	-0.008346447	Yes	
row_11	SURF1	1627	0.002164477715268731	-0.003320788	Yes	
row_12	PDHB	1852	0.001519482582807541	-0.0073668594	Yes	
row_13	ATP6V0C	1858	0.001515055657364428	-0.0021724242	Yes	
row_14	ACADM	1898	0.0014242528704926372	0.0015874116	Yes	
row_15	ACADVL	2048	0.0011793735902756453	7.058973E-4	Yes	
row_16	ATP6V1H	2097	0.0011060506803914905	0.0040859864	Yes	
row_17	ISCU	2107	0.0010949847055599093	0.009111645	Yes	
row_18	UQCR11	2112	0.0010882163187488914	0.014348274	Yes	
row_19	HSD17B10	2199	9.529427625238895E-4	0.016124988	Yes	
row_20	SLC25A3	2290	8.500790572725236E-4	0.017732926	Yes	
row_21	NDUFB3	2298	8.455110364593565E-4	0.022842972	Yes	
row_22	OGDH	2301	8.432954782620072E-4	0.02816399	Yes	
row_23	NQO2	2356	7.89287849329412E-4	0.031290915	Yes	
row_24	COX10	2460	7.063179509714246E-4	0.032350328	Yes	
row_25	ATP6V1D	2511	6.6927052102983E-4	0.03564603	Yes	
row_26	ATP6V1F	2728	5.272118141874671E-4	0.03193751	Yes	
row_27	ALAS1	2771	5.057072849012911E-4	0.035570763	Yes	
row_28	MGST3	2787	4.979975637979805E-4	0.04034326	Yes	
row_29	CYCS	2853	4.623426357284188E-4	0.043006048	Yes	
row_30	MPC1	2863	4.562243993859738E-4	0.048031706	Yes	
row_31	PHB2	2895	4.397970042191446E-4	0.052129094	Yes	
row_32	MRPS15	2899	4.3796325917355716E-4	0.05740792	Yes	
row_33	GOT2	3010	3.8810979458503425E-4	0.058171973	Yes	
row_34	NDUFS3	3071	3.647752455435693E-4	0.061045732	Yes	
row_35	TIMM17A	3099	3.546645166352391E-4	0.0653119	Yes	
row_36	DLD	3174	3.277684736531228E-4	0.06759494	Yes	
row_37	NDUFS6	3207	3.18557140417397E-4	0.07165013	Yes	
row_38	PDHA1	3221	3.155496087856591E-4	0.07650702	Yes	
row_39	VDAC1	3259	3.0419506947509944E-4	0.08035124	Yes	
row_40	CYB5R3	3385	2.709910913836211E-4	0.080482386	Yes	
row_41	NDUFB2	3403	2.664527273736894E-4	0.08517049	Yes	
row_42	COX7A2L	3405	2.6609745691530406E-4	0.0905337	Yes	
row_43	ISCA1	3533	2.36932493862696E-4	0.090580456	Yes	
row_44	MRPL15	3540	2.3530908219981939E-4	0.0957327	Yes	
row_45	HCCS	3647	2.1307698625605553E-4	0.09666553	Yes	
row_46	AFG3L2	3705	2.0204862812533975E-4	0.09966587	Yes	
row_47	COX7C	3823	1.821322221076116E-4	0.10013457	Yes	
row_48	FH	3873	1.748264185152948E-4	0.103472464	Yes	
row_49	COX6A1	3892	1.7214150284416974E-4	0.10811838	Yes	
row_50	TCIRG1	3916	1.692045188974589E-4	0.11255332	Yes	
row_51	NDUFV2	4036	1.5138575690798461E-4	0.11293763	Yes	
row_52	NDUFA2	4051	1.4867390564177185E-4	0.11775231	Yes	
row_53	COX8A	4052	1.4863121032249182E-4	0.12315772	Yes	
row_54	ECHS1	4080	1.4467489381786436E-4	0.12742388	Yes	
row_55	MDH1	4135	1.3774818216916174E-4	0.13055082	Yes	
row_56	TIMM50	4175	1.3327763008419424E-4	0.13431065	Yes	
row_57	COX6B1	4198	1.305738987866789E-4	0.13878778	Yes	
row_58	ATP6V0E1	4214	1.2877292465418577E-4	0.14356028	Yes	
row_59	MRPS12	4233	1.2697806232608855E-4	0.14820619	Yes	
row_60	UQCRQ	4261	1.2376382073853165E-4	0.15247235	Yes	
row_61	SUCLA2	4351	1.13570989924483E-4	0.15412249	Yes	
row_62	CS	4419	1.0619209206197411E-4	0.15670088	Yes	
row_63	POR	4470	1.0078777995659038E-4	0.15999658	Yes	
row_64	SLC25A20	4518	9.552550181979313E-5	0.16341887	Yes	
row_65	ACAT1	4587	8.968105248641223E-5	0.16595508	Yes	
row_66	UQCRB	4630	8.643928595120087E-5	0.16958833	Yes	
row_67	NDUFS7	4724	7.996602653292939E-5	0.17106968	Yes	
row_68	NDUFA6	4745	7.84886215114966E-5	0.17563121	Yes	
row_69	ATP6AP1	4763	7.729272329015657E-5	0.18031931	Yes	
row_70	TOMM70	4973	6.440460856538266E-5	0.17690615	Yes	
row_71	NDUFB4	5047	6.0967024182900786E-5	0.17923139	Yes	
row_72	ETFA	5062	6.0151625802973285E-5	0.18404607	Yes	
row_73	ATP6V1G1	5095	5.841415986651555E-5	0.18810128	Yes	
