NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GLRX	94	1.6086630821228027	0.016889885	Yes	
row_1	ERCC2	202	0.3383762538433075	0.0332344	Yes	
row_2	FTL	385	0.06917312741279602	0.046432544	Yes	
row_3	PFKP	535	0.03219790384173393	0.06101509	Yes	
row_4	HMOX2	673	0.017863914370536804	0.07610106	Yes	
row_5	PRDX6	1227	0.004454941023141146	0.07373516	Yes	
row_6	OXSR1	1386	0.003352097235620022	0.08794014	Yes	
row_7	GPX3	1419	0.0031575344037264585	0.107431024	Yes	
row_8	MGST1	1656	0.00208019046112895	0.11836379	Yes	
row_9	MSRA	1947	0.0013518111081793904	0.12703116	Yes	
row_10	GLRX2	2128	0.0010598135413601995	0.14031321	Yes	
row_11	SOD1	2372	7.76646367739886E-4	0.15095231	Yes	
row_12	NQO1	2563	6.327304872684181E-4	0.16381484	Yes	
row_13	ATOX1	2918	4.2822008254006505E-4	0.16979732	Yes	
row_14	TXNRD1	3640	2.147064369637519E-4	0.16038355	Yes	
row_15	EGLN2	3646	2.1396329975686967E-4	0.18100712	Yes	
row_16	PDLIM1	4394	1.1004045518347993E-4	0.17050262	Yes	
row_17	NDUFA6	4745	7.84886215114966E-5	0.1766529	Yes	
row_18	TXN	4979	6.407757609849796E-5	0.1877115	Yes	
row_19	NDUFB4	5047	6.0967024182900786E-5	0.20573409	Yes	
row_20	STK25	5336	4.6987493988126516E-5	0.21448536	Yes	
row_21	LAMTOR5	5589	3.777911842917092E-5	0.2247469	Yes	
row_22	MPO	6058	2.5590079530957155E-5	0.22594689	Yes	
row_23	G6PD	6065	2.538493754400406E-5	0.2465285	Yes	
row_24	PRDX4	6698	1.3719988601224031E-5	0.24084844	Yes	
row_25	SRXN1	6757	1.3052836038696114E-5	0.25924858	Yes	
row_26	PRDX1	8060	2.855147158697946E-6	0.22546095	No	
row_27	GPX4	9020	6.328183985715441E-7	0.2060627	No	
row_28	SBNO2	9265	2.881461114156991E-7	0.21665986	No	
row_29	PTPA	9474	1.2456550280148804E-7	0.22876726	No	
row_30	PRDX2	10767	-3.727917530227387E-9	0.19539914	No	
row_31	SCAF4	10790	-1.2581094388508518E-8	0.21530955	No	
row_32	NDUFS2	11678	-1.0137301842405577E-6	0.19893181	No	
row_33	PRNP	13143	-8.19707929622382E-6	0.15834802	No	
row_34	CAT	14091	-2.1225689124548808E-5	0.1394532	No	
row_35	GCLC	14334	-2.7183417842024937E-5	0.15013425	No	
row_36	CDKN2D	14529	-3.2138024835148826E-5	0.16282898	No	
row_37	GCLM	14656	-3.6113327951170504E-5	0.1783764	No	
row_38	IPCEF1	15744	-8.782174700172618E-5	0.15360837	No	
row_39	JUNB	15783	-9.033541573444381E-5	0.17284754	No	
row_40	GSR	16745	-1.8120926688425243E-4	0.1533654	No	
row_41	MBP	16757	-1.8326830468140543E-4	0.17373726	No	
row_42	ABCC1	16974	-2.1716541959904134E-4	0.18550906	No	
row_43	HHEX	19077	-0.0012073686812072992	0.11816015	No	
row_44	FES	19315	-0.001498288824222982	0.12905096	No	
row_45	SOD2	19480	-0.0017390168504789472	0.14300422	No	
row_46	LSP1	20637	-0.005170562770217657	0.11534152	No	
row_47	TXNRD2	21521	-0.015285576693713665	0.09913161	No	
