NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PEBP1	157	0.641497790813446	0.0031071068	No	
row_1	GFI1	357	0.08091709017753601	0.0044481717	No	
row_2	GSG1	910	0.00898843351751566	-0.009053921	No	
row_3	CHFR	1247	0.004298383370041847	-0.0134735145	No	
row_4	ALOX15	1373	0.003457423998042941	-0.009020853	No	
row_5	ARL4A	1497	0.0027884223964065313	-0.0044840933	No	
row_6	PSMG1	1664	0.0020478488877415657	-0.0017554242	No	
row_7	SNAP91	1743	0.0017701765755191445	0.0046735224	No	
row_8	JAM3	2076	0.0011442259419709444	4.2212295E-4	No	
row_9	MLLT10	3231	3.1058158492669463E-4	-0.038393233	No	
row_10	CLPB	3559	2.3078381491359323E-4	-0.042434387	No	
row_11	GAD1	3719	1.9922682258766145E-4	-0.039411377	No	
row_12	MTOR	3817	1.8254767928738147E-4	-0.033781353	No	
row_13	NAA11	3887	1.7254702106583863E-4	-0.02697397	No	
row_14	PCSK1N	4410	1.0744832252385095E-4	-0.039214607	No	
row_15	IP6K1	5785	3.22190135193523E-5	-0.08728065	No	
row_16	CDKN3	6132	2.3861042791395448E-5	-0.09212074	No	
row_17	CCT6B	6139	2.3787222744431347E-5	-0.08266429	No	
row_18	TALDO1	6730	1.3357896023080684E-5	-0.097764224	No	
row_19	TLE4	7048	9.757334737514611E-6	-0.1013849	No	
row_20	CSNK2A2	7610	5.060363491793396E-6	-0.11526543	No	
row_21	STRBP	7656	4.783080385095673E-6	-0.107448876	No	
row_22	PGS1	7680	4.638321570382686E-6	-0.09870726	No	
row_23	CCNB2	8185	2.4014352675294504E-6	-0.11019102	No	
row_24	COIL	9303	2.552449984705163E-7	-0.14745057	No	
row_25	VDAC3	9421	1.5795706076460192E-7	-0.14266153	No	
row_26	ZC3H14	9444	1.4296433903382422E-7	-0.13387786	No	
row_27	MEP1B	10195	0.0	-0.15570557	No	
row_28	IFT88	11172	-2.627760409268376E-7	-0.18703628	No	
row_29	PRKAR2A	11522	-7.302670610442874E-7	-0.1920025	Yes	
row_30	PACRG	11545	-7.608489340782398E-7	-0.18321884	Yes	
row_31	RFC4	11720	-1.0950645901175449E-6	-0.18082654	Yes	
row_32	STAM2	11737	-1.1257554888288723E-6	-0.17179058	Yes	
row_33	TSN	11787	-1.2187784932393697E-6	-0.16414224	Yes	
row_34	MAST2	11852	-1.3649686252392712E-6	-0.15712461	Yes	
row_35	OAZ3	12047	-1.895295667964092E-6	-0.1555733	Yes	
row_36	NCAPH	12144	-2.2179669940669555E-6	-0.14990123	Yes	
row_37	PARP2	12296	-2.7389125989429886E-6	-0.14654183	Yes	
row_38	MLF1	12495	-3.538266355462838E-6	-0.14515871	Yes	
row_39	TOPBP1	12584	-4.08035430154996E-6	-0.13915025	Yes	
row_40	PHKG2	12702	-4.835792879021028E-6	-0.13436121	Yes	
row_41	RAD17	12896	-6.118691544543253E-6	-0.13276784	Yes	
row_42	BRAF	13011	-7.117976110748714E-6	-0.12785265	Yes	
row_43	DBF4	13154	-8.262980372819584E-6	-0.12411481	Yes	
row_44	AGFG1	13194	-8.646340575069189E-6	-0.11604597	Yes	
row_45	GSTM3	13519	-1.199424332298804E-5	-0.11996098	Yes	
row_46	BUB1	13560	-1.2375319784041494E-5	-0.111934185	Yes	
row_47	PHF7	13689	-1.4116371858108323E-5	-0.10760767	Yes	
row_48	LPIN1	13925	-1.796549440769013E-5	-0.10778035	Yes	
row_49	HOXB1	14209	-2.447367114655208E-5	-0.109971374	Yes	
row_50	SHE	14212	-2.4497801859979518E-5	-0.10034673	Yes	
row_51	AURKA	14266	-2.546832365624141E-5	-0.09286657	Yes	
row_52	GMCL1	14278	-2.5787709091673605E-5	-0.08362037	Yes	
row_53	CDK1	14638	-3.556894444045611E-5	-0.08900708	Yes	
row_54	TTK	14651	-3.5837016184814274E-5	-0.07980292	Yes	
row_55	NEK2	14707	-3.789265610976145E-5	-0.07240686	Yes	
row_56	IDE	14948	-4.6104858483886346E-5	-0.07278979	Yes	
row_57	ZC2HC1C	15150	-5.35996732651256E-5	-0.07153282	Yes	
row_58	MAP7	15566	-7.654089131392539E-5	-0.07927425	Yes	
row_59	ACE	15939	-9.966412471840158E-5	-0.0852076	Yes	
row_60	NF2	16202	-1.2172407150501385E-4	-0.08651559	Yes	
row_61	CLVS1	16274	-1.2838534894399345E-4	-0.079792306	Yes	
row_62	CHRM4	16639	-1.691717334324494E-4	-0.085389264	Yes	
row_63	KIF2C	16869	-1.9928911933675408E-4	-0.085309654	Yes	
row_64	HSPA4L	17288	-2.762190706562251E-4	-0.09317724	Yes	
row_65	EZH2	17308	-2.799426147248596E-4	-0.08426742	Yes	
row_66	SIRT1	17467	-3.1668151495978236E-4	-0.081202365	Yes	
row_67	LDHC	17667	-3.702731628436595E-4	-0.0798613	Yes	
row_68	DCC	17763	-4.0099400212056935E-4	-0.07414718	Yes	
row_69	PCSK4	17836	-4.233148356433958E-4	-0.06746594	Yes	
row_70	ART3	18393	-6.790513289161026E-4	-0.08113623	Yes	
row_71	PIAS2	18490	-7.382726762443781E-4	-0.07546415	Yes	
row_72	NPHP1	19451	-0.0016857510199770331	-0.10612208	Yes	
row_73	ACRV1	19583	-0.0019045555964112282	-0.10192171	Yes	
row_74	CNIH2	19591	-0.0019242898561060429	-0.09250731	Yes	
row_75	TCP11	19803	-0.0023489331360906363	-0.091670826	Yes	
row_76	CLGN	20307	-0.0036748009733855724	-0.10311254	Yes	
row_77	ACRBP	20315	-0.003712383098900318	-0.093698144	Yes	
row_78	SPATA6	20413	-0.00409730477258563	-0.08806812	Yes	
row_79	ELOVL3	20428	-0.0041512553580105305	-0.07894806	Yes	
row_80	HSPA1L	20609	-0.0050345053896307945	-0.07680807	Yes	
row_81	SLC12A2	20647	-0.005228720605373383	-0.06865513	Yes	
row_82	TKTL1	20778	-0.006163033191114664	-0.06441271	Yes	
row_83	CAMK4	20813	-0.006360163912177086	-0.056133628	Yes	
row_84	NPY5R	20896	-0.006891133263707161	-0.049872875	Yes	
row_85	IL13RA2	21283	-0.011099559254944324	-0.0563949	Yes	
row_86	CFTR	21349	-0.012277878820896149	-0.04941932	Yes	
row_87	SLC2A5	21450	-0.01405414566397667	-0.043915443	Yes	
row_88	YBX2	21583	-0.016466759145259857	-0.03975712	Yes	
row_89	NEFH	22089	-0.03621140122413635	-0.05128293	Yes	
row_90	IL12RB2	22093	-0.036350056529045105	-0.04170034	Yes	
row_91	GRM8	22399	-0.06540284305810928	-0.044816427	Yes	
row_92	SCG3	22922	-0.25277745723724365	-0.05705706	Yes	
row_93	TEKT2	22966	-0.2837194502353668	-0.049156412	Yes	
