NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OLR1	73	2.614121675491333	0.0021001382	No	
row_1	SERPINE1	176	0.46292269229888916	0.0029762345	No	
row_2	ICOSLG	239	0.24210238456726074	0.005540665	No	
row_3	TUBB2A	416	0.05831842124462128	0.0032933438	No	
row_4	CD83	559	0.02875453419983387	0.0024811067	No	
row_5	SLC2A3	682	0.016988329589366913	0.0025130364	No	
row_6	DUSP2	748	0.01417304016649723	0.0049508414	No	
row_7	NFKBIE	987	0.007511311210691929	8.660351E-5	No	
row_8	F3	1012	0.007078029680997133	0.00425495	No	
row_9	TNIP2	1022	0.006857977248728275	0.009056422	No	
row_10	SLC16A6	1235	0.00435215188190341	0.0052896016	No	
row_11	PLPP3	1250	0.0042874980717897415	0.009880031	No	
row_12	CCRL2	1448	0.002999107586219907	0.006746336	No	
row_13	EHD1	1512	0.002689843066036701	0.009268558	No	
row_14	PLEK	1935	0.001367485267110169	-0.0033620147	No	
row_15	TAP1	2068	0.0011496164370328188	-0.0037521685	No	
row_16	GPR183	2120	0.001079060835763812	-7.2344684E-4	No	
row_17	FOSL2	2504	6.728433072566986E-4	-0.011707894	No	
row_18	EFNA1	2580	6.221511284820735E-4	-0.0096921725	No	
row_19	DRAM1	2619	5.991223151795566E-4	-0.0061147423	No	
row_20	KLF6	2768	5.081307608634233E-4	-0.0071802293	No	
row_21	TNF	2803	4.867035604547709E-4	-0.0034339658	No	
row_22	NINJ1	2824	4.7690889914520085E-4	9.032143E-4	No	
row_23	IRS2	3000	3.906365018337965E-4	-0.001301898	No	
row_24	CD69	3040	3.761570842470974E-4	0.0022333236	No	
row_25	GCH1	3100	3.5410968121141195E-4	0.004924379	No	
row_26	MAP2K3	3454	2.5266953161917627E-4	-0.004793818	No	
row_27	SGK1	3589	2.23265727981925E-4	-0.0052683884	No	
row_28	MAP3K8	4161	1.3439370377454907E-4	-0.024188003	No	
row_29	PANX1	4188	1.3215777289588004E-4	-0.020104073	No	
row_30	GADD45B	4277	1.2234026507940143E-4	-0.01863706	No	
row_31	KLF4	4303	1.1946907034143806E-4	-0.014510921	No	
row_32	GADD45A	4478	9.955200948752463E-5	-0.016673826	No	
row_33	FOSB	4615	8.750222332309932E-5	-0.017232813	No	
row_34	SLC2A6	4705	8.134697418427095E-5	-0.015808009	No	
row_35	IL6	4789	7.497647311538458E-5	-0.0141299525	No	
row_36	FOS	4801	7.410618127323687E-5	-0.009412898	No	
row_37	SIK1	4928	6.678093632217497E-5	-0.009549801	No	
row_38	ICAM1	5005	6.254373874980956E-5	-0.007576288	No	
row_39	SQSTM1	5464	4.170638203504495E-5	-0.02172636	No	
row_40	PLK2	6170	2.3192575099528767E-5	-0.046301894	No	
row_41	PPP1R15A	6261	2.131651490344666E-5	-0.044919297	No	
row_42	NFAT5	6531	1.6282663636957295E-5	-0.05109199	No	
row_43	RIPK2	6590	1.536061245133169E-5	-0.04835873	No	
row_44	INHBA	6592	1.5345829524449073E-5	-0.043219592	No	
row_45	TRIB1	6613	1.5034990610729437E-5	-0.038882412	No	
row_46	JUN	6644	1.4450150047196075E-5	-0.034967314	No	
row_47	IL15RA	6647	1.4380843822436873E-5	-0.029870383	No	
row_48	BTG3	6854	1.181515290227253E-5	-0.033383954	No	
row_49	RHOB	6927	1.1170039215357974E-5	-0.031241607	No	
row_50	CEBPD	7005	1.0236924936180003E-5	-0.029310303	No	
row_51	B4GALT1	7143	8.837053428578656E-6	-0.029911498	No	
row_52	TRIP10	7396	6.738613137713401E-6	-0.035366654	No	
row_53	PDLIM5	7570	5.3888616093900055E-6	-0.037487347	No	
row_54	BIRC2	7606	5.081099970993819E-6	-0.033783294	No	
row_55	DNAJB4	7738	4.304437879909528E-6	-0.03413124	No	
row_56	EDN1	7796	4.002301920991158E-6	-0.03135577	No	
row_57	FUT4	7865	3.6412636745808413E-6	-0.029044587	No	
row_58	LIF	7971	3.1568970371154137E-6	-0.028295116	No	
row_59	YRDC	8354	1.8784708117891569E-6	-0.039237354	No	
row_60	ATF3	8402	1.7594337577975239E-6	-0.0360398	No	
row_61	IL6ST	8435	1.6737755004214705E-6	-0.03220912	No	
row_62	EGR1	9230	3.3104464591815486E-7	-0.060541194	No	
row_63	BHLHE40	9339	2.1975198194468248E-7	-0.059918348	No	
row_64	IFIH1	10754	-1.3805401266608897E-9	-0.114419594	No	
row_65	CCNL1	10876	-5.171846240159539E-8	-0.11434545	No	
row_66	ABCA1	11316	-4.2985604409295775E-7	-0.12769356	No	
row_67	CDKN1A	11319	-4.356020610885025E-7	-0.12259664	No	
row_68	ZBTB10	11372	-5.013042141399637E-7	-0.11961012	No	
row_69	TGIF1	11433	-5.905432658437348E-7	-0.11696128	No	
row_70	KLF2	11617	-8.833703759592026E-7	-0.11950406	No	
row_71	B4GALT5	11635	-9.233599485014565E-7	-0.11504025	No	
row_72	ZFP36	11822	-1.2807892062483006E-6	-0.11770966	No	
