NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SSR1	316	0.11400549113750458	-0.0039438014	Yes	
row_1	TUBB2A	416	0.05831842124462128	0.00123848	Yes	
row_2	WFS1	560	0.02873316779732704	0.0045703114	Yes	
row_3	NOP14	578	0.025383999571204185	0.0132011585	Yes	
row_4	EXOSC5	742	0.014438564889132977	0.015691876	Yes	
row_5	NFYB	960	0.008045892231166363	0.015911588	Yes	
row_6	EXOC2	1099	0.005594258196651936	0.019453697	Yes	
row_7	DNAJC3	1134	0.005193943623453379	0.027369598	Yes	
row_8	POP4	1374	0.0034539359621703625	0.026664084	Yes	
row_9	SRPRB	1609	0.002229984849691391	0.02616885	Yes	
row_10	HYOU1	1685	0.001979877008125186	0.032360468	Yes	
row_11	EIF4G1	1706	0.0018810754409059882	0.040865146	Yes	
row_12	WIPI1	1850	0.0015232028672471642	0.04419698	Yes	
row_13	IFIT1	1917	0.0013872727286070585	0.050767098	Yes	
row_14	NABP1	2463	7.048549596220255E-4	0.037192546	Yes	
row_15	IMP3	2993	3.936275315936655E-4	0.024290882	Yes	
row_16	ATP6V0D1	3264	3.0251219868659973E-4	0.022281643	Yes	
row_17	SERP1	3340	2.8162094531580806E-4	0.02847326	Yes	
row_18	CALR	3350	2.792558807414025E-4	0.037440553	Yes	
row_19	YWHAZ	3391	2.695776929613203E-4	0.04510412	Yes	
row_20	FKBP14	3404	2.661081380210817E-4	0.053945247	Yes	
row_21	LSM1	3614	2.1859430125914514E-4	0.054501403	Yes	
row_22	EIF4A1	3709	2.0110727928113192E-4	0.059893962	Yes	
row_23	KIF5B	3718	1.9972817972302437E-4	0.06890331	Yes	
row_24	NPM1	4185	1.325445482507348E-4	0.058651157	Yes	
row_25	NOP56	4210	1.290870422963053E-4	0.06698761	Yes	
row_26	EEF2	4221	1.2842475553043187E-4	0.075912856	Yes	
row_27	DCTN1	4633	8.620878361398354E-5	0.06797376	Yes	
row_28	EIF2S1	5063	6.015033432049677E-5	0.05927767	Yes	
row_29	PARN	5172	5.5067350331228226E-5	0.064081445	Yes	
row_30	BAG3	5296	4.8814112233230844E-5	0.06825439	Yes	
row_31	NHP2	5460	4.174540299572982E-5	0.07074511	Yes	
row_32	EXOSC4	5586	3.7867575883865356E-5	0.074833944	Yes	
row_33	YIF1A	5597	3.765132714761421E-5	0.08375918	Yes	
row_34	SEC31A	5627	3.681713133119047E-5	0.09188536	Yes	
row_35	EXOSC10	5675	3.560260302037932E-5	0.09925454	Yes	
row_36	ZBTB17	5724	3.413731974433176E-5	0.10658166	Yes	
row_37	GOSR2	5732	3.391655991435982E-5	0.11563306	Yes	
row_38	EXOSC1	5980	2.7478004994918592E-5	0.11459111	Yes	
row_39	EIF2AK3	6106	2.4253633455373347E-5	0.11867994	Yes	
row_40	GEMIN4	6197	2.268595744681079E-5	0.12424072	Yes	
row_41	HERPUD1	6405	1.8474227545084432E-5	0.12488099	Yes	
row_42	EDC4	6492	1.688993324933108E-5	0.13060999	Yes	
row_43	SHC1	6576	1.559046359034255E-5	0.13646516	Yes	
row_44	KHSRP	6659	1.4253437257139012E-5	0.1423624	Yes	
row_45	CKS1B	6785	1.2639548003789969E-5	0.14645123	Yes	
row_46	RPS14	6800	1.249001161340857E-5	0.15520824	Yes	
row_47	RRP9	7041	9.876592230284587E-6	0.15446067	Yes	
row_48	SRPRA	7128	8.965059350884985E-6	0.16018967	Yes	
row_49	PAIP1	7134	8.925041584006976E-6	0.16932519	Yes	
row_50	EIF4EBP1	7141	8.88902104634326E-6	0.17841865	Yes	
row_51	SLC7A5	7312	7.397565241262782E-6	0.18061498	Yes	
row_52	SPCS1	7380	6.9029233600304E-6	0.18714304	Yes	
row_53	DDX10	7715	4.464975063456222E-6	0.18244225	Yes	
row_54	EDEM1	7728	4.378202902444173E-6	0.19128336	Yes	
row_55	DCP2	7902	3.4236791179864667E-6	0.19335353	Yes	
row_56	LSM4	8352	1.8849598291126313E-6	0.18381631	Yes	
row_57	ATF3	8402	1.7594337577975239E-6	0.19110139	Yes	
row_58	FUS	8456	1.6466131000925088E-6	0.19821823	Yes	
row_59	NOLC1	8536	1.4948957414162578E-6	0.20424162	Yes	
row_60	ALDH18A1	8647	1.2705230574283632E-6	0.2089613	Yes	
row_61	CNOT2	8672	1.2244464642208186E-6	0.21729775	Yes	
row_62	BANF1	8690	1.1912317177120713E-6	0.2259286	Yes	
row_63	HSPA5	8976	6.896489139762707E-7	0.22328852	Yes	
row_64	PSAT1	9060	5.700997576241207E-7	0.2291437	Yes	
row_65	KDELR3	9115	5.018209776608273E-7	0.23621848	Yes	
row_66	XPOT	9575	7.154572756462585E-8	0.22626072	Yes	
row_67	XBP1	9602	6.074465375149884E-8	0.23451306	Yes	
row_68	PDIA5	9676	2.977282598237707E-8	0.24078879	Yes	
row_69	DKC1	9678	2.875644966593427E-8	0.25009254	Yes	
row_70	HSPA9	10894	-6.506272853812334E-8	0.20834067	Yes	
row_71	EXOSC2	11539	-7.465954467988922E-7	0.1906026	Yes	
row_72	EIF4A3	11664	-9.764322612682008E-7	0.1947335	Yes	
row_73	EIF4E	11669	-9.853954452410107E-7	0.20391107	Yes	
row_74	ARFGAP1	11681	-1.0177074045714107E-6	0.21279424	Yes	
row_75	SLC1A4	11719	-1.0889291388593847E-6	0.22058399	Yes	
row_76	ASNS	12233	-2.5274287054344313E-6	0.20835522	Yes	
row_77	ERO1A	12287	-2.69159772869898E-6	0.21547206	Yes	
row_78	TSPYL2	12567	-3.975508207076928E-6	0.21308431	Yes	
row_79	DNAJB9	12587	-4.0916111174738035E-6	0.22163105	Yes	
row_80	PREB	12629	-4.284772330720443E-6	0.22925256	Yes	
row_81	HSP90B1	12789	-5.3411581575346645E-6	0.2319115	Yes	
row_82	EIF4A2	12983	-6.8848921728204004E-6	0.23314054	Yes	
row_83	CEBPG	13333	-9.970806786441244E-6	0.22780891	Yes	
row_84	SDAD1	13420	-1.0869594916584902E-5	0.23353791	Yes	
row_85	CNOT6	13736	-1.4841320989944506E-5	0.22963616	Yes	
row_86	NFYA	14127	-2.1961053789709695E-5	0.22258025	Yes	
row_87	SLC30A5	14484	-3.0792871257290244E-5	0.21695422	Yes	
row_88	ATF6	14540	-3.251483940402977E-5	0.22398695	Yes	
row_89	CEBPB	14619	-3.4930399124277756E-5	0.2300524	Yes	
row_90	SEC11A	14701	-3.760172694455832E-5	0.23599169	Yes	
row_91	MTHFD2	14974	-4.7127246944000944E-5	0.23389833	Yes	
row_92	ERN1	15094	-5.12798287672922E-5	0.2382395	Yes	
row_93	CHAC1	15099	-5.1562528824433684E-5	0.24741708	Yes	
row_94	CXXC1	15100	-5.156990300747566E-5	0.25676286	Yes	
row_95	CNOT4	15366	-6.385974847944453E-5	0.2549639	Yes	
row_96	TATDN2	15379	-6.451400258811191E-5	0.26380503	Yes	
row_97	PDIA6	15476	-7.027552783256397E-5	0.26911348	Yes	
row_98	ATF4	15690	-8.396251359954476E-5	0.26950142	Yes	
row_99	SPCS3	16922	-2.0809129637200385E-4	0.22707666	No	
