NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C4BPB	39	4.529153823852539	0.0048500863	Yes	
row_1	MAOA	279	0.15702615678310394	0.0012723781	Yes	
row_2	CCNE1	403	0.06354885548353195	0.0025827908	Yes	
row_3	AP2S1	746	0.014309260062873363	-0.005335232	Yes	
row_4	HMOX1	800	0.01210943702608347	-0.001075091	Yes	
row_5	ACAA1	1188	0.004799760412424803	-0.010889367	Yes	
row_6	KLHDC3	1212	0.004560086410492659	-0.0053650574	Yes	
row_7	PTPRD	1395	0.0033136303536593914	-0.006540844	Yes	
row_8	GPX3	1419	0.0031575344037264585	-0.001016534	Yes	
row_9	CLTB	1504	0.0027196649461984634	0.0019372986	Yes	
row_10	KCNH2	1536	0.0025644521228969097	0.007124497	Yes	
row_11	CCND3	1570	0.002428877167403698	0.012227417	Yes	
row_12	SLC25A4	1589	0.0023278160952031612	0.017962422	Yes	
row_13	BAK1	1869	0.0014948986936360598	0.012699155	Yes	
row_14	PDLIM3	1903	0.0014125211164355278	0.017802075	Yes	
row_15	TAP1	2068	0.0011496164370328188	0.01738479	Yes	
row_16	PSMC3	2636	5.878998199477792E-4	-1.4501842E-5	Yes	
row_17	NKX2-5	2668	5.692622507922351E-4	0.0051726964	Yes	
row_18	ATP6V1F	2728	5.272118141874671E-4	0.009180004	Yes	
row_19	APOM	2742	5.199788720346987E-4	0.015125703	Yes	
row_20	NAT1	2747	5.177123821340501E-4	0.021450654	Yes	
row_21	ALAS1	2771	5.057072849012911E-4	0.026974965	Yes	
row_22	HLA-F	2846	4.6481002937071025E-4	0.030350186	Yes	
row_23	MGAT1	2848	4.643237334676087E-4	0.036801554	Yes	
row_24	YKT6	3001	3.905392368324101E-4	0.036889937	Yes	
row_25	GCH1	3100	3.5410968121141195E-4	0.039253823	Yes	
row_26	POLR2H	3276	2.996745170094073E-4	0.03837301	Yes	
row_27	FKBP4	3313	2.9041318339295685E-4	0.043349512	Yes	
row_28	LYN	3382	2.7163553750142455E-4	0.04697757	Yes	
row_29	SHOX2	3485	2.4709413992241025E-4	0.0491729	Yes	
row_30	CDK2	3537	2.3634782701265067E-4	0.05351732	Yes	
row_31	EIF2S3	3587	2.245011564809829E-4	0.057946015	Yes	
row_32	CYB5R1	3973	1.612059713806957E-4	0.04821602	Yes	
row_33	CDKN2B	4224	1.279529242310673E-4	0.04417478	Yes	
row_34	CDC5L	4334	1.1590096983127296E-4	0.04607514	Yes	
row_35	CLCN2	4575	9.067016799235716E-5	0.04245529	Yes	
row_36	FOSB	4615	8.750222332309932E-5	0.04730538	Yes	
row_37	LHX2	4728	7.951410952955484E-5	0.049079318	Yes	
row_38	TGFBRAP1	4753	7.798835576977581E-5	0.05456149	Yes	
row_39	IL6	4789	7.497647311538458E-5	0.059580132	Yes	
row_40	FOS	4801	7.410618127323687E-5	0.06561011	Yes	
row_41	CHKA	4826	7.287945481948555E-5	0.07109228	Yes	
row_42	RXRB	4895	6.870894139865413E-5	0.07472034	Yes	
row_43	PPIF	4948	6.587253301404417E-5	0.079022616	Yes	
row_44	ICAM1	5005	6.254373874980956E-5	0.08315634	Yes	
row_45	TUBA4A	5141	5.622900789603591E-5	0.083961084	Yes	
row_46	GRPEL1	5182	5.473267810884863E-5	0.08876903	Yes	
row_47	PLCL1	5212	5.238402445684187E-5	0.09404051	Yes	
row_48	STK25	5336	4.6987493988126516E-5	0.09535092	Yes	
row_49	SQSTM1	5464	4.170638203504495E-5	0.09649278	Yes	
row_50	NXF1	5692	3.5210803616791964E-5	0.09342074	Yes	
row_51	GGH	5730	3.39372745656874E-5	0.09835511	Yes	
row_52	PRKACA	5882	2.998116542585194E-5	0.09848563	Yes	
row_53	RASGRP1	5887	2.9807462851749733E-5	0.10481057	Yes	
row_54	WIZ	5963	2.7919104468310252E-5	0.10814366	Yes	
row_55	NUP58	6376	1.9013439668924548E-5	0.097275905	Yes	
row_56	BTG3	6854	1.181515290227253E-5	0.083669126	Yes	
row_57	FURIN	6866	1.1724775504262652E-5	0.089699104	Yes	
row_58	RHOB	6927	1.1170039215357974E-5	0.093664266	Yes	
row_59	CASP3	6991	1.0408340131107252E-5	0.09750302	Yes	
row_60	FEN1	7022	1.0036358617071528E-5	0.10273236	Yes	
row_61	HYAL2	7211	8.116727258311585E-6	0.101303734	Yes	
row_62	CYP1A1	7313	7.396661658276571E-6	0.10354121	Yes	
row_63	MRPL23	7546	5.598624738922808E-6	0.10025847	Yes	
row_64	DGAT1	7612	5.0515695875219535E-6	0.104012944	Yes	
row_65	PPP1R2	7690	4.5604656406794675E-6	0.10726175	Yes	
row_66	EIF5	7855	3.6957324027753202E-6	0.10684446	Yes	
row_67	MARK2	7862	3.6473350064625265E-6	0.113085136	Yes	
row_68	TMBIM6	7895	3.4566528483992442E-6	0.118230194	Yes	
row_69	BID	8049	2.8785455015167827E-6	0.11827644	Yes	
row_70	ABCB1	8399	1.7631764421821572E-6	0.11006345	Yes	
row_71	ATF3	8402	1.7594337577975239E-6	0.11647268	Yes	
row_72	IL6ST	8435	1.6737755004214705E-6	0.121617734	Yes	
row_73	STARD3	8540	1.4870370250719134E-6	0.12372879	Yes	
row_74	ARRB2	8959	7.285633500941913E-7	0.1126082	Yes	
row_75	GRINA	9019	6.349025056806568E-7	0.11661551	Yes	
row_76	STIP1	9051	5.802596660942072E-7	0.12180271	Yes	
row_77	CYB5B	9151	4.517596039477212E-7	0.12412445	Yes	
row_78	SPR	9176	4.060293861130049E-7	0.12960662	Yes	
row_79	TST	9207	3.5626192129711853E-7	0.13483596	Yes	
row_80	TCHH	9301	2.5652553858890315E-7	0.13741055	Yes	
row_81	HNRNPU	9312	2.4530504560971167E-7	0.14348266	Yes	
row_82	GLS	9423	1.5585769119752513E-7	0.14534087	Yes	
row_83	POLE3	9429	1.5168799905040942E-7	0.1516237	Yes	
row_84	RRAD	9740	6.055475232358276E-9	0.14505412	No	
row_85	CNP	9748	3.851332142090769E-9	0.15125266	No	
row_86	SLC6A12	10653	0.0	0.119652525	No	
row_87	RPN1	10730	-2.018336608955451E-10	0.12294347	No	
row_88	FGF18	11260	-3.5825968325298163E-7	0.10714546	No	
row_89	MAPK8IP2	11327	-4.467197243229748E-7	0.11085779	No	
row_90	PDAP1	11481	-6.535053671541391E-7	0.11090404	No	
row_91	EPHX1	11490	-6.639734237978701E-7	0.11706043	No	
row_92	PRPF3	11689	-1.0361499107602867E-6	0.11521042	No	
row_93	RFC4	11720	-1.0950645901175449E-6	0.12043976	No	
row_94	ASNS	12233	-2.5274287054344313E-6	0.10535811	No	
row_95	PARP2	12296	-2.7389125989429886E-6	0.109239	No	
row_96	PPAT	12396	-3.1355807550426107E-6	0.11156075	No	
row_97	FMO1	12529	-3.6944193197996356E-6	0.11249191	No	
row_98	DDX21	12577	-4.062582775077317E-6	0.117004886	No	
row_99	ATP6V1C1	12922	-6.32485034657293E-6	0.10900258	No	
row_100	CDC34	13060	-7.515471224905923E-6	0.109723054	No	
row_101	UROD	13136	-8.081648047664203E-6	0.11305613	No	
row_102	CEBPG	13333	-9.970806786441244E-6	0.1112904	No	
row_103	NTRK3	13339	-1.0044183909485582E-5	0.11757322	No	
row_104	AMD1	13463	-1.1423043360991869E-5	0.118883625	No	
row_105	ALDOA	13540	-1.2180580597487278E-5	0.12217457	No	
row_106	TACR3	14112	-2.1639900296577252E-5	0.104606725	No	
row_107	BSG	14185	-2.3831898943171836E-5	0.10806622	No	
row_108	SIGMAR1	14384	-2.8346748877083883E-5	0.106216215	No	
row_109	GAL	14782	-4.01052093366161E-5	0.09598055	No	
row_110	PRKCD	14819	-4.142330362810753E-5	0.10095705	No	
row_111	CREG1	14853	-4.256734246155247E-5	0.10605997	No	
row_112	TFRC	14979	-4.740110307466239E-5	0.1072861	No	
row_113	DNAJA1	14998	-4.789959712070413E-5	0.11302111	No	
row_114	MSX1	15335	-6.2390165112447E-5	0.10535592	No	
row_115	NFKBIA	15544	-7.493648445233703E-5	0.10308452	No	
row_116	POLG2	15572	-7.674826338188723E-5	0.10844027	No	
row_117	HSPA13	15611	-7.871122215874493E-5	0.1133325	No	
row_118	DNAJB1	15672	-8.32364457892254E-5	0.11729767	No	
row_119	JUNB	15783	-9.033541573444381E-5	0.11915589	No	
row_120	SULT1A1	15786	-9.063481411430985E-5	0.12556511	No	
row_121	EPCAM	15924	-9.863324521575123E-5	0.12628558	No	
row_122	BTG1	16142	-1.1519607505761087E-4	0.123634934	No	
row_123	BTG2	16200	-1.2163833889644593E-4	0.12772653	No	
row_124	RAB27A	16225	-1.241088903043419E-4	0.13320869	No	
row_125	E2F5	16713	-1.7763421055860817E-4	0.119180515	No	
row_126	COL2A1	16765	-1.8442622967995703E-4	0.123524934	No	
row_127	IRF1	16872	-2.003217814490199E-4	0.12555172	No	
row_128	TYRO3	17125	-2.4098620633594692E-4	0.121426195	No	
row_129	BCL2L11	17754	-3.966141666751355E-4	0.101456426	No	
row_130	MMP14	17755	-3.973740094806999E-4	0.107949935	No	
row_131	PPT1	18298	-6.30516791716218E-4	0.09160411	No	
row_132	CCK	18458	-7.146469433791935E-4	0.091397524	No	
row_133	NPTXR	19149	-0.0012865799944847822	0.068815134	No	
row_134	SOD2	19480	-0.0017390168504789472	0.061402783	No	
row_135	CHRNA5	19575	-0.0018913736566901207	0.06393523	No	
row_136	CTSV	20113	-0.003113526850938797	0.047800105	No	
row_137	AGO2	20569	-0.004810004495084286	0.035120375	No	
row_138	AQP3	20773	-0.006136781070381403	0.03305967	No	
row_139	SLC6A8	20843	-0.0065270233899354935	0.036645588	No	
row_140	IGFBP2	21235	-0.010319874621927738	0.026662756	No	
row_141	ENO2	21980	-0.02958010509610176	0.001804866	No	
row_142	DLG4	22000	-0.030784819275140762	0.007497732	No	
row_143	BMP2	22127	-0.038792066276073456	0.008681728	No	
row_144	CDO1	22133	-0.039445050060749054	0.01496454	No	
row_145	CDKN1C	22612	-0.11062835901975632	0.0013156162	No	
row_146	NPTX2	22696	-0.13648012280464172	0.0043115877	No	
row_147	NR4A1	22758	-0.15986737608909607	0.008234617	No	
row_148	RET	22987	-0.30206775665283203	0.005120437	No	
row_149	HSPA2	23157	-0.5010555982589722	0.004492457	No	
row_150	CXCL2	23385	-1.1823896169662476	0.0014204165	No	
