NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SKP2	427	0.05458258464932442	0.007092682	No	
row_1	PSEN2	732	0.014745010063052177	0.019343678	No	
row_2	WNT5B	878	0.009728794917464256	0.03826274	No	
row_3	LEF1	1026	0.006798340938985348	0.057097927	No	
row_4	CTNNB1	3708	2.0171450159978122E-4	-0.03033655	No	
row_5	HDAC11	4162	1.3437980669550598E-4	-0.024334243	No	
row_6	WNT6	4659	8.399584476137534E-5	-0.020135248	No	
row_7	TP53	4829	7.270059722941369E-5	-0.0022226884	No	
row_8	NCOR2	5326	4.737410199595615E-5	0.0019763052	No	
row_9	PPARD	5408	4.362949403002858E-5	0.023579367	No	
row_10	FRAT1	5593	3.772113268496469E-5	0.040862866	No	
row_11	RBPJ	5719	3.432571975281462E-5	0.060620677	No	
row_12	AXIN2	6876	1.1603838174778502E-5	0.03714091	No	
row_13	DVL2	7923	3.330750587338116E-6	0.018274272	No	
row_14	AXIN1	8515	1.532445935481519E-6	0.0184892	No	
row_15	KAT2A	9092	5.349315301828028E-7	0.019333193	No	
row_16	NCSTN	9359	2.0237307296611107E-7	0.033177815	No	
row_17	CUL1	10739	-4.970692191186288E-10	3.4598436E-4	No	
row_18	NUMB	11598	-8.488356115776696E-7	-0.010636402	No	
row_19	MAML1	12150	-2.231516418760293E-6	-0.008743972	No	
row_20	CCND2	12363	-3.0243668334151153E-6	0.0073652756	No	
row_21	HDAC2	13458	-1.1383360288164113E-5	-0.013514364	No	
row_22	GNAI1	15004	-4.807207005796954E-5	-0.053307824	No	
row_23	HEY1	15127	-5.270857582218014E-5	-0.0334242	No	
row_24	NKD1	15742	-8.777954644756392E-5	-0.03417383	No	
row_25	PTCH1	16634	-1.6875728033483028E-4	-0.046540156	No	
row_26	DKK1	17834	-4.230107006151229E-4	-0.07182323	Yes	
row_27	MYC	17930	-4.5838826918043196E-4	-0.050807297	Yes	
row_28	NOTCH1	18057	-5.090846098028123E-4	-0.031091424	Yes	
row_29	ADAM17	18194	-5.702103953808546E-4	-0.011794926	Yes	
row_30	NOTCH4	18800	-9.486444178037345E-4	-0.012167121	Yes	
row_31	CSNK1E	19619	-0.001980074681341648	-0.021472007	Yes	
row_32	HDAC5	19672	-0.002087182831019163	0.0013472424	Yes	
row_33	FZD1	20670	-0.00534617155790329	-0.015464459	Yes	
row_34	HEY2	20854	-0.0065969908609986305	0.0018609769	Yes	
row_35	FZD8	22398	-0.06536123901605606	-0.037848607	Yes	
row_36	JAG2	22451	-0.07335503399372101	-0.015029357	Yes	
row_37	TCF7	22706	-0.14163999259471893	-6.814849E-4	Yes	
row_38	JAG1	23726	-6.113379955291748	-0.01841581	Yes	
row_39	DLL1	23818	-10.994988441467285	0.0027678756	Yes	
