NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_ADIPOGENESIS	200	186		
HALLMARK_ALLOGRAFT_REJECTION	200	160		
HALLMARK_ANDROGEN_RESPONSE	101	95		
HALLMARK_ANGIOGENESIS	36	34		
HALLMARK_APICAL_JUNCTION	200	186		
HALLMARK_APICAL_SURFACE	44	42		
HALLMARK_APOPTOSIS	161	154		
HALLMARK_BILE_ACID_METABOLISM	112	101		
HALLMARK_CHOLESTEROL_HOMEOSTASIS	74	71		
HALLMARK_COAGULATION	138	116		
HALLMARK_COMPLEMENT	200	179		
HALLMARK_DNA_REPAIR	150	146		
HALLMARK_E2F_TARGETS	200	196		
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	197		
HALLMARK_ESTROGEN_RESPONSE_EARLY	200	192		
HALLMARK_ESTROGEN_RESPONSE_LATE	200	192		
HALLMARK_FATTY_ACID_METABOLISM	158	144		
HALLMARK_G2M_CHECKPOINT	200	190		
HALLMARK_GLYCOLYSIS	200	193		
HALLMARK_HEDGEHOG_SIGNALING	36	34		
HALLMARK_HEME_METABOLISM	200	175		
HALLMARK_HYPOXIA	200	187		
HALLMARK_IL2_STAT5_SIGNALING	199	186		
HALLMARK_IL6_JAK_STAT3_SIGNALING	87	81		
HALLMARK_INFLAMMATORY_RESPONSE	200	179		
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	94		
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	187		
HALLMARK_KRAS_SIGNALING_DN	200	152		
HALLMARK_KRAS_SIGNALING_UP	200	184		
HALLMARK_MITOTIC_SPINDLE	199	196		
HALLMARK_MTORC1_SIGNALING	200	194		
HALLMARK_MYC_TARGETS_V1	200	194		
HALLMARK_MYC_TARGETS_V2	58	57		
HALLMARK_MYOGENESIS	200	173		
HALLMARK_NOTCH_SIGNALING	32	32		
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	185		
HALLMARK_P53_PATHWAY	200	193		
HALLMARK_PANCREAS_BETA_CELLS	40	29		
HALLMARK_PEROXISOME	104	98		
HALLMARK_PI3K_AKT_MTOR_SIGNALING	105	99		
HALLMARK_PROTEIN_SECRETION	96	94		
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49	48		
HALLMARK_SPERMATOGENESIS	135	103		
HALLMARK_TGF_BETA_SIGNALING	54	53		
HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	193		
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113	107		
HALLMARK_UV_RESPONSE_DN	144	140		
HALLMARK_UV_RESPONSE_UP	158	154		
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42	40		
HALLMARK_XENOBIOTIC_METABOLISM	200	181		
