NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	184	-0.27221197	-4.279757	0.0	0.0	0.0	8088	tags=61%, list=34%, signal=91%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	152	-0.2553939	-3.7440796	0.0	0.0	0.0	9025	tags=63%, list=38%, signal=101%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	197	-0.16727418	-2.7841642	0.0	2.7999998E-4	0.001	7678	tags=49%, list=32%, signal=71%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	173	-0.17301232	-2.758151	0.0019646366	2.0999998E-4	0.001	7772	tags=50%, list=33%, signal=73%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	193	-0.1567913	-2.5110602	0.0	0.0013009919	0.008	9652	tags=56%, list=40%, signal=93%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	103	-0.20171124	-2.371683	0.0019569471	0.0022948098	0.017	12364	tags=72%, list=52%, signal=148%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	179	-0.14858882	-2.3183625	0.002	0.0027956846	0.024	10089	tags=57%, list=42%, signal=98%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	34	-0.27791288	-1.9328394	0.009920635	0.020715274	0.179	9530	tags=68%, list=40%, signal=112%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	29	-0.27880064	-1.8177587	0.025917927	0.03466231	0.312	4057	tags=45%, list=17%, signal=54%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	42	-0.22099228	-1.7149831	0.021912351	0.053371176	0.477	5537	tags=45%, list=23%, signal=59%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	34	-0.23284139	-1.6183418	0.035928145	0.081802085	0.668	9200	tags=62%, list=39%, signal=100%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	116	-0.123474725	-1.575895	0.058467742	0.09034297	0.748	3861	tags=28%, list=16%, signal=34%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	187	-0.095477946	-1.5080357	0.070993915	0.10972096	0.824	9617	tags=50%, list=40%, signal=83%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	179	-0.095723584	-1.500297	0.08414873	0.106208615	0.838	4537	tags=28%, list=19%, signal=35%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	186	-0.085885376	-1.3521405	0.13485478	0.18439174	0.967	10807	tags=54%, list=45%, signal=97%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	192	-0.07237766	-1.1543788	0.27362204	0.35024726	0.999	3511	tags=22%, list=15%, signal=25%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	81	-0.09403958	-1.0080063	0.4520548	0.529293	1.0	1301	tags=15%, list=5%, signal=16%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	186	-0.061532225	-0.9595897	0.48221344	0.5730077	1.0	6376	tags=33%, list=27%, signal=44%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	40	-0.09682324	-0.7270037	0.8292683	0.8959866	1.0	6052	tags=35%, list=25%, signal=47%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	32	-0.103451386	-0.70477474	0.8319838	0.88174075	1.0	519	tags=13%, list=2%, signal=13%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		160	-0.04574286	-0.6676566	0.8909091	0.8830549	1.0	9664	tags=45%, list=40%, signal=75%	
