NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	194	0.37891957	6.11074	0.0	0.0	0.0	12814	tags=91%, list=54%, signal=195%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	185	0.32363784	5.1315646	0.0	0.0	0.0	11695	tags=81%, list=49%, signal=158%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	194	0.24197493	3.914718	0.0	0.0	0.0	15689	tags=90%, list=66%, signal=259%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	146	0.262948	3.668097	0.0	0.0	0.0	12734	tags=79%, list=53%, signal=169%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	94	0.29549748	3.4225545	0.0	0.0	0.0	12026	tags=80%, list=50%, signal=160%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	107	0.26950142	3.2636545	0.0	0.0	0.0	15690	tags=93%, list=66%, signal=268%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	186	0.19925414	3.0959184	0.0	0.0	0.0	9274	tags=59%, list=39%, signal=95%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	57	0.34721646	3.0891402	0.0	0.0	0.0	9325	tags=74%, list=39%, signal=121%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	196	0.18721162	3.0484362	0.0	0.0	0.0	16037	tags=86%, list=67%, signal=259%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	71	0.25457978	2.5397797	0.0	3.3181216E-4	0.003	8402	tags=61%, list=35%, signal=93%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	196	0.15436356	2.493864	0.0	3.0164744E-4	0.003	16937	tags=86%, list=71%, signal=294%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	190	0.14375125	2.2425563	0.0	0.002245541	0.023	19095	tags=94%, list=80%, signal=466%	
