NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFA3	547	0.03074543923139572	-0.016192937	Yes	
row_1	NDUFC2	556	0.028917495161294937	-0.00968062	Yes	
row_2	PSEN2	732	0.014745010063052177	-0.010203141	Yes	
row_3	PLCB4	844	0.01055823639035225	-0.008029676	Yes	
row_4	RYR3	1182	0.004853988531976938	-0.0153764095	Yes	
row_5	BAD	1330	0.003741072490811348	-0.014719437	Yes	
row_6	SDHA	1514	0.00267499266192317	-0.015578955	Yes	
row_7	CASP8	2070	0.001148989307694137	-0.03210889	Yes	
row_8	UQCR11	2112	0.0010882163187488914	-0.026986692	Yes	
row_9	HSD17B10	2199	9.529427625238895E-4	-0.023760106	Yes	
row_10	NDUFB3	2298	8.455110364593565E-4	-0.02103902	Yes	
row_11	ADAM10	2299	8.45039845444262E-4	-0.014189705	Yes	
row_12	LRP1	2718	5.327847902663052E-4	-0.024948547	Yes	
row_13	ITPR2	2780	5.023134290240705E-4	-0.020668842	Yes	
row_14	TNF	2803	4.867035604547709E-4	-0.014746272	Yes	
row_15	CYCS	2853	4.623426357284188E-4	-0.009961071	Yes	
row_16	PPP3CC	2924	4.2570228106342256E-4	-0.0060604904	Yes	
row_17	NDUFS3	3071	3.647752455435693E-4	-0.0053613926	Yes	
row_18	NDUFS6	3207	3.18557140417397E-4	-0.0041989223	Yes	
row_19	BACE1	3306	2.916578669101E-4	-0.0014778352	Yes	
row_20	CAPN2	3343	2.813587780110538E-4	0.003854988	Yes	
row_21	NDUFB2	3403	2.664527273736894E-4	0.008218941	Yes	
row_22	COX7A2L	3405	2.6609745691530406E-4	0.015026132	Yes	
row_23	NDUFV3	3493	2.460271352902055E-4	0.018210592	Yes	
row_24	CALM3	3549	2.3266505741048604E-4	0.022743043	Yes	
row_25	MAPT	3710	2.009150048252195E-4	0.022852395	Yes	
row_26	COX7C	3823	1.821322221076116E-4	0.024983734	Yes	
row_27	COX6A1	3892	1.7214150284416974E-4	0.028968565	Yes	
row_28	NDUFV2	4036	1.5138575690798461E-4	0.029794037	Yes	
row_29	NDUFA2	4051	1.4867390564177185E-4	0.036053605	Yes	
row_30	COX8A	4052	1.4863121032249182E-4	0.04290292	Yes	
row_31	BACE2	4112	1.4105750597082078E-4	0.047266874	Yes	
row_32	COX6B1	4198	1.305738987866789E-4	0.050535582	Yes	
row_33	UQCRQ	4261	1.2376382073853165E-4	0.054773163	Yes	
row_34	UQCRB	4630	8.643928595120087E-5	0.046120558	Yes	
row_35	NDUFS7	4724	7.996602653292939E-5	0.049052272	Yes	
row_36	NDUFA6	4745	7.84886215114966E-5	0.05505909	Yes	
row_37	CAPN1	4766	7.713569357292727E-5	0.06106591	Yes	
row_38	NDUFB4	5047	6.0967024182900786E-5	0.056120288	Yes	
row_39	PLCB3	5254	5.056280497228727E-5	0.0542919	Yes	
row_40	SDHB	5300	4.861512570641935E-5	0.059245598	Yes	
row_41	NDUFA1	5312	4.805487333214842E-5	0.06563154	Yes	
row_42	CASP9	5417	4.327664282754995E-5	0.06809988	Yes	
row_43	NDUFAB1	5423	4.315260230214335E-5	0.07473857	Yes	
row_44	NDUFB1	5523	3.978208405897021E-5	0.07741753	Yes	
row_45	NDUFB8	5793	3.206056135240942E-5	0.07293528	Yes	
row_46	GAPDH	5823	3.126031515421346E-5	0.07856298	Yes	
row_47	APH1A	6070	2.5302302674390376E-5	0.0750496	Yes	
row_48	EIF2AK3	6106	2.4253633455373347E-5	0.08042455	Yes	
row_49	UQCRC1	6111	2.4208537070080638E-5	0.08710536	Yes	
row_50	ITPR3	6209	2.241613583464641E-5	0.089868575	Yes	
row_51	NDUFA10	6335	1.9855435311910696E-5	0.09145229	Yes	
row_52	COX7B2	6337	1.9795743355643936E-5	0.098259486	Yes	
row_53	NDUFA9	6448	1.7595542885828763E-5	0.10047507	Yes	
row_54	CHP1	6708	1.3639049939229153E-5	0.096414074	Yes	
row_55	NDUFB5	6755	1.3089860658510588E-5	0.101325646	Yes	
row_56	SDHC	6858	1.1798207196989097E-5	0.10387824	Yes	
row_57	CASP3	6991	1.0408340131107252E-5	0.10516708	Yes	
row_58	PPP3CA	7025	9.98649193206802E-6	0.11062628	Yes	
row_59	UQCRFS1	7037	9.915215741784777E-6	0.11701222	Yes	
row_60	NDUFS1	7053	9.710937774798367E-6	0.12322967	Yes	
row_61	CALM2	7073	9.518131264485419E-6	0.12927862	Yes	
row_62	NDUFB10	7142	8.875323146639857E-6	0.13326344	Yes	
row_63	PSENEN	7272	7.645182449778076E-6	0.13467866	Yes	
row_64	NDUFB7	7477	6.118234523455612E-6	0.13293453	Yes	
row_65	NDUFA7	7671	4.690835794463055E-6	0.13165376	Yes	
row_66	TNFRSF1A	7768	4.156588147452567E-6	0.1344591	Yes	
row_67	NDUFA8	7994	3.0693433927808655E-6	0.13183033	Yes	
row_68	BID	8049	2.8785455015167827E-6	0.1364049	Yes	
row_69	UQCRC2	8151	2.5020096927619306E-6	0.13899963	Yes	
row_70	NDUFA4	8470	1.6167010699064122E-6	0.13245326	Yes	
row_71	CYC1	8489	1.5844400422793115E-6	0.13854432	Yes	
row_72	MME	8636	1.2848516917074448E-6	0.13924342	Yes	
row_73	CDK5	8781	1.0208607363892952E-6	0.14002676	Yes	
row_74	PPP3R1	8790	9.984445341615356E-7	0.14653909	Yes	
row_75	MAPK1	8844	9.142370345216477E-7	0.15115578	Yes	
row_76	CDK5R1	8920	8.003183324944985E-7	0.15484574	Yes	
row_77	SDHD	8965	7.071458298923972E-7	0.15984157	Yes	
row_78	NCSTN	9359	2.0237307296611107E-7	0.15013584	Yes	
row_79	NDUFB9	9524	9.308536164098768E-8	0.1500767	Yes	
row_80	NDUFS8	9535	8.818815189215456E-8	0.15650477	Yes	
row_81	GRIN2C	9573	7.198883622550056E-8	0.16179547	Yes	
row_82	GSK3B	9665	3.417497396185354E-8	0.16481143	Yes	
row_83	UQCR10	9714	1.4807485904100304E-8	0.16963875	Yes	
row_84	APAF1	9771	1.0646014070303522E-9	0.17412908	Yes	
row_85	MAPK3	10816	-2.2561742696325382E-8	0.13700013	Yes	
row_86	COX5A	10823	-2.4866809056334205E-8	0.1435967	Yes	
row_87	NDUFC1	10865	-4.727915126068183E-8	0.1487189	Yes	
row_88	ATP2A2	11104	-2.0052245019996917E-7	0.14554252	Yes	
row_89	NAE1	11205	-2.9883230467930844E-7	0.14817935	Yes	
row_90	COX5B	11208	-3.011179501299921E-7	0.15494442	Yes	
row_91	FAS	11301	-4.1239434267481556E-7	0.15791826	Yes	
row_92	COX7A2	11622	-8.942007525547524E-7	0.15128765	Yes	
row_93	NDUFS2	11678	-1.0137301842405577E-6	0.15582009	Yes	
row_94	COX4I1	11695	-1.0471720770510728E-6	0.16199541	Yes	
