NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FARS2	105	1.413185954093933	0.04105443	Yes	
row_1	CARS2	252	0.22026574611663818	0.08039072	Yes	
row_2	NARS2	1765	0.0017129068728536367	0.06248358	Yes	
row_3	EARS2	2788	4.975482006557286E-4	0.06511032	Yes	
row_4	SARS2	3073	3.618980699684471E-4	0.0986636	Yes	
row_5	MARS2	3102	3.533676208462566E-4	0.14294478	Yes	
row_6	WARS2	4219	1.2851848441641778E-4	0.14163236	Yes	
row_7	LARS2	4325	1.1708641250152141E-4	0.18268679	Yes	
row_8	YARS2	4846	7.16367139830254E-5	0.20635028	Yes	
row_9	TARS2	5414	4.3315161747159436E-5	0.2280442	Yes	
row_10	AARS2	5591	3.773364005610347E-5	0.26612332	Yes	
row_11	IARS2	5791	3.2119030947797E-5	0.3032386	Yes	
row_12	RARS2	6865	1.1725396689143963E-5	0.30372813	Yes	
row_13	HARS2	6941	1.0975328223139513E-5	0.34603974	Yes	
row_14	MTFMT	7063	9.638433766667731E-6	0.38642368	Yes	
row_15	PSTK	8586	1.396214770466031E-6	0.36809748	Yes	
row_16	FARSB	8971	7.01066710462328E-7	0.39746016	Yes	
row_17	VARS2	9441	1.4426282746171637E-7	0.42326084	Yes	
row_18	FARSA	11961	-1.6483469380546012E-6	0.3631545	No	
row_19	SEPSECS	12124	-2.159350515285041E-6	0.40182027	No	
row_20	PARS2	14751	-3.919014488928951E-5	0.33723	No	
row_21	DARS2	19357	-0.001552143832668662	0.18970798	No	
