NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP2J2	236	0.2473779171705246	0.013357316	No	
row_1	CYP2C18	415	0.05854673311114311	0.029147314	No	
row_2	ALOX5	440	0.05142931640148163	0.0513965	No	
row_3	ALOX15	1373	0.003457423998042941	0.035561636	No	
row_4	PTGES	1384	0.003380182897672057	0.05839802	No	
row_5	GPX3	1419	0.0031575344037264585	0.08022778	No	
row_6	PLA2G2C	3851	1.7749425023794174E-4	0.0015206741	No	
row_7	GPX1	6212	2.231388134532608E-5	-0.07420849	No	
row_8	PLA2G2F	6643	1.446378792024916E-5	-0.06898808	No	
row_9	PLA2G10	7000	1.0304512215952855E-5	-0.060663898	No	
row_10	CYP2U1	7057	9.685558325145394E-6	-0.03975688	No	
row_11	GPX4	9020	6.328183985715441E-7	-0.09879282	No	
row_12	ALOX12B	9305	2.5420902716177807E-7	-0.08744875	No	
row_13	PTGES2	9338	2.199623310161769E-7	-0.06553511	No	
row_14	PLA2G12A	10922	-8.543204188526943E-8	-0.108674735	No	
row_15	PLA2G4A	11376	-5.063573098595953E-7	-0.104419	No	
row_16	LTA4H	11640	-9.336037578577816E-7	-0.09219414	No	
row_17	GGT7	12985	-6.896156719449209E-6	-0.12530944	No	
row_18	CBR3	13678	-1.4019855370861478E-5	-0.13107803	No	
row_19	CBR1	15045	-4.9514554120833054E-5	-0.16511607	No	
row_20	CYP2E1	16308	-1.317002170253545E-4	-0.19479205	No	
row_21	CYP4F2	17348	-2.8831622330471873E-4	-0.2151148	No	
row_22	PLA2G4E	18781	-9.3424430815503E-4	-0.25192106	Yes	
row_23	GGT5	19076	-0.0012065302580595016	-0.24099642	Yes	
row_24	EPHX2	19230	-0.0013727640034630895	-0.22415785	Yes	
row_25	CYP2C8	19594	-0.001928564510308206	-0.21612728	Yes	
row_26	TBXAS1	19913	-0.002617399673908949	-0.20620927	Yes	
row_27	PLA2G6	19990	-0.002782911527901888	-0.1861411	Yes	
row_28	PLA2G2A	21176	-0.009672860614955425	-0.21258749	Yes	
row_29	PTGS2	21696	-0.018776502460241318	-0.21109998	Yes	
row_30	GGT6	21744	-0.020513109862804413	-0.18981549	Yes	
row_31	PLA2G4B	21975	-0.029405811801552773	-0.17620651	Yes	
row_32	CYP2B6	22369	-0.06267007440328598	-0.16943422	Yes	
row_33	ALOX12	22425	-0.06910402327775955	-0.14848526	Yes	
row_34	PTGIS	22442	-0.07204567641019821	-0.12590052	Yes	
row_35	GGT1	22499	-0.08270806819200516	-0.10499351	Yes	
row_36	ALOX15B	23055	-0.3616544008255005	-0.10501594	Yes	
row_37	GPX7	23289	-0.8192330598831177	-0.0915328	Yes	
row_38	AKR1C3	23308	-0.8915426731109619	-0.069031954	Yes	
row_39	PTGS1	23546	-2.496446371078491	-0.05571658	Yes	
row_40	PTGDS	23554	-2.5340631008148193	-0.03275437	Yes	
row_41	CYP4F3	23776	-8.492700576782227	-0.01876791	Yes	
row_42	GPX2	23834	-11.765763282775879	0.0020971647	Yes	
