NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CACNA2D3	260	0.20246635377407074	0.0040092585	No	
row_1	PKP2	496	0.039004646241664886	0.009068144	No	
row_2	LEF1	1026	0.006798340938985348	0.0017834222	No	
row_3	CTNNA3	1339	0.0036639960017055273	0.003609458	No	
row_4	DSC2	1519	0.002665070816874504	0.011019506	No	
row_5	ITGA5	1991	0.0012808289611712098	0.006169918	No	
row_6	ACTN1	3223	3.15146055072546E-4	-0.030588312	No	
row_7	CTNNB1	3708	2.0171450159978122E-4	-0.035983704	No	
row_8	CTNNA1	3716	1.9988215353805572E-4	-0.021352228	No	
row_9	ACTG1	3863	1.7598961130715907E-4	-0.012556674	No	
row_10	CACNG4	4084	1.4398810162674636E-4	-0.0068680127	No	
row_11	ITGB1	4093	1.4342581562232226E-4	0.0077214795	No	
row_12	LAMA2	4579	9.05404522200115E-5	0.0022841007	No	
row_13	ACTN4	4669	8.334706944879144E-5	0.013472804	No	
row_14	DSP	5457	4.185089346719906E-5	-0.004644062	No	
row_15	CDH2	5467	4.163040284765884E-5	0.009903446	No	
row_16	CACNG7	6620	1.4938915228412952E-5	-0.023537965	No	
row_17	CACNG6	6642	1.4526660379488021E-5	-0.009494279	No	
row_18	ACTB	7123	8.997507393360138E-6	-0.014721732	No	
row_19	DSG2	7791	4.043570243084105E-6	-0.02780039	No	
row_20	LMNA	8891	8.401887043874012E-7	-0.059016593	No	
row_21	ITGA3	9398	1.7301637456057506E-7	-0.06533566	No	
row_22	CACNB2	9413	1.618020633031847E-7	-0.050998077	No	
row_23	SGCB	9526	9.130945244351096E-8	-0.04077503	No	
row_24	EMD	9566	7.5670065768918E-8	-0.027487073	No	
row_25	DAG1	9786	5.822797244370292E-10	-0.021756427	No	
row_26	ITGA8	10130	0.0	-0.021231929	No	
row_27	ITGB5	10857	-4.5178513374821705E-8	-0.036787707	No	
row_28	CACNA2D1	10903	-7.064263485290212E-8	-0.023751661	No	
row_29	ATP2A2	11104	-2.0052245019996917E-7	-0.017223299	No	
row_30	ITGA1	13414	-1.07323694464867E-5	-0.09924142	No	
row_31	SLC8A1	14147	-2.2688165699946694E-5	-0.1150491	No	
row_32	CACNG8	14455	-2.9816214009770192E-5	-0.11301314	No	
row_33	ITGAV	14686	-3.723124973475933E-5	-0.107744336	No	
row_34	TCF7L2	16147	-1.1565707973204553E-4	-0.15411714	No	
row_35	ITGA2	16732	-1.8008820188697428E-4	-0.16371104	No	
row_36	CACNA1C	17061	-2.303928486071527E-4	-0.16255677	No	
row_37	JUP	17715	-3.8372009294107556E-4	-0.17504764	Yes	
row_38	ITGB6	17911	-4.49855113402009E-4	-0.16830935	Yes	
row_39	CACNA1D	18368	-6.67866668663919E-4	-0.17252916	Yes	
row_40	ITGA2B	18379	-6.703563267365098E-4	-0.15802364	Yes	
row_41	CACNB3	18569	-7.845737272873521E-4	-0.15103345	Yes	
row_42	CACNB1	18603	-8.08381533715874E-4	-0.13749358	Yes	
row_43	GJA1	18619	-8.179947035387158E-4	-0.12319797	Yes	
row_44	DMD	18740	-8.991975337266922E-4	-0.11331081	Yes	
row_45	SGCG	18810	-9.587922249920666E-4	-0.1012824	Yes	
row_46	ITGB7	19366	-0.0015569757670164108	-0.10965874	Yes	
row_47	TCF7L1	19680	-0.002102282829582691	-0.10787469	Yes	
row_48	SGCD	20591	-0.004969509318470955	-0.13115571	Yes	
row_49	ACTN2	20767	-0.006070803385227919	-0.12357773	Yes	
row_50	CACNG1	20837	-0.006494303699582815	-0.111549325	Yes	
row_51	ITGB4	21188	-0.009788556955754757	-0.11131872	Yes	
row_52	ITGB3	21348	-0.012261548079550266	-0.10306897	Yes	
row_53	ITGA6	22017	-0.03162151575088501	-0.116189614	Yes	
row_54	ITGA9	22052	-0.03378327563405037	-0.10269173	Yes	
row_55	CACNA1F	22099	-0.03668007254600525	-0.089697674	Yes	
row_56	ITGA11	22293	-0.05359448492527008	-0.082875416	Yes	
row_57	CACNB4	22318	-0.056574322283267975	-0.06895769	Yes	
row_58	ITGA7	22500	-0.08281396329402924	-0.061631605	Yes	
row_59	CACNA2D2	22515	-0.08500482887029648	-0.047294024	Yes	
row_60	TCF7	22706	-0.14163999259471893	-0.04034581	Yes	
row_61	ACTN3	22921	-0.2523508071899414	-0.034405243	Yes	
row_62	ITGB8	23052	-0.3588569760322571	-0.024937926	Yes	
row_63	CACNA2D4	23091	-0.3935244083404541	-0.011607985	Yes	
row_64	RYR2	23148	-0.4754559099674225	9.66225E-4	Yes	
row_65	ITGA10	23528	-2.2538418769836426	-2.0738007E-5	Yes	
row_66	ITGA4	23835	-11.876121520996094	0.002057208	Yes	
