NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT11	501	0.036879949271678925	-0.0017905029	No	
row_1	FZD2	564	0.027948463335633278	0.014838832	No	
row_2	WNT10A	688	0.01647060737013817	0.02890869	No	
row_3	WNT10B	734	0.014727300964295864	0.046251323	No	
row_4	WNT5B	878	0.009728794917464256	0.05948201	No	
row_5	LEF1	1026	0.006798340938985348	0.07254486	No	
row_6	DVL1	1460	0.0029448464047163725	0.07360754	No	
row_7	DVL3	2404	7.429135730490088E-4	0.053271327	No	
row_8	WNT3	2477	6.925982306711376E-4	0.069481075	No	
row_9	CTNNB1	3708	2.0171450159978122E-4	0.037102733	No	
row_10	WNT5A	3841	1.78614747710526E-4	0.050794963	No	
row_11	WNT6	4659	8.399584476137534E-5	0.035745535	No	
row_12	TP53	4829	7.270059722941369E-5	0.047885295	No	
row_13	WNT9A	5156	5.578219861490652E-5	0.053437553	No	
row_14	WNT8B	5508	4.0298742533195764E-5	0.057940844	No	
row_15	AXIN2	6876	1.1603838174778502E-5	0.019814169	No	
row_16	DVL2	7923	3.330750587338116E-6	-0.004843787	No	
row_17	AXIN1	8515	1.532445935481519E-6	-0.010410567	No	
row_18	GSK3B	9665	3.417497396185354E-8	-0.039390262	No	
row_19	WNT2	10710	0.0	-0.0639643	No	
row_20	FZD7	11159	-2.505925067453063E-7	-0.063531	No	
row_21	APC	11706	-1.0709314892665134E-6	-0.06720964	No	
row_22	FZD5	13825	-1.6293373846565373E-5	-0.13684724	No	
row_23	APC2	15395	-6.567354284925386E-5	-0.18344957	Yes	
row_24	STK36	15462	-6.964850763324648E-5	-0.16698806	Yes	
row_25	BMP4	15547	-7.514889148296788E-5	-0.15128182	Yes	
row_26	FZD4	15814	-9.221215441357344E-5	-0.14321204	Yes	
row_27	TCF7L2	16147	-1.1565707973204553E-4	-0.13791153	Yes	
row_28	FZD6	16555	-1.5799360699020326E-4	-0.13575792	Yes	
row_29	PTCH1	16634	-1.6875728033483028E-4	-0.11979993	Yes	
row_30	SUFU	16982	-2.179685398004949E-4	-0.1151288	Yes	
row_31	WNT7B	17195	-2.583059249445796E-4	-0.104793265	Yes	
row_32	FZD9	18484	-7.319297874346375E-4	-0.13960521	Yes	
row_33	WNT16	18747	-9.040235891006887E-4	-0.1313676	Yes	
row_34	FZD3	19362	-0.0015553290722891688	-0.13789943	Yes	
row_35	TCF7L1	19680	-0.002102282829582691	-0.13196954	Yes	
row_36	WNT7A	20424	-0.0041345153003931046	-0.14391403	Yes	
row_37	FZD1	20670	-0.00534617155790329	-0.13496312	Yes	
row_38	PTCH2	21656	-0.017765527591109276	-0.1570616	Yes	
row_39	GLI2	21753	-0.0207878015935421	-0.14185886	Yes	
row_40	BMP2	22127	-0.038792066276073456	-0.13827866	Yes	
row_41	WNT2B	22330	-0.057495471090078354	-0.12752354	Yes	
row_42	FZD8	22398	-0.06536123901605606	-0.11110399	Yes	
row_43	TCF7	22706	-0.14163999259471893	-0.10475452	Yes	
row_44	WNT4	22723	-0.1464814841747284	-0.08619509	Yes	
row_45	SHH	22832	-0.19154386222362518	-0.07149585	Yes	
row_46	GLI3	22862	-0.21236932277679443	-0.05348188	Yes	
row_47	GLI1	22927	-0.25478747487068176	-0.036936466	Yes	
row_48	SMO	22995	-0.31165382266044617	-0.020516923	Yes	
row_49	WNT3A	23138	-0.4571536183357239	-0.0072442777	Yes	
row_50	FZD10	23139	-0.4577154517173767	0.011986492	Yes	
row_51	HHIP	23793	-9.293150901794434	0.0038182777	Yes	
