NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAT1	169	0.5294932126998901	-3.629295E-4	No	
row_1	GNG10	273	0.1762343943119049	0.0020546103	No	
row_2	ARRB1	354	0.08169914036989212	0.0054411013	No	
row_3	TIAM2	521	0.0343376062810421	0.005204557	No	
row_4	GRK3	567	0.02744549699127674	0.010065539	No	
row_5	CXCL16	727	0.014882401563227177	0.010123893	No	
row_6	CCR1	814	0.011537270620465279	0.013257614	No	
row_7	PLCB4	844	0.01055823639035225	0.01879265	No	
row_8	TIAM1	977	0.00764088612049818	0.019988468	No	
row_9	AKT2	1240	0.004324302077293396	0.015707605	No	
row_10	GRK4	1266	0.004109283909201622	0.021411154	No	
row_11	CXCL14	1614	0.002199494745582342	0.013549383	No	
row_12	CXCR6	2072	0.0011485355207696557	0.0010534965	No	
row_13	PIK3R1	2308	8.309374679811299E-4	-0.0020899023	No	
row_14	RAP1A	2662	5.720852641388774E-4	-0.010204443	No	
row_15	CCR4	2886	4.4541049282997847E-4	-0.012842302	No	
row_16	GRB2	2900	4.376630240585655E-4	-0.0066332133	No	
row_17	PRKACB	3054	3.7010747473686934E-4	-0.0063220896	No	
row_18	PRKCZ	3219	3.158696636091918E-4	-0.0064743776	No	
row_19	FOXO3	3229	3.1178686185739934E-4	-9.677551E-5	No	
row_20	LYN	3382	2.7163553750142455E-4	2.5647646E-4	No	
row_21	PIK3CD	3457	2.522407448850572E-4	0.0038957375	No	
row_22	PIK3CG	3606	2.1992577239871025E-4	0.004417503	No	
row_23	CDC42	3612	2.1890358766540885E-4	0.010963618	No	
row_24	PIK3R2	3950	1.642395363887772E-4	0.0035231304	No	
row_25	CCL28	3972	1.6164388216566294E-4	0.009395192	No	
row_26	GSK3A	4313	1.1845168774016201E-4	0.0018283201	No	
row_27	GNG5	4327	1.1679060844471678E-4	0.008037409	No	
row_28	RAC1	4655	8.410370355704799E-5	0.0010182044	No	
row_29	STAT3	4921	6.725852290401235E-5	-0.003389044	No	
row_30	NFKBIB	4946	6.597054743906483E-5	0.002356633	No	
row_31	PLCB3	5254	5.056280497228727E-5	-0.0038200049	No	
row_32	PXN	5273	4.9670365115161985E-5	0.0021784422	No	
row_33	RHOA	5503	4.042673754156567E-5	-7.1218656E-4	No	
row_34	RAP1B	5683	3.540692341630347E-5	-0.0014963993	No	
row_35	PARD3	5685	3.5371078411117196E-5	0.0052182293	No	
row_36	GNAI2	5779	3.246762935305014E-5	0.008057052	No	
row_37	PRKACA	5882	2.998116542585194E-5	0.01051672	No	
row_38	KRAS	5928	2.8976521207368933E-5	0.015377703	No	
row_39	AKT3	6104	2.4270419089589268E-5	0.014762003	No	
row_40	PIK3R3	6316	2.0159417545073666E-5	0.012629684	No	
row_41	VAV2	6519	1.6440259059891105E-5	0.010876521	No	
row_42	SHC1	6576	1.559046359034255E-5	0.015274091	No	
row_43	GRK6	7015	1.0144798579858616E-5	0.0035786428	No	
row_44	PAK1	7258	7.767521310597658E-6	1.4034583E-4	No	
row_45	IKBKB	7319	7.324115813389653E-6	0.0043694032	No	
row_46	PRKCB	7366	6.99338443155284E-6	0.009188257	No	
row_47	GNB1	7414	6.669100912404247E-6	0.013964984	No	
row_48	STAT5B	7439	6.386298537108814E-6	0.01971066	No	
row_49	STAT2	7649	4.817215540242614E-6	0.017662598	No	
row_50	PTK2B	7777	4.1020207390829455E-6	0.019069059	No	
row_51	MAP2K1	8252	2.1780574570584577E-6	0.0058569903	No	
row_52	GNAI3	8375	1.81799725851306E-6	0.007474092	No	
row_53	CRK	8387	1.7892635923999478E-6	0.013767437	No	
row_54	NRAS	8770	1.0421115348435706E-6	0.004431175	No	
row_55	MAPK1	8844	9.142370345216477E-7	0.008112565	No	
row_56	PIK3CB	8902	8.285558692477935E-7	0.012468007	No	
row_57	ARRB2	8959	7.285633500941913E-7	0.016865578	No	
row_58	GNG13	8984	6.772818892386567E-7	0.022611255	No	
row_59	AKT1	9102	5.258174837763363E-7	0.024438998	No	
row_60	ADCY9	9528	9.114332755189025E-8	0.013291218	No	
row_61	GSK3B	9665	3.417497396185354E-8	0.014318524	No	
row_62	ITK	10131	0.0	0.0014856108	No	
row_63	XCL2	10711	0.0	-0.01614993	No	
row_64	GNB5	10808	-1.934264837188948E-8	-0.013437493	No	
row_65	MAPK3	10816	-2.2561742696325382E-8	-0.006975634	No	
row_66	GNG3	11052	-1.5999137303879252E-7	-0.010119033	No	
row_67	GNG12	11183	-2.7401139846006117E-7	-0.008838958	No	
row_68	WASL	11293	-4.0263199707624153E-7	-0.006674188	No	
row_69	ROCK1	11373	-5.026669214203139E-7	-0.0032455686	No	
row_70	CRKL	11746	-1.1365775662852684E-6	-0.012160547	No	
row_71	RELA	11846	-1.3425199085759232E-6	-0.009574494	No	
row_72	GNB2	12092	-2.066023625957314E-6	-0.013139176	No	
row_73	CHUK	12200	-2.4145458610291826E-6	-0.0108901495	No	
row_74	BRAF	13011	-7.117976110748714E-6	-0.038257334	No	
row_75	PRKX	13123	-7.996000022103544E-6	-0.03617682	No	
row_76	JAK2	13152	-8.262127266789321E-6	-0.030599657	No	
row_77	JAK3	13232	-9.023418897413649E-6	-0.027171038	No	
row_78	GNGT1	13262	-9.348124876851216E-6	-0.021636002	No	
