NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C4BPB	39	4.529153823852539	0.017971527	No	
row_1	SERPINE1	176	0.46292269229888916	0.031873237	No	
row_2	C3AR1	809	0.011710117571055889	0.02496434	No	
row_3	F3	1012	0.007078029680997133	0.036096897	No	
row_4	TFPI	2297	8.457513758912683E-4	0.0018321213	No	
row_5	CFI	2591	6.149815744720399E-4	0.009146603	No	
row_6	CD55	2875	4.4869541306979954E-4	0.016880654	No	
row_7	PROS1	4240	1.262875593965873E-4	-0.020740671	No	
row_8	C8G	5266	4.998828444513492E-5	-0.044138618	No	
row_9	CFD	5406	4.3793868826469406E-5	-0.030362777	No	
row_10	CD46	5431	4.265178358764388E-5	-0.011761898	No	
row_11	MASP1	5956	2.806357770168688E-5	-0.014139453	No	
row_12	CR2	6312	2.020304964389652E-5	-0.009426298	No	
row_13	SERPING1	6347	1.9591665477491915E-5	0.008755013	No	
row_14	F2	7386	6.8422232288867235E-6	-0.015188372	No	
row_15	BDKRB1	8104	2.692116368052666E-6	-0.025663603	No	
row_16	CPB2	9940	0.0	-0.08304661	No	
row_17	SERPINF2	11161	-2.533298868456768E-7	-0.11462615	No	
row_18	F8	11221	-3.134559278805682E-7	-0.09749376	No	
row_19	FGA	12897	-6.130357178335544E-6	-0.14816366	No	
row_20	MASP2	13336	-1.0019460205512587E-5	-0.14693293	No	
row_21	C5	13882	-1.7325812223134562E-5	-0.15019158	No	
row_22	F10	15278	-5.965919262962416E-5	-0.18911357	Yes	
row_23	FGB	15364	-6.380713602993637E-5	-0.17307205	Yes	
row_24	C4A	15723	-8.659122977405787E-5	-0.16848478	Yes	
row_25	C1R	15972	-1.018619368551299E-4	-0.15928224	Yes	
row_26	C5AR1	17072	-2.3273493570741266E-4	-0.18578498	Yes	
row_27	C4B	17104	-2.366418339079246E-4	-0.1674778	Yes	
row_28	PROC	17295	-2.776388719212264E-4	-0.15584177	Yes	
row_29	CD59	18387	-6.75362825859338E-4	-0.18200886	Yes	
row_30	C7	18628	-8.241027244366705E-4	-0.17247067	Yes	
row_31	PLAUR	19453	-0.001691406941972673	-0.18743528	Yes	
row_32	BDKRB2	19533	-0.001817645039409399	-0.17114203	Yes	
row_33	VWF	19715	-0.0021690018475055695	-0.15912838	Yes	
row_34	C1S	20025	-0.002868416951969266	-0.1524852	Yes	
row_35	PLAU	20241	-0.0034667844884097576	-0.1418981	Yes	
row_36	CFB	20246	-0.0034752616193145514	-0.12245808	Yes	
row_37	PLAT	20374	-0.003948497585952282	-0.10817876	Yes	
row_38	C3	20440	-0.004206617828458548	-0.09129811	Yes	
row_39	F5	20627	-0.005146768409758806	-0.07949424	Yes	
row_40	A2M	20718	-0.0057165538892149925	-0.063662514	Yes	
row_41	F12	21294	-0.011247540824115276	-0.06817987	Yes	
row_42	C9	21578	-0.0163935124874115	-0.06044582	Yes	
row_43	FGG	21898	-0.025996072217822075	-0.05422222	Yes	
row_44	F2R	22648	-0.12126032263040543	-0.06604007	Yes	
row_45	C2	22783	-0.17022672295570374	-0.052054442	Yes	
row_46	CFH	22858	-0.20825837552547455	-0.035551406	Yes	
row_47	SERPIND1	22988	-0.303509384393692	-0.021356	Yes	
row_48	SERPINA5	23407	-1.3171926736831665	-0.019286128	Yes	
row_49	THBD	23505	-1.965354084968567	-0.0037480993	Yes	
row_50	SERPINA1	23844	-13.170286178588867	0.0016783231	Yes	
