NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFRSF10C	38	4.576533317565918	0.003921757	No	
row_1	CSF1R	132	0.850738525390625	0.0055232304	No	
row_2	CSF2RA	387	0.0680340826511383	3.3260146E-4	No	
row_3	EDA2R	548	0.030701598152518272	-8.9245226E-4	No	
row_4	IL9R	694	0.016155783087015152	-0.0014847013	No	
row_5	CXCL16	727	0.014882401563227177	0.0026901776	No	
row_6	CCR1	814	0.011537270620465279	0.00458696	No	
row_7	HGF	1079	0.00598290516063571	-0.0010255389	No	
row_8	FLT3	1170	0.004910588730126619	7.024955E-4	No	
row_9	AMH	1408	0.003219529055058956	-0.0037709551	No	
row_10	CXCL14	1614	0.002199494745582342	-0.0068944227	No	
row_11	TNFSF18	1649	0.0021012756042182446	-0.0028039177	No	
row_12	CSF2RB	1934	0.0013687291648238897	-0.009260156	No	
row_13	CXCR6	2072	0.0011485355207696557	-0.009514909	No	
row_14	PDGFRB	2191	9.643407538533211E-4	-0.00896811	No	
row_15	IL1R2	2391	7.539927028119564E-4	-0.011838456	No	
row_16	TNFSF13	2547	6.42450584564358E-4	-0.012852575	No	
row_17	KDR	2597	6.127420347183943E-4	-0.009394874	No	
row_18	FLT1	2721	5.321204662322998E-4	-0.00905901	No	
row_19	PRLR	2753	5.157598061487079E-4	-0.0048419437	No	
row_20	IFNAR1	2801	4.890221171081066E-4	-0.0012998696	No	
row_21	TNF	2803	4.867035604547709E-4	0.0041828053	No	
row_22	CCR4	2886	4.4541049282997847E-4	0.006248336	No	
row_23	IL7	3296	2.9412354342639446E-4	-0.0054812743	No	
row_24	IL10RB	3768	1.9180087838321924E-4	-0.019826477	No	
row_25	CCL28	3972	1.6164388216566294E-4	-0.022865571	No	
row_26	TNFSF13B	4286	1.2163441715529189E-4	-0.030545231	No	
row_27	TGFB2	4392	1.101364177884534E-4	-0.029450001	No	
row_28	BMPR2	4700	8.1645353930071E-5	-0.03687654	No	
row_29	TNFRSF12A	4709	8.109183545457199E-5	-0.031689174	No	
row_30	IL6	4789	7.497647311538458E-5	-0.029497083	No	
row_31	TNFRSF19	4838	7.195791840786114E-5	-0.025997195	No	
row_32	IL24	4932	6.664733518846333E-5	-0.024395721	No	
row_33	TNFRSF18	5263	5.0252645451109856E-5	-0.03279256	No	
row_34	IFNAR2	5480	4.115096453460865E-5	-0.036380086	No	
row_35	KIT	6030	2.6311370675102808E-5	-0.05401587	No	
row_36	RELT	6077	2.511508864699863E-5	-0.05043161	No	
row_37	PDGFB	6118	2.409986154816579E-5	-0.04659423	No	
row_38	VEGFB	6328	1.9962973965448327E-5	-0.049886443	No	
row_39	INHBA	6592	1.5345829524449073E-5	-0.055456754	No	
row_40	IL10RA	6641	1.4548217222909443E-5	-0.051956866	No	
row_41	IL15RA	6647	1.4380843822436873E-5	-0.04664294	No	
row_42	IL15	6680	1.4000200280861463E-5	-0.04246806	No	
row_43	IFNGR1	6973	1.0657376151357312E-5	-0.049261793	No	
row_44	CNTF	7027	9.97562710836064E-6	-0.045972843	No	
row_45	TNFRSF1A	7768	4.156588147452567E-6	-0.07166634	No	
row_46	TNFSF12	7922	3.332957930979319E-6	-0.07259609	No	
row_47	LIF	7971	3.1568970371154137E-6	-0.0690962	No	
row_48	MET	7992	3.077106157434173E-6	-0.064415075	No	
row_49	IL13RA1	8105	2.689252823984134E-6	-0.06361516	No	
row_50	IL1R1	8108	2.6714806153904647E-6	-0.058174666	No	
row_51	ACVR2A	8159	2.4828868845361285E-6	-0.054759152	No	
row_52	IL6ST	8435	1.6737755004214705E-6	-0.060835708	No	
row_53	PDGFA	8903	8.275155778392218E-7	-0.07501216	No	
row_54	TGFBR1	9132	4.888819944426359E-7	-0.07910593	No	
