NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CACNA2D3	260	0.20246635377407074	0.0022376548	No	
row_1	TPM1	733	0.01473573874682188	-0.0044288863	No	
row_2	TNNC1	952	0.008195474743843079	-4.27193E-4	No	
row_3	ACTC1	1123	0.005413908511400223	0.005590545	No	
row_4	ITGA5	1991	0.0012808289611712098	-0.01766636	No	
row_5	TNF	2803	4.867035604547709E-4	-0.038571216	No	
row_6	PRKACB	3054	3.7010747473686934E-4	-0.035913553	No	
row_7	ACTG1	3863	1.7598961130715907E-4	-0.056692403	No	
row_8	CACNG4	4084	1.4398810162674636E-4	-0.052774712	No	
row_9	ITGB1	4093	1.4342581562232226E-4	-0.039952826	No	
row_10	TGFB2	4392	1.101364177884534E-4	-0.039311204	No	
row_11	LAMA2	4579	9.05404522200115E-5	-0.033965483	No	
row_12	TPM3	5438	4.237344182911329E-5	-0.05684438	No	
row_13	PRKACA	5882	2.998116542585194E-5	-0.062292892	No	
row_14	CACNG7	6620	1.4938915228412952E-5	-0.08008968	No	
row_15	CACNG6	6642	1.4526660379488021E-5	-0.067813806	No	
row_16	ACTB	7123	8.997507393360138E-6	-0.07481635	No	
row_17	TPM4	8537	1.4921971569492598E-6	-0.121005766	No	
row_18	LMNA	8891	8.401887043874012E-7	-0.1226742	No	
row_19	ITGA3	9398	1.7301637456057506E-7	-0.13076876	No	
row_20	CACNB2	9413	1.618020633031847E-7	-0.11819889	No	
row_21	SGCB	9526	9.130945244351096E-8	-0.10974509	No	
row_22	ADCY9	9528	9.114332755189025E-8	-0.0966292	No	
row_23	EMD	9566	7.5670065768918E-8	-0.08502534	No	
row_24	DAG1	9786	5.822797244370292E-10	-0.08106565	No	
row_25	IGF1	10122	0.0	-0.08197806	No	
row_26	ITGA8	10130	0.0	-0.06911417	No	
row_27	ITGB5	10857	-4.5178513374821705E-8	-0.086448945	No	
row_28	CACNA2D1	10903	-7.064263485290212E-8	-0.0751811	No	
row_29	ATP2A2	11104	-2.0052245019996917E-7	-0.07042339	No	
row_30	PRKX	13123	-7.996000022103544E-6	-0.14202335	No	
row_31	ITGA1	13414	-1.07323694464867E-5	-0.14104573	No	
row_32	GNAS	13770	-1.533588147140108E-5	-0.14279816	No	
row_33	ADCY7	14138	-2.2374062609742396E-5	-0.14505461	No	
row_34	SLC8A1	14147	-2.2688165699946694E-5	-0.13223271	No	
row_35	MYBPC3	14448	-2.9644383175764233E-5	-0.1316751	No	
row_36	CACNG8	14455	-2.9816214009770192E-5	-0.11876921	No	
row_37	TGFB1	14624	-3.5166307498002425E-5	-0.11266747	No	
row_38	ADCY6	14654	-3.606769678299315E-5	-0.1007276	No	
row_39	ITGAV	14686	-3.723124973475933E-5	-0.08887174	No	
row_40	TTN	16064	-1.092715174308978E-4	-0.13354911	No	
row_41	ITGA2	16732	-1.8008820188697428E-4	-0.14840584	No	
row_42	CACNA1C	17061	-2.303928486071527E-4	-0.14902425	No	
row_43	ADCY3	17405	-3.0010819318704307E-4	-0.15027267	No	
row_44	TNNT2	17681	-3.7408029311336577E-4	-0.14866503	No	
row_45	ITGB6	17911	-4.49855113402009E-4	-0.14512534	No	
row_46	CACNA1D	18368	-6.67866668663919E-4	-0.15111987	Yes	
row_47	ITGA2B	18379	-6.703563267365098E-4	-0.13838199	Yes	
row_48	CACNB3	18569	-7.845737272873521E-4	-0.13316226	Yes	
row_49	CACNB1	18603	-8.08381533715874E-4	-0.121390395	Yes	
row_50	DMD	18740	-8.991975337266922E-4	-0.11394463	Yes	
row_51	SGCG	18810	-9.587922249920666E-4	-0.1036848	Yes	
row_52	ADCY4	19333	-0.0015207435935735703	-0.11245138	Yes	
row_53	ITGB7	19366	-0.0015569757670164108	-0.10063752	Yes	
row_54	SGCD	20591	-0.004969509318470955	-0.13888876	Yes	
row_55	CACNG1	20837	-0.006494303699582815	-0.13602109	Yes	
row_56	ITGB4	21188	-0.009788556955754757	-0.13756351	Yes	
row_57	ITGB3	21348	-0.012261548079550266	-0.13108377	Yes	
row_58	TGFB3	21423	-0.013499131426215172	-0.12103394	Yes	
row_59	ADCY1	21537	-0.015654994174838066	-0.11262215	Yes	
row_60	ADCY5	21714	-0.019335739314556122	-0.10685642	Yes	
row_61	ITGA6	22017	-0.03162151575088501	-0.1063828	Yes	
row_62	ITGA9	22052	-0.03378327563405037	-0.094652936	Yes	
row_63	CACNA1F	22099	-0.03668007254600525	-0.08342709	Yes	
row_64	ITGA11	22293	-0.05359448492527008	-0.07837537	Yes	
row_65	CACNB4	22318	-0.056574322283267975	-0.0662255	Yes	
row_66	ITGA7	22500	-0.08281396329402924	-0.06066977	Yes	
row_67	CACNA2D2	22515	-0.08500482887029648	-0.048099887	Yes	
row_68	ITGB8	23052	-0.3588569760322571	-0.057454485	Yes	
row_69	CACNA2D4	23091	-0.3935244083404541	-0.045892626	Yes	
row_70	RYR2	23148	-0.4754559099674225	-0.035086785	Yes	
row_71	TNNI3	23223	-0.6118096709251404	-0.025036957	Yes	
row_72	ITGA10	23528	-2.2538418769836426	-0.024647344	Yes	
row_73	TPM2	23752	-7.1796488761901855	-0.020855654	Yes	
row_74	ADRB1	23816	-10.64470100402832	-0.010343818	Yes	
row_75	ITGA4	23835	-11.876121520996094	0.00205806	Yes	
