NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAOA	279	0.15702615678310394	0.011024744	No	
row_1	CYP2C18	415	0.05854673311114311	0.028089503	No	
row_2	CYP1A2	917	0.008858845569193363	0.029802557	No	
row_3	AOX1	1457	0.002952573588117957	0.029921718	No	
row_4	MGST1	1656	0.00208019046112895	0.04434397	No	
row_5	CYP3A7	1980	0.0013020880287513137	0.053523157	No	
row_6	MGST3	2787	4.979975637979805E-4	0.042443123	No	
row_7	GSTO1	5576	3.83848964702338E-5	-0.05177101	No	
row_8	GSTK1	5667	3.582450153771788E-5	-0.032818746	No	
row_9	ALDH3B1	5877	3.004009158757981E-5	-0.018857883	No	
row_10	FMO5	7572	5.380889433581615E-6	-0.06718468	No	
row_11	UGT1A6	9412	1.6254469414889172E-7	-0.12159343	No	
row_12	MGST2	10938	-9.66252855505445E-8	-0.16283159	No	
row_13	FMO4	11431	-5.88694888392638E-7	-0.16074105	No	
row_14	FMO1	12529	-3.6944193197996356E-6	-0.18402694	No	
row_15	GSTM4	13492	-1.1737312888726592E-5	-0.20165032	No	
row_16	GSTM3	13519	-1.199424332298804E-5	-0.18001361	No	
row_17	CYP2D6	15141	-5.305845115799457E-5	-0.22527845	No	
row_18	GSTZ1	16047	-1.0817927250172943E-4	-0.24051099	Yes	
row_19	ADH5	16272	-1.2828971375711262E-4	-0.2271793	Yes	
row_20	GSTT2	16292	-1.3002885680180043E-4	-0.20524897	Yes	
row_21	CYP2E1	16308	-1.317002170253545E-4	-0.18315086	Yes	
row_22	ADH6	16880	-2.017650258494541E-4	-0.18437393	Yes	
row_23	GSTM5	17301	-2.7924729511141777E-4	-0.17926337	Yes	
row_24	ALDH1A3	18010	-4.926070687361062E-4	-0.18623284	Yes	
row_25	CYP3A5	18129	-5.42735680937767E-4	-0.16845502	Yes	
row_26	GSTP1	18679	-8.580131107009947E-4	-0.16875531	Yes	
row_27	ADH1C	19331	-0.0015179625479504466	-0.17333393	Yes	
row_28	CYP2C8	19594	-0.001928564510308206	-0.16159613	Yes	
row_29	GSTA1	19880	-0.0025198785588145256	-0.15082306	Yes	
row_30	UGT1A7	20095	-0.00306318630464375	-0.13707191	Yes	
row_31	CYP3A4	20613	-0.005050035659223795	-0.13602997	Yes	
row_32	UGT1A4	20895	-0.006887694355100393	-0.12508911	Yes	
row_33	ALDH3B2	21270	-0.010896481573581696	-0.11804911	Yes	
row_34	CYP2B6	22369	-0.06267007440328598	-0.14137694	Yes	
row_35	GSTA4	22670	-0.1281171292066574	-0.13123304	Yes	
row_36	UGT2B7	22789	-0.17196156084537506	-0.11345522	Yes	
row_37	GSTO2	23014	-0.3290536105632782	-0.100123525	Yes	
row_38	UGT1A1	23497	-1.8830822706222534	-0.09761353	Yes	
row_39	GSTM2	23515	-2.1081504821777344	-0.07559931	Yes	
row_40	MAOB	23556	-2.564535140991211	-0.054549817	Yes	
row_41	UGT1A10	23790	-9.206221580505371	-0.041595627	Yes	
row_42	GSTM1	23814	-10.572792053222656	-0.019833077	Yes	
row_43	ALDH3A1	23820	-11.11424732208252	0.0026844742	Yes	
