NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIP5K1B	15	8.303130149841309	0.005049147	Yes	
row_1	CSF1R	132	0.850738525390625	0.005838309	Yes	
row_2	EPN1	170	0.5264323949813843	0.0099595385	Yes	
row_3	AGAP2	264	0.19010040163993835	0.011718796	Yes	
row_4	CHMP2B	303	0.12893179059028625	0.015797848	Yes	
row_5	STAM	333	0.09386556595563889	0.0202565	Yes	
row_6	PDCD6IP	337	0.09060660749673843	0.025811786	Yes	
row_7	ARRB1	354	0.08169914036989212	0.030818755	Yes	
row_8	AP2M1	410	0.060045164078474045	0.03418078	Yes	
row_9	AP2A1	435	0.05289532616734505	0.038850322	Yes	
row_10	MDM2	494	0.03940224647521973	0.042085815	Yes	
row_11	GRK3	567	0.02744549699127674	0.044730812	Yes	
row_12	AP2S1	746	0.014309260062873363	0.042904932	Yes	
row_13	ERBB3	793	0.012286125682294369	0.046646558	Yes	
row_14	GRK4	1266	0.004109283909201622	0.032420326	Yes	
row_15	SH3GL2	1458	0.002947595901787281	0.030046131	Yes	
row_16	CLTB	1504	0.0027196649461984634	0.033829935	Yes	
row_17	EHD1	1512	0.002689843066036701	0.039216507	Yes	
row_18	ASAP3	1647	0.0021074956748634577	0.039246466	Yes	
row_19	ACAP3	1981	0.0013017827877774835	0.030882984	Yes	
row_20	SH3GLB1	1999	0.0012640554923564196	0.035847776	Yes	
row_21	ARFGAP2	2116	0.0010808480437844992	0.036636937	Yes	
row_22	RAB11FIP1	2202	9.515283745713532E-4	0.03873362	Yes	
row_23	RAB5B	2221	9.198341867886484E-4	0.04365623	Yes	
row_24	RAB11FIP4	2223	9.168750257231295E-4	0.049295872	Yes	
row_25	RAB5A	2350	7.938631461001933E-4	0.049663253	Yes	
row_26	DNAJC6	2412	7.381278555840254E-4	0.05277221	Yes	
row_27	PARD6A	2485	6.879132706671953E-4	0.055417206	Yes	
row_28	KDR	2597	6.127420347183943E-4	0.056417257	Yes	
row_29	FLT1	2721	5.321204662322998E-4	0.056911174	Yes	
row_30	EEA1	2817	4.8025482101365924E-4	0.058586072	Yes	
row_31	HLA-F	2846	4.6481002937071025E-4	0.063086905	Yes	
row_32	RBSN	2894	4.401457845233381E-4	0.066786356	Yes	
row_33	CHMP6	2906	4.328748327679932E-4	0.072004214	Yes	
row_34	EPN2	2946	4.1537900688126683E-4	0.07604109	Yes	
row_35	SH3GL1	3023	3.832367074210197E-4	0.07851737	Yes	
row_36	PRKCZ	3219	3.158696636091918E-4	0.075974464	Yes	
row_37	SH3GL3	3245	3.0767489806748927E-4	0.080601834	Yes	
row_38	CHMP4B	3266	3.0198844615370035E-4	0.08544009	Yes	
row_39	RAB11FIP5	3292	2.9419217025861144E-4	0.09006745	Yes	
row_40	ARF6	3332	2.838238433469087E-4	0.09410433	Yes	
row_41	DNM1L	3362	2.7651965501718223E-4	0.098562986	Yes	
row_42	FGFR3	3416	2.6208817143924534E-4	0.10200936	Yes	
row_43	VPS37C	3432	2.588766219560057E-4	0.10705851	Yes	
row_44	CDC42	3612	2.1890358766540885E-4	0.105190456	Yes	
row_45	EPS15	3809	1.839042524807155E-4	0.10260537	Yes	
row_46	IQSEC1	3974	1.6107637202367187E-4	0.101369984	Yes	
row_47	ITCH	4010	1.5507427451666445E-4	0.10557557	Yes	
row_48	CHMP4C	4017	1.5398488903883845E-4	0.11100432	Yes	
row_49	VPS25	4021	1.5352304035332054E-4	0.1165596	Yes	
row_50	RUFY1	4070	1.4630162331741303E-4	0.120216876	Yes	
row_51	RAB11A	4369	1.1161940346937627E-4	0.11332963	Yes	
row_52	HSPA1B	4515	9.578046592650935E-5	0.11289562	Yes	
row_53	GIT2	4581	9.039029100676998E-5	0.11583587	Yes	
row_54	DAB2	4682	8.266745862783864E-5	0.11729988	Yes	
row_55	CLTCL1	4739	7.882071076892316E-5	0.12061972	Yes	
row_56	CHMP2A	4768	7.660283881705254E-5	0.12512055	Yes	
row_57	VPS4A	4833	7.22499389667064E-5	0.12810297	Yes	
row_58	WWP1	5114	5.735494414693676E-5	0.12197494	Yes	
row_59	ASAP1	5171	5.526425957214087E-5	0.12529477	Yes	
row_60	HLA-E	5309	4.8093828809214756E-5	0.1251982	Yes	
row_61	DNM2	5360	4.560175511869602E-5	0.12877111	Yes	
row_62	CHMP4A	5403	4.385677311802283E-5	0.13268146	Yes	
row_63	PLD2	5532	3.9517977711511776E-5	0.13296448	Yes	
row_64	HGS	5585	3.800427293754183E-5	0.13645305	Yes	
row_65	PARD3	5685	3.5371078411117196E-5	0.13795923	Yes	
row_66	MVB12B	5746	3.349014514242299E-5	0.14111036	Yes	
row_67	SH3KBP1	5952	2.822194255713839E-5	0.13814567	Yes	
row_68	KIT	6030	2.6311370675102808E-5	0.14057979	Yes	
row_69	MVB12A	6181	2.3011376470094547E-5	0.13993488	Yes	
row_70	RAB11B	6296	2.0661202142946422E-5	0.1408084	Yes	
row_71	SH3GLB2	6369	1.9133771274937317E-5	0.1434534	Yes	
row_72	RAB5C	6375	1.9062719729845412E-5	0.14892434	Yes	
row_73	CLTC	6414	1.828931453928817E-5	0.15300338	Yes	
row_74	PIP5K1C	6442	1.774040902091656E-5	0.1575464	Yes	
row_75	HSPA8	6547	1.6084517483250238E-5	0.1588417	Yes	
row_76	SNF8	6583	1.54676781676244E-5	0.16304728	Yes	
row_77	SMAP1	6657	1.427079587301705E-5	0.1656501	Yes	
row_78	VPS45	6682	1.3974824469187297E-5	0.17031965	Yes	
row_79	VPS37B	6821	1.2188501386845019E-5	0.17018089	Yes	
row_80	PRKCI	6910	1.13186661110376E-5	0.17215103	Yes	
row_81	HLA-B	6915	1.1271986295469105E-5	0.17766415	Yes	
row_82	GRK6	7015	1.0144798579858616E-5	0.17917033	Yes	
row_83	RABEP1	7039	9.882055564958137E-6	0.18388206	Yes	
row_84	TSG101	7121	9.006985237647314E-6	0.18614745	Yes	
row_85	HLA-C	7154	8.719133802514989E-6	0.19047956	Yes	
row_86	VTA1	7175	8.490344043821096E-6	0.19531782	Yes	
row_87	EHD4	7613	5.050655545346672E-6	0.18256782	Yes	
row_88	ARFGAP3	7776	4.103212631889619E-6	0.1814168	Yes	
row_89	CHMP3	7914	3.361837798365741E-6	0.18132022	Yes	
row_90	MET	7992	3.077106157434173E-6	0.18375432	Yes	
row_91	GIT1	8222	2.2730832824890967E-6	0.17977735	Yes	
row_92	LDLRAP1	8369	1.8291769947609282E-6	0.17930117	Yes	
row_93	CHMP1B	8459	1.641901917537325E-6	0.18122914	Yes	
row_94	CLTA	8495	1.577657826601353E-6	0.18543473	Yes	
row_95	PIP5K1A	8573	1.4171804423313006E-6	0.18786885	Yes	
row_96	SMURF2	8688	1.1955751233472256E-6	0.18874235	Yes	
row_97	ARRB2	8959	7.285633500941913E-7	0.1830361	Yes	
row_98	HLA-A	9166	4.2531169697213045E-7	0.18002923	Yes	
row_99	RAB4A	9232	3.3024267054315715E-7	0.18296948	Yes	
row_100	PLD1	9294	2.609151579235913E-7	0.18607843	Yes	
row_101	EHD2	9311	2.4677979126863647E-7	0.1910854	Yes	
row_102	TRAF6	9422	1.5586549295676377E-7	0.19212763	Yes	
row_103	RAB11FIP3	9456	1.362041217589649E-7	0.19641757	Yes	
row_104	USP8	9509	1.0028964680941499E-7	0.19990613	Yes	
row_105	AP2A2	9697	2.0287366453430877E-8	0.19770065	No	
row_106	CBL	11102	-1.979191495138366E-7	0.14416444	No	
row_107	RNF41	11193	-2.828149092692911E-7	0.14605024	No	
row_108	EGF	11340	-4.626138832009019E-7	0.14557406	No	
row_109	PDGFRA	11413	-5.586090310316649E-7	0.14821906	No	
row_110	ARAP2	11587	-8.259124228970904E-7	0.14660408	No	
row_111	ARFGAP1	11681	-1.0177074045714107E-6	0.14836332	No	
row_112	STAM2	11737	-1.1257554888288723E-6	0.15172535	No	
row_113	AP2B1	11882	-1.4234160516934935E-6	0.15133353	No	
