NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CSF1R	132	0.850738525390625	0.009163623	No	
row_1	CSF2RA	387	0.0680340826511383	0.013204854	No	
row_2	IL9R	694	0.016155783087015152	0.015062771	No	
row_3	FLT3	1170	0.004910588730126619	0.009824916	No	
row_4	CD5	1185	0.004827085416764021	0.023942983	No	
row_5	ITGA5	1991	0.0012808289611712098	0.0048494786	No	
row_6	IL1R2	2391	7.539927028119564E-4	0.0028026216	No	
row_7	TNF	2803	4.867035604547709E-4	2.5192276E-4	No	
row_8	CD55	2875	4.4869541306979954E-4	0.011976741	No	
row_9	IL7	3296	2.9412354342639446E-4	0.009048161	No	
row_10	DNTT	4737	7.901753997430205E-5	-0.03670697	No	
row_11	IL6	4789	7.497647311538458E-5	-0.024142416	No	
row_12	CD33	4916	6.753431080142036E-5	-0.014726873	No	
row_13	KIT	6030	2.6311370675102808E-5	-0.046752315	No	
row_14	CR2	6312	2.020304964389652E-5	-0.04384473	No	
row_15	CD34	6853	1.1822069609479513E-5	-0.051811725	No	
row_16	CD9	6923	1.120958859246457E-5	-0.040002935	No	
row_17	IL1R1	8108	2.6714806153904647E-6	-0.07500944	No	
row_18	MME	8636	1.2848516917074448E-6	-0.08243061	No	
row_19	CD8A	9257	2.96791597520496E-7	-0.09375656	No	
row_20	ITGA3	9398	1.7301637456057506E-7	-0.084928825	No	
row_21	CD3E	9920	0.0	-0.09209807	No	
row_22	GP5	10084	0.0	-0.08423604	No	
row_23	HLA-DRA	11094	-1.9217876001675904E-7	-0.11189486	No	
row_24	IL4R	12621	-4.237862412992399E-6	-0.16126086	No	
row_25	ITGA1	13414	-1.07323694464867E-5	-0.17980853	No	
row_26	CSF3R	13974	-1.8829932741937228E-5	-0.18857329	Yes	
row_27	ITGAM	14055	-2.0442423192434944E-5	-0.17722633	Yes	
row_28	CD4	14487	-3.089089295826852E-5	-0.18061678	Yes	
row_29	KITLG	14516	-3.161125641781837E-5	-0.16708653	Yes	
row_30	CD7	14535	-3.2418342016171664E-5	-0.1531364	Yes	
row_31	TFRC	14979	-4.740110307466239E-5	-0.15703069	Yes	
row_32	CSF1	15384	-6.494869739981368E-5	-0.15928747	Yes	
row_33	CD44	15487	-7.137873762985691E-5	-0.14886424	Yes	
row_34	IL3RA	15673	-8.326807437697425E-5	-0.14192593	Yes	
row_35	IL6R	16144	-1.1533705401234329E-4	-0.14695385	Yes	
row_36	ITGA2	16732	-1.8008820188697428E-4	-0.15689422	Yes	
row_37	EPOR	16797	-1.8845609156414866E-4	-0.1448755	Yes	
row_38	FLT3LG	17510	-3.268288273829967E-4	-0.16006424	Yes	
row_39	IL2RA	17629	-3.583542420528829E-4	-0.1503128	Yes	
row_40	ITGA2B	18379	-6.703563267365098E-4	-0.16705504	Yes	
row_41	CD59	18387	-6.75362825859338E-4	-0.15264305	Yes	
row_42	GP1BA	18700	-8.7054941104725E-4	-0.15103707	Yes	
row_43	CD38	18966	-0.001092602964490652	-0.14745769	Yes	
row_44	CD3G	19029	-0.0011598680866882205	-0.13535498	Yes	
row_45	CD3D	19222	-0.0013676941161975265	-0.12871057	Yes	
row_46	IL11RA	19289	-0.0014481338439509273	-0.11677582	Yes	
row_47	MS4A1	19430	-0.0016517973272129893	-0.107948095	Yes	
row_48	HLA-DRB5	20008	-0.0028309726621955633	-0.1174686	Yes	
row_49	ANPEP	20207	-0.0033650160767138004	-0.11107611	Yes	
row_50	IL7R	20290	-0.0036281670909374952	-0.09981315	Yes	
row_51	CD36	20883	-0.006812965031713247	-0.10996346	Yes	
row_52	ITGB3	21348	-0.012261548079550266	-0.114739455	Yes	
row_53	IL11	21421	-0.013489036820828915	-0.103056625	Yes	
row_54	CD14	21912	-0.026606792584061623	-0.108924285	Yes	
row_55	ITGA6	22017	-0.03162151575088501	-0.09858503	Yes	
row_56	HLA-DRB1	22194	-0.04340348765254021	-0.09126883	Yes	
row_57	CD22	22613	-0.11130634695291519	-0.09411343	Yes	
row_58	CD19	22636	-0.11661861091852188	-0.08033126	Yes	
row_59	IL1A	22947	-0.26872438192367554	-0.078641295	Yes	
row_60	TPO	22958	-0.2752104103565216	-0.06435528	Yes	
row_61	CD8B	23027	-0.33536338806152344	-0.0525045	Yes	
row_62	CD1D	23060	-0.36687740683555603	-0.039142195	Yes	
row_63	CSF2	23137	-0.4555206000804901	-0.02762731	Yes	
row_64	CD37	23594	-3.030949831008911	-0.032067414	Yes	
row_65	IL1B	23804	-9.913841247558594	-0.026136778	Yes	
row_66	ITGA4	23835	-11.876121520996094	-0.012690499	Yes	
row_67	CSF3	23879	-33.35905838012695	2.0994991E-4	Yes	
