NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPT2	77	2.5428431034088135	0.005163439	Yes	
row_1	NEU1	232	0.2579420804977417	0.0070869555	Yes	
row_2	CTSG	328	0.09676920622587204	0.01149301	Yes	
row_3	HGSNAT	431	0.05365081503987312	0.015604527	Yes	
row_4	ATP6V0A4	526	0.03366853669285774	0.020052658	Yes	
row_5	IDUA	533	0.03251408040523529	0.028203558	Yes	
row_6	LIPA	600	0.02312888763844967	0.03382984	Yes	
row_7	GNS	616	0.021779527887701988	0.041602053	Yes	
row_8	ARSA	1351	0.0035755611024796963	0.019120956	Yes	
row_9	CLTB	1504	0.0027196649461984634	0.021128627	Yes	
row_10	ATP6V0C	1858	0.001515055657364428	0.014678836	Yes	
row_11	NAGA	2041	0.0011881788959726691	0.0154241985	Yes	
row_12	ACP2	2078	0.0011385789839550853	0.022312792	Yes	
row_13	ATP6V1H	2097	0.0011060506803914905	0.02995877	Yes	
row_14	SUMF1	2121	0.001078374800272286	0.03739436	Yes	
row_15	SMPD1	2135	0.0010455019073560834	0.045250725	Yes	
row_16	ARSG	2253	8.854309562593699E-4	0.048731085	Yes	
row_17	CTNS	2390	7.54617853090167E-4	0.051411986	Yes	
row_18	AP1M2	2527	6.582027417607605E-4	0.054092888	Yes	
row_19	NAGLU	3118	3.492481482680887E-4	0.03767087	Yes	
row_20	PLA2G15	3237	3.0946912011131644E-4	0.041109152	Yes	
row_21	ATP6V0D1	3264	3.0251219868659973E-4	0.048418514	Yes	
row_22	AP3D1	3896	1.7187307821586728E-4	0.030271342	Yes	
row_23	TCIRG1	3916	1.692045188974589E-4	0.037875243	Yes	
row_24	SGSH	4291	1.2074640108039603E-4	0.030541837	Yes	
row_25	MCOLN1	4333	1.1590292706387118E-4	0.037220046	Yes	
row_26	AP1S1	4567	9.116362343775108E-5	0.035819486	Yes	
row_27	SORT1	4574	9.069657244253904E-5	0.043970387	Yes	
row_28	MAN2B1	4595	8.90681694727391E-5	0.05153221	Yes	
row_29	ENTPD4	4702	8.151290967362002E-5	0.055475418	Yes	
row_30	CLTCL1	4739	7.882071076892316E-5	0.062364012	Yes	
row_31	ATP6AP1	4763	7.729272329015657E-5	0.0697996	Yes	
row_32	CTSE	4806	7.374054257525131E-5	0.07643574	Yes	
row_33	AP4E1	4870	7.002068741712719E-5	0.08218825	Yes	
row_34	LAMP1	4874	6.972763367230073E-5	0.09046538	Yes	
row_35	GLB1	4952	6.561032932950184E-5	0.09562882	Yes	
row_36	CTSW	4984	6.362547719618306E-5	0.1027278	Yes	
row_37	NPC1	5086	5.8963181800208986E-5	0.10688139	Yes	
row_38	LAPTM4A	5117	5.719163527828641E-5	0.11402245	Yes	
row_39	CLN5	5125	5.665774369845167E-5	0.122131266	Yes	
row_40	GM2A	5213	5.23826529388316E-5	0.12687394	Yes	
row_41	NAGPA	6076	2.516668610041961E-5	0.099006996	Yes	
row_42	SLC17A5	6171	2.3159247575677E-5	0.10345513	Yes	
row_43	GGA3	6188	2.2815742340753786E-5	0.11118526	Yes	
row_44	GNPTG	6223	2.2059573893784545E-5	0.118158005	Yes	
row_45	ASAH1	6380	1.890911880764179E-5	0.11999737	Yes	
row_46	CLTC	6414	1.828931453928817E-5	0.1270122	Yes	
row_47	GALNS	6598	1.5224045455397572E-5	0.12771548	Yes	
row_48	NPC2	6663	1.4192048183758743E-5	0.13342592	Yes	
row_49	CD68	6842	1.1969897059316281E-5	0.13433959	Yes	
row_50	AP4S1	7020	1.0077096703753341E-5	0.13529533	Yes	
row_51	AP3S1	7267	7.672027095395606E-6	0.13334778	Yes	
row_52	HEXB	7285	7.554452167823911E-6	0.14103583	Yes	
row_53	CTSZ	7522	5.7837378335534595E-6	0.13950904	Yes	
row_54	AP3B1	7590	5.280222012515878E-6	0.14509325	Yes	
row_55	CTSC	7794	4.031458047393244E-6	0.144955	Yes	
row_56	ATP6V0A1	8139	2.5288788947364083E-6	0.1388839	Yes	
row_57	M6PR	8255	2.173655047954526E-6	0.14244841	Yes	
row_58	CLTA	8495	1.577657826601353E-6	0.1407954	Yes	
row_59	ARSB	8532	1.4984121889938251E-6	0.14768398	Yes	
row_60	AP1B1	8655	1.2555300372696365E-6	0.15095396	Yes	
row_61	AP1M1	8736	1.1054183914893656E-6	0.15599117	Yes	
row_62	PSAP	9094	5.347882847672736E-7	0.14937307	Yes	
row_63	CTSH	9163	4.285246575363999E-7	0.1549152	Yes	
row_64	AP1G1	9245	3.138688384751731E-7	0.15991034	Yes	
row_65	AP3M1	9264	2.882059106923407E-7	0.16755632	Yes	
row_66	GAA	9343	2.154944382937174E-7	0.17267768	Yes	
row_67	GNPTAB	9477	1.199931602968718E-7	0.1754848	Yes	
row_68	GUSB	9616	5.591132179461056E-8	0.17808156	Yes	
row_69	ATP6V0A2	9624	5.463959595886081E-8	0.18619038	Yes	
row_70	CD63	9703	1.744675159898179E-8	0.19131175	Yes	
row_71	CTSO	10811	-2.0378262632902988E-8	0.15313596	No	
row_72	TPP1	11065	-1.6731840446482238E-7	0.15089385	No	
row_73	HEXA	11198	-2.931113840531907E-7	0.15374306	No	
row_74	AGA	11270	-3.6716630802402506E-7	0.15915896	No	
row_75	GGA2	11403	-5.376261356104806E-7	0.16200818	No	
row_76	IGF2R	11436	-5.918496981394128E-7	0.16906507	No	
row_77	SCARB2	11750	-1.149546733358875E-6	0.16429836	No	
row_78	IDS	11812	-1.2582249837578274E-6	0.17013504	No	
row_79	GLA	11813	-1.2583540183186415E-6	0.1785384	No	
row_80	CTSS	11904	-1.4668069070467027E-6	0.18315484	No	
row_81	CTSL	12238	-2.5401807306479895E-6	0.17754658	No	
row_82	DNASE2	12502	-3.5763191590376664E-6	0.17488371	No	
row_83	CTSA	12697	-4.769507540913764E-6	0.17512415	No	
row_84	LGMN	12708	-4.860029548581224E-6	0.18310675	No	
row_85	AP3M2	12878	-5.977016371616628E-6	0.18439911	No	
row_86	AP4B1	13360	-1.0343685062252916E-5	0.17256348	No	
row_87	CTSF	13478	-1.1608993190748151E-5	0.17604384	No	
row_88	CTSD	13535	-1.2126392903155647E-5	0.1820909	No	
row_89	ATP6V0B	14259	-2.5365281544509344E-5	0.16007264	No	
row_90	MFSD8	14783	-4.013460056739859E-5	0.14646977	No	
row_91	NAPSA	15434	-6.780694093322381E-5	0.12752314	No	
row_92	CLN3	15495	-7.17782459105365E-5	0.13340189	No	
row_93	CD164	15880	-9.573712304700166E-5	0.12564771	No	
row_94	SLC11A2	15889	-9.624394442653283E-5	0.13371445	No	
row_95	AP3S2	17036	-2.2705862647853792E-4	0.09389767	No	
row_96	LAPTM4B	17094	-2.353959862375632E-4	0.09990265	No	
row_97	ABCB9	17103	-2.3654387041460723E-4	0.107969396	No	
row_98	ABCA2	17201	-2.5982927763834596E-4	0.1122913	No	
row_99	FUCA1	17807	-4.13245870731771E-4	0.09523813	No	
row_100	CTSB	17819	-4.171793407294899E-4	0.103178635	No	
row_101	LAMP2	17842	-4.2523720185272396E-4	0.110656306	No	
row_102	AP4M1	18043	-5.036506918258965E-4	0.11064429	No	
row_103	PPT1	18298	-6.30516791716218E-4	0.10836011	No	
row_104	MANBA	19240	-0.0013826497597619891	0.07716909	No	
row_105	AP1S2	19344	-0.0015370993642136455	0.08123853	No	
row_106	CTSV	20113	-0.003113526850938797	0.057326823	No	
row_107	CTSK	20371	-0.003944705240428448	0.054916415	No	
row_108	AP3B2	20834	-0.0064762127585709095	0.043880243	No	
row_109	GALC	20868	-0.006730134133249521	0.050895065	No	
row_110	AP1S3	21042	-0.00803883746266365	0.05201912	No	
row_111	SLC11A1	21470	-0.01434169802814722	0.04245564	No	
row_112	LAPTM5	22202	-0.044471051543951035	0.020100774	No	
row_113	GGA1	22285	-0.0530020110309124	0.025053829	No	
row_114	PSAPL1	22747	-0.15456725656986237	0.014059732	No	
row_115	LAMP3	22901	-0.2390395700931549	0.016025325	No	
row_116	ACP5	22989	-0.3048812448978424	0.020767994	No	
row_117	HYAL1	23058	-0.3655794858932495	0.026310125	No	
row_118	ATP6V0D2	23786	-8.981369972229004	0.004123569	No	
