NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NKX6-1	1904	0.0014116944512352347	-0.017268738	No	
row_1	PDX1	5037	6.136619776953012E-5	-0.08598496	No	
row_2	NR5A2	5104	5.789602073491551E-5	-0.026250055	No	
row_3	MNX1	5665	3.586107413866557E-5	0.012788551	No	
row_4	HNF1A	11190	-2.7763150001192116E-7	-0.15614134	No	
row_5	FOXA3	16228	-1.2457634147722274E-4	-0.3046682	Yes	
row_6	HNF4G	17076	-2.3355334997177124E-4	-0.27765355	Yes	
row_7	HNF4A	17082	-2.345560642424971E-4	-0.21536303	Yes	
row_8	HHEX	19077	-0.0012073686812072992	-0.23640235	Yes	
row_9	GCK	19957	-0.002698207274079323	-0.21072836	Yes	
row_10	MAFA	20508	-0.004483881406486034	-0.1712708	Yes	
row_11	BHLHA15	20574	-0.004857332445681095	-0.111494	Yes	
row_12	PAX6	23174	-0.5219168663024902	-0.15788001	Yes	
row_13	HES1	23533	-2.3489911556243896	-0.11037853	Yes	
row_14	NKX2-2	23841	-12.612322807312012	-0.060740408	Yes	
row_15	FOXA2	23847	-13.87592887878418	0.0015501158	Yes	
