NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALG14	1381	0.003412533551454544	-0.03619115	Yes	
row_1	DPM3	1940	0.0013590423623099923	-0.03785904	Yes	
row_2	MAN2A1	2425	7.295393152162433E-4	-0.036422774	Yes	
row_3	ALG1	2819	4.7901400830596685E-4	-0.031169236	Yes	
row_4	MGAT1	2848	4.643237334676087E-4	-0.01060465	Yes	
row_5	ALG8	2878	4.4802669435739517E-4	0.0099179875	Yes	
row_6	MAN1A2	3187	3.236506599932909E-4	0.018737113	Yes	
row_7	DDOST	3481	2.484276774339378E-4	0.02818546	Yes	
row_8	GANAB	4055	1.4772458234801888E-4	0.025888348	Yes	
row_9	MGAT2	4146	1.3657441013492644E-4	0.043852154	Yes	
row_10	MAN2A2	4326	1.1694432760123163E-4	0.05808258	Yes	
row_11	DPM1	4473	1.0028040560428053E-4	0.07369729	Yes	
row_12	ALG12	4580	9.04787884792313E-5	0.090989925	Yes	
row_13	STT3A	4898	6.854909588582814E-5	0.09943152	Yes	
row_14	ALG9	5070	6.000407665851526E-5	0.113997534	Yes	
row_15	DPM2	5106	5.7783068768912926E-5	0.13426848	Yes	
row_16	ALG3	5165	5.5484953918494284E-5	0.15357463	Yes	
row_17	MAN1B1	5651	3.607865437516011E-5	0.15496895	Yes	
row_18	MOGS	5752	3.338210444780998E-5	0.17251326	Yes	
row_19	ALG5	6101	2.4326242055394687E-5	0.17965446	Yes	
row_20	DAD1	6204	2.2483878638013266E-5	0.1971149	Yes	
row_21	MGAT4A	6378	1.8951603124151006E-5	0.21159701	Yes	
row_22	DPAGT1	6612	1.5053482457005884E-5	0.22356224	Yes	
row_23	B4GALT1	7143	8.837053428578656E-6	0.2230689	Yes	
row_24	MAN1C1	7148	8.790263564151246E-6	0.24464023	Yes	
row_25	ALG11	7622	4.998980784876039E-6	0.24653794	Yes	
row_26	MGAT5	8045	2.8926081085955957E-6	0.25057498	Yes	
row_27	ALG10	8697	1.1734099416571553E-6	0.24500592	Yes	
row_28	STT3B	8744	1.0956491678371094E-6	0.26481545	Yes	
row_29	DOLPP1	8947	7.472434617739054E-7	0.27808106	Yes	
row_30	RPN2	9046	5.907359081902541E-7	0.29570928	Yes	
row_31	B4GALT3	9130	4.894455969406408E-7	0.31396672	Yes	
row_32	MGAT4B	9371	1.9115636007427383E-7	0.32563832	Yes	
row_33	ALG13	9416	1.610119824135836E-7	0.34553173	Yes	
row_34	RPN1	10730	-2.018336608955451E-10	0.31219304	No	
row_35	RFT1	10797	-1.5751558279930578E-8	0.33116361	No	
row_36	ALG6	11397	-5.326591008270043E-7	0.32777584	No	
row_37	ALG2	11994	-1.7279655821766937E-6	0.32451394	No	
row_38	MAN1A1	13188	-8.579900168115273E-6	0.296209	No	
row_39	ALG10B	14531	-3.223849125788547E-5	0.26165384	No	
row_40	B4GALT2	15202	-5.547492401092313E-5	0.25528777	No	
row_41	MGAT5B	15456	-6.927488720975816E-5	0.26641405	No	
row_42	FUT8	19501	-0.0017679097363725305	0.11851518	No	
row_43	TUSC3	19729	-0.00220276415348053	0.1307321	No	
row_44	MGAT3	20891	-0.006858140230178833	0.103769526	No	
row_45	ST6GAL1	22594	-0.10531700402498245	0.054113045	No	
