NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V0A4	526	0.03366853669285774	-0.012948837	Yes	
row_1	NDUFA3	547	0.03074543923139572	-0.00461571	Yes	
row_2	NDUFC2	556	0.028917495161294937	0.0042221276	Yes	
row_3	SDHA	1514	0.00267499266192317	-0.026854234	Yes	
row_4	ATP6V0C	1858	0.001515055657364428	-0.032106236	Yes	
row_5	ATP6V1H	2097	0.0011060506803914905	-0.032942016	Yes	
row_6	UQCR11	2112	0.0010882163187488914	-0.024356535	Yes	
row_7	NDUFB3	2298	8.455110364593565E-4	-0.022963177	Yes	
row_8	ATP6V1A	2326	8.181455195881426E-4	-0.014924465	Yes	
row_9	COX10	2460	7.063179509714246E-4	-0.01134403	Yes	
row_10	ATP6V1D	2511	6.6927052102983E-4	-0.004272679	Yes	
row_11	ATP6V1F	2728	5.272118141874671E-4	-0.0041831587	Yes	
row_12	NDUFS3	3071	3.647752455435693E-4	-0.0093931	Yes	
row_13	NDUFS6	3207	3.18557140417397E-4	-0.005896783	Yes	
row_14	ATP6V0D1	3264	3.0251219868659973E-4	9.2221226E-4	Yes	
row_15	NDUFB2	3403	2.664527273736894E-4	0.0042923517	Yes	
row_16	COX7A2L	3405	2.6609745691530406E-4	0.013424604	Yes	
row_17	NDUFV3	3493	2.460271352902055E-4	0.018939763	Yes	
row_18	COX7C	3823	1.821322221076116E-4	0.014276592	Yes	
row_19	COX6A1	3892	1.7214150284416974E-4	0.020590877	Yes	
row_20	TCIRG1	3916	1.692045188974589E-4	0.028797826	Yes	
row_21	NDUFV2	4036	1.5138575690798461E-4	0.03296709	Yes	
row_22	NDUFA2	4051	1.4867390564177185E-4	0.041552573	Yes	
row_23	COX8A	4052	1.4863121032249182E-4	0.050726883	Yes	
row_24	COX6B1	4198	1.305738987866789E-4	0.05380261	Yes	
row_25	ATP6V0E1	4214	1.2877292465418577E-4	0.062346034	Yes	
row_26	UQCRQ	4261	1.2376382073853165E-4	0.06958562	Yes	
