NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIP5K1B	15	8.303130149841309	0.012883553	Yes	
row_1	DGKB	172	0.5148561596870422	0.019845473	Yes	
row_2	DGKZ	244	0.2338334023952484	0.030377172	Yes	
row_3	DGKQ	248	0.22348470985889435	0.04376469	Yes	
row_4	DGKD	767	0.013390415348112583	0.035523556	Yes	
row_5	PLCB4	844	0.01055823639035225	0.04584527	Yes	
row_6	PIP4K2C	1155	0.005004577338695526	0.04633959	Yes	
row_7	PIP4K2A	1874	0.0014809425920248032	0.029698975	Yes	
row_8	IMPA2	1937	0.0013636392541229725	0.04060865	Yes	
row_9	INPPL1	1993	0.00127899379003793	0.051812306	Yes	
row_10	PIK3R1	2308	8.309374679811299E-4	0.052138638	Yes	
row_11	INPP4A	2713	5.37305953912437E-4	0.048685204	Yes	
row_12	ITPR2	2780	5.023134290240705E-4	0.059426893	Yes	
row_13	PLCD3	2800	4.893293953500688E-4	0.07214245	Yes	
row_14	PIK3CD	3457	2.522407448850572E-4	0.058105677	Yes	
row_15	CALM3	3549	2.3266505741048604E-4	0.06779743	Yes	
row_16	PIK3CG	3606	2.1992577239871025E-4	0.078959085	Yes	
row_17	PIK3R2	3950	1.642395363887772E-4	0.0780675	Yes	
row_18	CDS2	4399	1.0937878687400371E-4	0.07276618	Yes	
row_19	PI4KA	5038	6.135727016953751E-5	0.059485354	Yes	
row_20	DGKA	5121	5.6876138842199E-5	0.06955508	Yes	
row_21	PLCB3	5254	5.056280497228727E-5	0.07752494	Yes	
row_22	INPP5B	5755	3.334880602778867E-5	0.07003976	Yes	
row_23	OCRL	5849	3.058487345697358E-5	0.07964751	Yes	
row_24	PI4KB	5945	2.8468361051636748E-5	0.08917127	Yes	
row_25	PIK3C2B	6010	2.680180114111863E-5	0.099996954	Yes	
row_26	IMPA1	6158	2.3338488972513005E-5	0.10733685	Yes	
row_27	ITPR3	6209	2.241613583464641E-5	0.11875049	Yes	
row_28	IPPK	6233	2.1871961507713422E-5	0.13129807	Yes	
row_29	PIK3R3	6316	2.0159417545073666E-5	0.1413678	Yes	
row_30	INPP5K	6387	1.8796479707816616E-5	0.1519415	Yes	
row_31	PIP5K1C	6442	1.774040902091656E-5	0.16318715	Yes	
row_32	CDS1	6744	1.32211407617433E-5	0.16405945	Yes	
row_33	PIK3C2A	6750	1.3138403119228315E-5	0.17736296	Yes	
row_34	CALM2	7073	9.518131264485419E-6	0.17735332	Yes	
row_35	PRKCB	7366	6.99338443155284E-6	0.17860359	Yes	
row_36	INPP5E	7989	3.092636006840621E-6	0.16599473	Yes	
row_37	ITPKB	8021	2.985569835800561E-6	0.17820632	Yes	
row_38	INPP4B	8325	1.940192760230275E-6	0.17899463	Yes	
row_39	ITPK1	8491	1.583220409884234E-6	0.18557857	Yes	
row_40	PIP5K1A	8573	1.4171804423313006E-6	0.1956903	Yes	
row_41	SYNJ1	8849	9.109731990974979E-7	0.19765453	Yes	
row_42	PIK3CB	8902	8.285558692477935E-7	0.20898418	Yes	
row_43	INPP5D	9013	6.453697665165237E-7	0.21787798	Yes	
row_44	INPP5A	9022	6.273502890508098E-7	0.23105551	Yes	
row_45	SYNJ2	9691	2.29617143077121E-8	0.21651477	No	
row_46	CDIPT	12198	-2.4078876776911784E-6	0.12478281	No	
row_47	PIK3C3	12742	-5.088470061309636E-6	0.11549173	No	
row_48	ITPR1	12861	-5.884605343453586E-6	0.12404956	No	
row_49	INPP1	13198	-8.672200237924699E-6	0.12345195	No	
row_50	PRKCG	13256	-9.304560080636293E-6	0.13457161	No	
row_51	DGKG	13297	-9.627623512642458E-6	0.14640522	No	
row_52	PRKCA	13394	-1.0590031706669834E-5	0.155887	No	
row_53	CALM1	13606	-1.3059267985227052E-5	0.16053906	No	
row_54	PIK3C2G	13625	-1.337598678219365E-5	0.17329662	No	
row_55	INPP5J	14028	-1.9833503756672144E-5	0.16992718	No	
row_56	DGKE	16282	-1.2902547314297408E-4	0.08882056	No	
row_57	PLCG1	16900	-2.046923036687076E-4	0.07642168	No	
row_58	CALML5	16976	-2.1750225278083235E-4	0.08678539	No	
row_59	PIKFYVE	17412	-3.0167357181198895E-4	0.082030036	No	
row_60	PTEN	18086	-5.206927889958024E-4	0.0672793	No	
row_61	PLCB2	18866	-0.001002546981908381	0.048076846	No	
row_62	DGKH	19685	-0.0021106593776494265	0.027236491	No	
row_63	PIK3CA	19905	-0.0025888446252793074	0.031552576	No	
row_64	ITPKA	20001	-0.002821324858814478	0.04107634	No	
row_65	PLCB1	20248	-0.003478837898001075	0.044258494	No	
row_66	CALML6	21010	-0.007857618853449821	0.025811989	No	
row_67	PLCD1	21618	-0.017257804051041603	0.013833084	No	
row_68	DGKI	21922	-0.027152657508850098	0.014621387	No	
row_69	PLCG2	22376	-0.06332152336835861	0.009110081	No	
row_70	PLCD4	22409	-0.06693246960639954	0.021279678	No	
row_71	PIK3R5	22678	-0.13068872690200806	0.023537891	No	
row_72	PLCE1	23171	-0.5193795561790466	0.016388686	No	
row_73	CALML3	23284	-0.7918594479560852	0.025198491	No	
