NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMD2	1427	0.0031285646837204695	-0.03484483	Yes	
row_1	PSMB6	1715	0.001857750816270709	-0.021880899	Yes	
row_2	PSMA1	1929	0.0013730498030781746	-0.005813588	Yes	
row_3	PSMD6	2214	9.347142768092453E-4	0.007276159	Yes	
row_4	PSMC6	2320	8.239762391895056E-4	0.02787272	Yes	
row_5	PSMC3	2636	5.878998199477792E-4	0.039662402	Yes	
row_6	PSMB5	2697	5.459156818687916E-4	0.062146153	Yes	
row_7	POMP	2892	4.417271411512047E-4	0.07901028	Yes	
row_8	PSMD11	3546	2.335221943212673E-4	0.07662508	Yes	
row_9	PSMC4	3638	2.1486860350705683E-4	0.09780876	Yes	
row_10	PSMD8	3845	1.781200699042529E-4	0.11416964	Yes	
row_11	PSMD1	4054	1.4821822696831077E-4	0.13044664	Yes	
row_12	PSMF1	4461	1.0181513789575547E-4	0.13842	Yes	
row_13	PSMD13	4465	1.0134506010217592E-4	0.1632942	Yes	
row_14	PSMC1	4525	9.488164505455643E-5	0.18581988	Yes	
row_15	PSMB2	4531	9.455780673306435E-5	0.2106102	Yes	
row_16	PSMB4	4578	9.059777949005365E-5	0.23368107	Yes	
row_17	PSMA2	4611	8.779347263043746E-5	0.25733906	Yes	
row_18	PSMD3	5240	5.099874397274107E-5	0.2560023	Yes	
row_19	PSMB7	5445	4.20629330619704E-5	0.27244705	Yes	
row_20	PSMA5	5475	4.1299175791209564E-5	0.29623088	Yes	
row_21	PSMA6	5951	2.8308828404988162E-5	0.30131054	Yes	
row_22	PSMB8	6125	2.397575372015126E-5	0.31905535	Yes	
row_23	PSME3	6321	2.0059675080119632E-5	0.33587754	Yes	
row_24	PSMD12	6790	1.2614436855074018E-5	0.34125078	Yes	
row_25	PSMD14	6841	1.1977614121860825E-5	0.36415392	Yes	
row_26	PSMB9	7144	8.821461051411461E-6	0.37648878	Yes	
row_27	PSMB1	7245	7.838390047254506E-6	0.39729503	Yes	
row_28	PSMC5	7412	6.672924882877851E-6	0.41533342	Yes	
row_29	PSME4	8365	1.848097781476099E-6	0.4004089	Yes	
row_30	PSMD4	8646	1.2714610875264043E-6	0.4136664	Yes	
row_31	PSMD7	8719	1.1491841860333807E-6	0.4356469	Yes	
row_32	PSME2	8738	1.101982093132392E-6	0.459892	Yes	
row_33	PSMC2	9146	4.5525206360252923E-7	0.46782345	Yes	
row_34	PSMC1P4	10261	0.0	0.44610506	Yes	
row_35	PSMA4	10724	-7.309187977089238E-11	0.45172992	Yes	
row_36	PSMA7	10820	-2.3557388928452383E-8	0.47274587	Yes	
row_37	PSMA3	11292	-4.017994115201873E-7	0.4779933	Yes	
row_38	PSMB10	12447	-3.3380445074726595E-6	0.4545974	No	
row_39	PSME1	14216	-2.4557020879001357E-5	0.4054519	No	
