NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP2C18	415	0.05854673311114311	0.009625149	No	
row_1	CYP1A2	917	0.008858845569193363	0.015644126	No	
row_2	CYP3A7	1980	0.0013020880287513137	-0.0018608851	No	
row_3	RPE65	3667	2.095402596751228E-4	-0.045531612	No	
row_4	CYP1A1	7313	7.396661658276571E-6	-0.17134759	No	
row_5	DGAT1	7612	5.0515695875219535E-6	-0.15681638	No	
row_6	RDH11	8803	9.749708169692894E-7	-0.1796887	No	
row_7	RETSAT	8874	8.668772579767392E-7	-0.15559694	No	
row_8	DGAT2	8876	8.659566788082884E-7	-0.12861185	No	
row_9	UGT1A6	9412	1.6254469414889172E-7	-0.124018565	No	
row_10	CYP26B1	13556	-1.2314263585722074E-5	-0.2707168	No	
row_11	PNPLA4	14715	-3.813631701632403E-5	-0.2922473	No	
row_12	DHRS4	15776	-8.991950016934425E-5	-0.30966845	Yes	
row_13	ADH5	16272	-1.2828971375711262E-4	-0.3033979	Yes	
row_14	ADH6	16880	-2.017650258494541E-4	-0.30182374	Yes	
row_15	LRAT	17462	-3.153108700644225E-4	-0.29915932	Yes	
row_16	CYP3A5	18129	-5.42735680937767E-4	-0.30005917	Yes	
row_17	RDH10	18753	-9.107504738494754E-4	-0.29915592	Yes	
row_18	ADH1C	19331	-0.0015179625479504466	-0.2963238	Yes	
row_19	DHRS4L2	19478	-0.0017361624632030725	-0.27541888	Yes	
row_20	CYP2C8	19594	-0.001928564510308206	-0.25321406	Yes	
row_21	UGT1A7	20095	-0.00306318630464375	-0.24715315	Yes	
row_22	CYP3A4	20613	-0.005050035659223795	-0.24180509	Yes	
row_23	DHRS3	20646	-0.005218889564275742	-0.2161199	Yes	
row_24	UGT1A4	20895	-0.006887694355100393	-0.19949207	Yes	
row_25	ALDH1A2	21115	-0.008771046064794064	-0.1816482	Yes	
row_26	RDH12	21249	-0.010490133427083492	-0.16019815	Yes	
row_27	RDH5	21692	-0.018640052527189255	-0.15170518	Yes	
row_28	BCO1	21997	-0.030631085857748985	-0.13742554	Yes	
row_29	CYP26A1	22029	-0.032532140612602234	-0.11169842	Yes	
row_30	CYP2B6	22369	-0.06267007440328598	-0.09888642	Yes	
row_31	ALDH1A1	22423	-0.06900441646575928	-0.0740818	Yes	
row_32	RDH16	22477	-0.07748384028673172	-0.049277183	Yes	
row_33	DHRS9	22714	-0.14402389526367188	-0.032146163	Yes	
row_34	UGT2B7	22789	-0.17196156084537506	-0.008222122	Yes	
row_35	UGT1A1	23497	-1.8830822706222534	-0.010841187	Yes	
row_36	UGT1A10	23790	-9.206221580505371	0.0039416268	Yes	
