NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LSM2	103	1.4419825077056885	0.0037296813	Yes	
row_1	U2AF2	358	0.08077564835548401	0.0011044111	Yes	
row_2	PPIL1	1545	0.002535372506827116	-0.0407448	Yes	
row_3	SNRPC	1603	0.002264720620587468	-0.035079174	Yes	
row_4	PRPF31	1741	0.0017753493739292026	-0.03278041	Yes	
row_5	LSM3	1768	0.0017026715213432908	-0.02581012	Yes	
row_6	DHX16	1839	0.0015545692294836044	-0.020691609	Yes	
row_7	SRSF10	2472	6.961331237107515E-4	-0.039225303	Yes	
row_8	PRPF18	2621	5.977973341941833E-4	-0.03738948	Yes	
row_9	BCAS2	3265	3.0220250482670963E-4	-0.056386117	Yes	
row_10	SNU13	3293	2.9416364850476384E-4	-0.049457915	Yes	
row_11	PQBP1	3297	2.9400771018117666E-4	-0.041519657	Yes	
row_12	SNRPE	3673	2.0894838962703943E-4	-0.049237307	Yes	
row_13	SRSF9	3764	1.920313952723518E-4	-0.04496051	Yes	
row_14	CWC15	3853	1.768722286215052E-4	-0.04059954	Yes	
row_15	SF3B1	3875	1.7434312030673027E-4	-0.033418827	Yes	
row_16	SNRNP70	4072	1.45928148413077E-4	-0.03360312	Yes	
row_17	CDC5L	4334	1.1590096983127296E-4	-0.036522992	Yes	
row_18	MAGOHB	4404	1.0841898620128632E-4	-0.031362396	Yes	
row_19	HSPA1B	4515	9.578046592650935E-5	-0.027927315	Yes	
row_20	HNRNPC	4718	8.045109279919416E-5	-0.028364124	Yes	
row_21	RBM17	5243	5.096924724057317E-5	-0.042352553	Yes	
row_22	LSM5	5261	5.035360300098546E-5	-0.035003494	Yes	
row_23	PRPF8	5908	2.9451875889208168E-5	-0.05412639	Yes	
row_24	SNRPB	5929	2.8915354050695896E-5	-0.046903588	Yes	
row_25	DHX15	6018	2.647485234774649E-5	-0.04254262	Yes	
row_26	CCDC12	6087	2.4819732061587274E-5	-0.037339937	Yes	
row_27	DDX39B	6140	2.3770848201820627E-5	-0.03146388	Yes	
row_28	DDX42	6146	2.359462814638391E-5	-0.023609795	Yes	
row_29	PRPF19	6176	2.3030663214740343E-5	-0.016765766	Yes	
row_30	THOC3	6252	2.145107828255277E-5	-0.011857683	Yes	
row_31	HNRNPK	6253	2.1434530935948715E-5	-0.0037931667	Yes	
row_32	SNRPD2	6501	1.674264422035776E-5	-0.0061238366	Yes	
row_33	PUF60	6505	1.6694795704097487E-5	0.001814422	Yes	
row_34	HSPA8	6547	1.6084517483250238E-5	0.008153421	Yes	
row_35	SNRPD3	6679	1.4010481208970305E-5	0.010704701	Yes	
row_36	SF3A3	6896	1.1454611922090407E-5	0.00967869	Yes	
row_37	ZMAT2	6904	1.134384820034029E-5	0.017448606	Yes	
row_38	LSM7	6944	1.0948839189950377E-5	0.023871776	Yes	
row_39	SRSF3	6961	1.0820331226568669E-5	0.03126292	Yes	
row_40	SNRPF	7457	6.271041456784587E-6	0.018494979	Yes	
row_41	TXNL4A	7673	4.67770587420091E-6	0.017511053	Yes	
row_42	EFTUD2	7960	3.1925917483022204E-6	0.013539039	Yes	
row_43	SRSF4	7976	3.143687763440539E-6	0.020972267	Yes	
row_44	TRA2B	8096	2.7101737032353412E-6	0.024028577	Yes	
row_45	DDX23	8149	2.505987140466459E-6	0.029904632	Yes	
row_46	U2SURP	8270	2.1223440853646025E-6	0.032918856	Yes	
row_47	PHF5A	8338	1.9106521449430147E-6	0.038163625	Yes	
row_48	LSM4	8352	1.8849598291126313E-6	0.045681026	Yes	
row_49	SNW1	8407	1.746066118357703E-6	0.05147291	Yes	
row_50	PRPF40A	8538	1.490510499024822E-6	0.054066274	Yes	
row_51	SNRNP200	8624	1.3062617654213682E-6	0.058553502	Yes	
row_52	SF3B5	8625	1.3035383972237469E-6	0.06661802	Yes	
row_53	SNRNP27	8664	1.2380006637613405E-6	0.073083274	Yes	
row_54	DHX8	8673	1.2236663451403729E-6	0.080811106	Yes	
row_55	WBP11	8776	1.0273311090713833E-6	0.08458287	Yes	
row_56	LSM6	8792	9.960407396647497E-7	0.0920161	Yes	
row_57	HNRNPM	8863	8.848039669828722E-7	0.09713461	Yes	
row_58	SNRPG	8972	6.97261043569597E-7	0.100653864	Yes	
row_59	DDX5	8988	6.726059496031667E-7	0.10808709	Yes	
row_60	THOC1	9137	4.789338277078059E-7	0.109922916	Yes	
row_61	ACIN1	9213	3.4911801094494876E-7	0.114831	Yes	
row_62	HNRNPU	9312	2.4530504560971167E-7	0.118771106	Yes	
row_63	DHX38	9504	1.0324809096573517E-7	0.11879724	Yes	
row_64	NCBP1	9514	9.898177211198345E-8	0.12648298	Yes	
row_65	DDX46	9582	6.947089303821485E-8	0.13172776	Yes	
row_66	SRSF1	9614	5.663512681053362E-8	0.1384876	Yes	
row_67	TRA2A	9646	4.433504940948296E-8	0.14524747	Yes	
row_68	SNRPA	9684	2.6478513603933607E-8	0.15175481	Yes	
row_69	CTNNBL1	10952	-1.0152930940421356E-7	0.106496654	Yes	
row_70	SNRPA1	11038	-1.525812791669523E-7	0.11098388	Yes	
row_71	HNRNPA3	11124	-2.1697258034691913E-7	0.1154711	Yes	
row_72	SNRPD1	11151	-2.3810228810816625E-7	0.12244139	Yes	
row_73	PLRG1	11200	-2.944540540283924E-7	0.12848578	Yes	
row_74	PRPF6	11217	-3.0802468131696514E-7	0.13587692	Yes	
row_75	ISY1	11245	-3.3538958632561844E-7	0.14280513	Yes	
row_76	SRSF7	11267	-3.6387169188856205E-7	0.14998585	Yes	
row_77	PRPF40B	11318	-4.3260286020085914E-7	0.15594608	Yes	
row_78	CHERP	11333	-4.5543015403382014E-7	0.16342139	Yes	
row_79	SYF2	11421	-5.777030764875235E-7	0.16782445	Yes	
row_80	SF3B3	11442	-6.008727382322832E-7	0.17504725	Yes	
row_81	SRSF2	11590	-8.274494120996678E-7	0.17692515	Yes	
row_82	SF3A1	11612	-8.765480856709473E-7	0.18410586	Yes	
row_83	RBMX	11642	-9.351173844152072E-7	0.19094989	Yes	
row_84	EIF4A3	11664	-9.764322612682008E-7	0.19813061	Yes	
row_85	PRPF3	11689	-1.0361499107602867E-6	0.20518507	Yes	
row_86	SF3A2	11709	-1.077136175808846E-6	0.21244995	Yes	
row_87	SNRPB2	11764	-1.169581082649529E-6	0.21824184	Yes	
row_88	ALYREF	11784	-1.2127005675210967E-6	0.22550672	Yes	
row_89	SART1	11792	-1.2258020660738111E-6	0.23327664	Yes	
row_90	PCBP1	11826	-1.2892958238808205E-6	0.23995233	Yes	
row_91	U2AF1	11974	-1.6731955838622525E-6	0.24183023	Yes	
row_92	SF3B2	12065	-1.9622111722128466E-6	0.24610703	Yes	
row_93	SF3B4	12253	-2.586466507636942E-6	0.2463015	Yes	
row_94	PRPF4	12256	-2.598503897388582E-6	0.25428185	Yes	
row_95	SRSF5	12364	-3.027362026841729E-6	0.2578432	Yes	
row_96	NCBP2	12421	-3.2561097214056645E-6	0.2635509	Yes	
row_97	MAGOH	12565	-3.972819285991136E-6	0.26559713	Yes	
row_98	SRSF6	12734	-5.034997684560949E-6	0.26659125	Yes	
row_99	HNRNPA1	12791	-5.348779268388171E-6	0.27229896	Yes	
row_100	SF3B6	13204	-8.716752745385747E-6	0.26302415	No	
row_101	SMNDC1	13380	-1.0447021850268357E-5	0.26372364	No	
row_102	RBM25	13621	-1.3339814358914737E-5	0.26168758	No	
row_103	RBM22	13718	-1.4505663784802891E-5	0.26571187	No	
row_104	SLU7	13802	-1.5971587345120497E-5	0.27028325	No	
row_105	SNRNP40	14150	-2.2774924218538217E-5	0.26374403	No	
row_106	BUD31	14413	-2.9046621421002783E-5	0.26078206	No	
row_107	CRNKL1	14550	-3.276366987847723E-5	0.26312292	No	
row_108	TCERG1	14786	-4.032698052469641E-5	0.26129726	No	
row_109	XAB2	14901	-4.431181150721386E-5	0.264564	No	
row_110	HNRNPA1L2	15117	-5.231147224549204E-5	0.26358008	No	
row_111	PRPF38A	16332	-1.3413482520263642E-4	0.22055247	No	
row_112	PRPF38B	16509	-1.5283435641322285E-4	0.22120988	No	
row_113	LSM8	16853	-1.9708368927240372E-4	0.21483898	No	
row_114	AQR	17150	-2.469010651111603E-4	0.2104461	No	
row_115	PPIH	17768	-4.016575694549829E-4	0.1925437	No	
row_116	USP39	18650	-8.361201034858823E-4	0.16353066	No	
row_117	PPIE	18995	-0.0011260609608143568	0.15711766	No	
row_118	THOC2	19107	-0.001238212687894702	0.16051066	No	
row_119	CDC40	20546	-0.0046758875250816345	0.10805584	No	
row_120	HSPA1L	20609	-0.0050345053896307945	0.11351103	No	
row_121	HSPA6	21736	-0.020096443593502045	0.07418697	No	
row_122	HSPA1A	22882	-0.22617892920970917	0.034063276	No	
row_123	HSPA2	23157	-0.5010555982589722	0.030596292	No	
