NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FDFT1	478	0.043467532843351364	0.038796715	Yes	
row_1	LIPA	600	0.02312888763844967	0.092550695	Yes	
row_2	DHCR24	760	0.01373873557895422	0.14471258	Yes	
row_3	EBP	787	0.01254956517368555	0.20244679	Yes	
row_4	MSMO1	797	0.012164358980953693	0.26089326	Yes	
row_5	LSS	865	0.010055244900286198	0.31690967	Yes	
row_6	SQLE	1314	0.0038752856198698282	0.3569633	Yes	
row_7	TM7SF2	1360	0.0035158873070031404	0.41390145	Yes	
row_8	DHCR7	1493	0.00279140193015337	0.4671946	Yes	
row_9	CYP51A1	2519	6.648867856711149E-4	0.48307356	Yes	
row_10	SC5D	2802	4.886490060016513E-4	0.5300821	Yes	
row_11	HSD17B7	2845	4.6601457870565355E-4	0.587146	Yes	
row_12	NSDHL	4269	1.228209148393944E-4	0.5863499	Yes	
row_13	SOAT1	5451	4.192897176835686E-5	0.595693	Yes	
row_14	SOAT2	7679	4.650894879887346E-6	0.5612117	No	
row_15	CYP27B1	20445	-0.004220445174723864	0.085218735	No	
row_16	CEL	21722	-0.019666923210024834	0.090581566	No	
