NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSD3B1	59	3.760281562805176	0.026938073	No	
row_1	HSD17B8	1154	0.005011594854295254	0.01048174	No	
row_2	CYP7B1	1415	0.0031869737431406975	0.028992495	No	
row_3	CYP3A7	1980	0.0013020880287513137	0.034757454	No	
row_4	HSD17B7	2845	4.6601457870565355E-4	0.02794432	No	
row_5	CYP11A1	3433	2.586783666629344E-4	0.03274496	No	
row_6	SRD5A3	3611	2.1910431678406894E-4	0.05473565	No	
row_7	SRD5A1	6939	1.098109805752756E-5	-0.055343594	No	
row_8	CYP1A1	7313	7.396661658276571E-6	-0.041570585	No	
row_9	HSD17B12	7871	3.59157479579153E-6	-0.03551214	No	
row_10	UGT1A6	9412	1.6254469414889172E-7	-0.0706679	No	
row_11	STS	12117	-2.131141627614852E-6	-0.15462664	No	
row_12	SULT2B1	15529	-7.421273039653897E-5	-0.26822776	No	
row_13	HSD11B2	15557	-7.583323895232752E-5	-0.23994802	No	
row_14	CYP3A5	18129	-5.42735680937767E-4	-0.31833047	No	
row_15	SULT1E1	18884	-0.0010136195924133062	-0.32053164	No	
row_16	HSD11B1	19628	-0.0020106197334825993	-0.32227162	Yes	
row_17	COMT	20062	-0.002984448801726103	-0.3110142	Yes	
row_18	UGT1A7	20095	-0.00306318630464375	-0.2829441	Yes	
row_19	CYP19A1	20448	-0.004239019937813282	-0.26829064	Yes	
row_20	CYP3A4	20613	-0.005050035659223795	-0.2457549	Yes	
row_21	UGT1A4	20895	-0.006887694355100393	-0.22812462	Yes	
row_22	HSD17B3	21300	-0.011387125588953495	-0.21565135	Yes	
row_23	HSD17B6	21505	-0.014907828532159328	-0.19479267	Yes	
row_24	HSD17B1	21529	-0.015473432838916779	-0.16634524	Yes	
row_25	AKR1C4	22736	-0.1500023752450943	-0.18749739	Yes	
row_26	UGT2B7	22789	-0.17196156084537506	-0.16026582	Yes	
row_27	AKR1C3	23308	-0.8915426731109619	-0.15257223	Yes	
row_28	HSD17B2	23425	-1.3840432167053223	-0.12802398	Yes	
row_29	AKR1C1	23448	-1.5397218465805054	-0.099534616	Yes	
row_30	UGT1A1	23497	-1.8830822706222534	-0.072135344	Yes	
row_31	CYP1B1	23534	-2.3605329990386963	-0.044232953	Yes	
row_32	UGT1A10	23790	-9.206221580505371	-0.025512563	Yes	
row_33	AKR1C2	23797	-9.517904281616211	0.0036476406	Yes	
