NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EPB41L3	13	9.301730155944824	0.008148744	Yes	
row_1	CSNK2B	134	0.8293614983558655	0.011796015	Yes	
row_2	PPP2R1A	288	0.14187803864479065	0.014054983	Yes	
row_3	CLDN9	371	0.0734572485089302	0.019300908	Yes	
row_4	CLDN6	376	0.07131045311689377	0.02782828	Yes	
row_5	MYH14	451	0.0490645132958889	0.033410765	Yes	
row_6	LLGL1	551	0.0302840955555439	0.037941504	Yes	
row_7	MYH10	741	0.014445053413510323	0.038685955	Yes	
row_8	EPB41L2	1050	0.006467780098319054	0.0344241	Yes	
row_9	AKT2	1240	0.004324302077293396	0.03516855	Yes	
row_10	MYL5	1304	0.0039231195114552975	0.041213803	Yes	
row_11	CTNNA3	1339	0.0036639960017055273	0.04847908	Yes	
row_12	SPTAN1	1676	0.0020081237889826298	0.04303927	Yes	
row_13	EXOC3	1787	0.0016804112819954753	0.04710724	Yes	
row_14	CLDN7	2031	0.0012020788853988051	0.04557992	Yes	
row_15	CRB3	2055	0.0011703207856044173	0.053307965	Yes	
row_16	JAM3	2076	0.0011442259419709444	0.061162222	Yes	
row_17	OCLN	2081	0.001128654577769339	0.069689594	Yes	
row_18	CLDN23	2117	0.0010803784243762493	0.0769128	Yes	
row_19	PARD6A	2485	6.879132706671953E-4	0.07016882	Yes	
row_20	CLDN4	2607	6.048914510756731E-4	0.073774025	Yes	
row_21	MYH15	2628	5.930059705860913E-4	0.08162828	Yes	
row_22	PPP2R1B	2769	5.071088671684265E-4	0.08443416	Yes	
row_23	SYMPK	2962	4.070294089615345E-4	0.0850524	Yes	
row_24	PRKCZ	3219	3.158696636091918E-4	0.082978174	Yes	
row_25	ACTN1	3223	3.15146055072546E-4	0.091547616	Yes	
row_26	PPP2R2B	3478	2.4855186347849667E-4	0.08955753	Yes	
row_27	CDC42	3612	2.1890358766540885E-4	0.092657894	Yes	
row_28	CTNNB1	3708	2.0171450159978122E-4	0.09735691	Yes	
row_29	CGN	3712	2.0086394215468317E-4	0.10592636	Yes	
row_30	CTNNA1	3716	1.9988215353805572E-4	0.1144958	Yes	
row_31	MYL12B	3740	1.9552276353351772E-4	0.12222384	Yes	
row_32	ACTG1	3863	1.7598961130715907E-4	0.12578698	Yes	
row_33	CDK4	4028	1.520434598205611E-4	0.12758318	Yes	
row_34	VAPA	4450	1.0276774992235005E-4	0.11856742	Yes	
row_35	ACTN4	4669	8.334706944879144E-5	0.11809185	Yes	
row_36	RRAS2	4922	6.714157643727958E-5	0.1161859	Yes	
row_37	TJP1	4980	6.387961911968887E-5	0.122483574	Yes	
row_38	RRAS	5027	6.17422119830735E-5	0.12924401	Yes	
row_39	MRAS	5245	5.087078898213804E-5	0.12881051	Yes	
row_40	PRKCE	5456	4.1856401367112994E-5	0.1286715	Yes	
row_41	RHOA	5503	4.042673754156567E-5	0.13543195	Yes	
row_42	PARD3	5685	3.5371078411117196E-5	0.13651295	Yes	
row_43	YBX3	5697	3.5004879464395344E-5	0.14474584	Yes	
row_44	GNAI2	5779	3.246762935305014E-5	0.15003383	Yes	
row_45	KRAS	5928	2.8976521207368933E-5	0.15250315	Yes	
row_46	AKT3	6104	2.4270419089589268E-5	0.15383658	Yes	
row_47	ASH1L	6382	1.8878434275393374E-5	0.15087889	Yes	
row_48	PPP2CA	6562	1.5796529623912647E-5	0.15204404	Yes	
row_49	YES1	6628	1.4848921637167223E-5	0.15800515	Yes	
row_50	F11R	6726	1.3434842912829481E-5	0.16262002	Yes	
row_51	PRKCI	6910	1.13186661110376E-5	0.1636169	Yes	
row_52	CSNK2A1	7119	9.027386113302782E-6	0.16356203	Yes	
row_53	ACTB	7123	8.997507393360138E-6	0.17213146	Yes	
row_54	MYH9	7233	7.970244951138739E-6	0.1762415	Yes	
row_55	EXOC4	7343	7.1439681050833315E-6	0.18035154	Yes	
row_56	PRKCB	7366	6.99338443155284E-6	0.18812166	Yes	
row_57	PRKCH	7545	5.5999976211751346E-6	0.18932888	Yes	
row_58	CSNK2A2	7610	5.060363491793396E-6	0.19533207	Yes	
row_59	RAB13	7769	4.146137598581845E-6	0.19738068	Yes	
row_60	TJAP1	7857	3.678121856864891E-6	0.20241626	Yes	
row_61	MPDZ	8112	2.6564985091681592E-6	0.20042618	Yes	
row_62	LLGL2	8320	1.985813469218556E-6	0.20041338	Yes	
row_63	GNAI3	8375	1.81799725851306E-6	0.20683725	Yes	
row_64	NRAS	8770	1.0421115348435706E-6	0.19895738	Yes	
row_65	PPP2CB	8871	8.707380629857653E-7	0.20344606	Yes	
row_66	PATJ	9085	5.441777943815396E-7	0.20318083	Yes	
row_67	AKT1	9102	5.258174837763363E-7	0.21120337	Yes	
row_68	PPP2R2A	11729	-1.1134540045532049E-6	0.10942364	No	
row_69	CASK	11950	-1.625110940040031E-6	0.10886392	No	
row_70	MYL12A	12079	-2.0115496681683E-6	0.11217464	No	
row_71	MAGI1	12434	-3.3031205930456053E-6	0.105977565	No	
row_72	MAGI2	12464	-3.4366121326456778E-6	0.113453194	No	
row_73	CLDN14	13079	-7.641569027327932E-6	0.09631797	No	
row_74	EPB41L1	13228	-8.962741958384868E-6	0.098787285	No	
row_75	PARD6B	13231	-8.993378287414089E-6	0.10739879	No	
row_76	PRKCG	13256	-9.304560080636293E-6	0.11508477	No	
row_77	PRKCA	13394	-1.0590031706669834E-5	0.118016854	No	
row_78	CLDN20	14178	-2.3619926651008427E-5	0.09377183	No	
row_79	TJP2	14265	-2.546295763750095E-5	0.098849475	No	
row_80	PPP2R2D	14415	-2.9072791221551597E-5	0.10127672	No	
row_81	EPB41	14533	-3.238889985368587E-5	0.1050502	No	
row_82	AFDN	14590	-3.3943964808713645E-5	0.11138994	No	
row_83	HRAS	14706	-3.788254252867773E-5	0.11524756	No	
row_84	PRKCD	14819	-4.142330362810753E-5	0.119231395	No	
row_85	GNAI1	15004	-4.807207005796954E-5	0.120186195	No	
row_86	AMOTL1	15300	-6.087404108257033E-5	0.116471246	No	
row_87	CTTN	16819	-1.9217279623262584E-4	0.06130489	No	
row_88	CLDN15	17685	-3.7484680069610476E-4	0.033610135	No	
row_89	SRC	17741	-3.9083787123672664E-4	0.039991945	No	
row_90	MAGI3	17997	-4.8706523375585675E-4	0.037959788	No	
row_91	PTEN	18086	-5.206927889958024E-4	0.042953294	No	
row_92	RAB3B	18887	-0.001014162553474307	0.01799308	No	
row_93	TJP3	18932	-0.001061095972545445	0.024837658	No	
row_94	MYL9	19252	-0.0014008601428940892	0.020113032	No	
row_95	CLDN11	19293	-0.001456993049941957	0.027125891	No	
row_96	MYH11	19791	-0.0023250128142535686	0.014912835	No	
row_97	MYH7B	19986	-0.0027729307767003775	0.0154469395	No	
row_98	PARD6G	20018	-0.0028554329182952642	0.022838427	No	
row_99	IGSF5	20030	-0.0028786067850887775	0.03107131	No	
row_100	CLDN3	20532	-0.0046047912910580635	0.018689975	No	
row_101	ACTN2	20767	-0.006070803385227919	0.017541286	No	
row_102	CLDN2	20782	-0.0061912559904158115	0.025647959	No	
row_103	CLDN18	20784	-0.006202701944857836	0.03430154	No	
row_104	CLDN5	20819	-0.006375135388225317	0.04156682	No	
row_105	MYH3	21174	-0.00965447910130024	0.03536975	No	
row_106	HCLS1	22065	-0.034595787525177	0.0066232486	No	
row_107	PRKCQ	22601	-0.10677982866764069	-0.007188461	No	
row_108	ACTN3	22921	-0.2523508071899414	-0.011913086	No	
row_109	CLDN16	23029	-0.33717626333236694	-0.0077189067	No	
row_110	PPP2R2C	23100	-0.39686745405197144	-0.0019681435	No	
row_111	CLDN1	23373	-1.1129720211029053	-0.0047154864	No	
row_112	JAM2	23737	-6.535067558288574	-0.011291184	No	
row_113	CLDN8	23768	-7.949738502502441	-0.003857628	No	
row_114	CLDN10	23826	-11.203657150268555	0.0024400433	No	
