NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CREB3L1	381	0.07007990777492523	0.009021807	Yes	
row_1	CREB3L3	634	0.020352082327008247	0.023453554	Yes	
row_2	AVPR2	846	0.010525762103497982	0.03960474	Yes	
row_3	DYNC1I1	1226	0.004455849528312683	0.04871042	Yes	
row_4	DYNLL2	1919	0.0013853827258571982	0.044689663	Yes	
row_5	RAB5B	2221	9.198341867886484E-4	0.05706647	Yes	
row_6	RAB5A	2350	7.938631461001933E-4	0.07669847	Yes	
row_7	DCTN2	2976	4.0157459443435073E-4	0.075487524	Yes	
row_8	DCTN5	2991	3.9481805288232863E-4	0.0999004	Yes	
row_9	DYNC1H1	3009	3.8815478910692036E-4	0.12418746	Yes	
row_10	PRKACB	3054	3.7010747473686934E-4	0.1473422	Yes	
row_11	DYNC1LI1	3429	2.5952336727641523E-4	0.15665758	Yes	
row_12	DCTN4	3586	2.2451528639066964E-4	0.17511533	Yes	
row_13	CREB5	3940	1.6535716713406146E-4	0.18531139	Yes	
row_14	RAB11A	4369	1.1161940346937627E-4	0.19236213	Yes	
row_15	DCTN1	4633	8.620878361398354E-5	0.20633256	Yes	
row_16	ARHGDIB	4827	7.287602784344926E-5	0.22323863	Yes	
row_17	DYNC1I2	4977	6.426228355849162E-5	0.24198994	Yes	
row_18	CREB3	5352	4.614035424310714E-5	0.2513053	Yes	
row_19	ARHGDIA	5393	4.4266897020861506E-5	0.2746278	Yes	
row_20	VAMP2	5648	3.6165703932056203E-5	0.2889757	Yes	
row_21	PRKACA	5882	2.998116542585194E-5	0.30420423	Yes	
row_22	DYNC1LI2	5904	2.94667170237517E-5	0.32832354	Yes	
row_23	RAB11B	6296	2.0661202142946422E-5	0.33692598	Yes	
row_24	RAB5C	6375	1.9062719729845412E-5	0.35865486	Yes	
row_25	NSF	6436	1.7882752217701636E-5	0.38113862	Yes	
row_26	STX4	7425	6.589996701222844E-6	0.36470434	No	
row_27	DYNLL1	8396	1.7697846033115638E-6	0.34902495	No	
row_28	ADCY9	9528	9.114332755189025E-8	0.32659364	No	
row_29	CREB1	10957	-1.0342296263843309E-7	0.29170686	No	
row_30	DYNC2H1	12654	-4.477056336327223E-6	0.24558084	No	
row_31	PRKX	13123	-7.996000022103544E-6	0.2509541	No	
row_32	GNAS	13770	-1.533588147140108E-5	0.24886245	No	
row_33	ADCY6	14654	-3.606769678299315E-5	0.23683162	No	
row_34	CREB3L4	15238	-5.7745044614421204E-5	0.23738205	No	
row_35	CREB3L2	15575	-7.696162356296554E-5	0.24829105	No	
row_36	DYNC2LI1	17188	-2.5664217537268996E-4	0.20568778	No	
row_37	ADCY3	17405	-3.0010819318704307E-4	0.22162928	No	
row_38	DCTN6	18632	-8.277655579149723E-4	0.19521388	No	
row_39	AQP3	20773	-0.006136781070381403	0.13046761	No	
