NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
KEGG_ABC_TRANSPORTERS	44	40		
KEGG_ACUTE_MYELOID_LEUKEMIA	57	55		
KEGG_ADHERENS_JUNCTION	73	72		
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	67	57		
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	32	27		
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	42	36		
KEGG_ALLOGRAFT_REJECTION	37	25		
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	19		Rejected!	
KEGG_ALZHEIMERS_DISEASE	167	146		
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	41	22		
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	44	39		
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	53	50		
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	88	57		
KEGG_APOPTOSIS	87	82		
KEGG_ARACHIDONIC_ACID_METABOLISM	58	43		
KEGG_ARGININE_AND_PROLINE_METABOLISM	54	49		
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	74	67		
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	25		Rejected!	
KEGG_ASTHMA	30	16		
KEGG_AUTOIMMUNE_THYROID_DISEASE	52	27		
KEGG_AXON_GUIDANCE	129	125		
KEGG_BASAL_CELL_CARCINOMA	55	52		
KEGG_BASAL_TRANSCRIPTION_FACTORS	35	30		
KEGG_BASE_EXCISION_REPAIR	35	34		
KEGG_BETA_ALANINE_METABOLISM	22	19		
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	22	22		
KEGG_BLADDER_CANCER	42	42		
KEGG_BUTANOATE_METABOLISM	34	29		
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	75	72		
KEGG_CALCIUM_SIGNALING_PATHWAY	178	147		
KEGG_CARDIAC_MUSCLE_CONTRACTION	79	64		
KEGG_CELL_ADHESION_MOLECULES_CAMS	133	115		
KEGG_CELL_CYCLE	125	122		
KEGG_CHEMOKINE_SIGNALING_PATHWAY	188	148		
KEGG_CHRONIC_MYELOID_LEUKEMIA	73	72		
KEGG_CIRCADIAN_RHYTHM_MAMMAL	13		Rejected!	
KEGG_CITRATE_CYCLE_TCA_CYCLE	32	29		
KEGG_COLORECTAL_CANCER	62	62		
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	69	51		
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	34	31		
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	264	181		
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	55	34		
KEGG_DILATED_CARDIOMYOPATHY	90	76		
KEGG_DNA_REPLICATION	36	36		
KEGG_DORSO_VENTRAL_AXIS_FORMATION	24	23		
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	72	44		
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	51	32		
KEGG_ECM_RECEPTOR_INTERACTION	84	81		
KEGG_ENDOCYTOSIS	181	176		
KEGG_ENDOMETRIAL_CANCER	52	51		
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	68	65		
KEGG_ERBB_SIGNALING_PATHWAY	87	86		
KEGG_ETHER_LIPID_METABOLISM	33	25		
KEGG_FATTY_ACID_METABOLISM	42	36		
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	79	66		
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	96	91		
KEGG_FOCAL_ADHESION	199	194		
KEGG_FOLATE_BIOSYNTHESIS	11		Rejected!	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	34	30		
KEGG_GALACTOSE_METABOLISM	26	21		
