NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	Details ...	181	-0.22566068	-3.4946074	0.0	0.0	0.0	4681	tags=42%, list=20%, signal=52%	
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	Details ...	163	-0.22176228	-3.3441858	0.0	0.0	0.0	10566	tags=66%, list=44%, signal=118%	
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	Details ...	46	-0.34642446	-2.8026624	0.0	4.2779816E-4	0.002	7839	tags=67%, list=33%, signal=100%	
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION	Details ...	81	-0.24059291	-2.495333	0.0	0.0029033604	0.018	8428	tags=59%, list=35%, signal=91%	
KEGG_RETINOL_METABOLISM	KEGG_RETINOL_METABOLISM	Details ...	37	-0.3366955	-2.4537158	0.0	0.0025790986	0.02	8110	tags=68%, list=34%, signal=102%	
KEGG_STEROID_HORMONE_BIOSYNTHESIS	KEGG_STEROID_HORMONE_BIOSYNTHESIS	Details ...	34	-0.35168338	-2.3879352	0.0	0.0038290212	0.034	4258	tags=53%, list=18%, signal=64%	
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY	Details ...	147	-0.15720366	-2.2018209	0.003868472	0.011599079	0.116	3906	tags=32%, list=16%, signal=38%	
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS	Details ...	115	-0.17764445	-2.1919477	0.0020283975	0.010707952	0.123	4917	tags=38%, list=21%, signal=48%	
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	Details ...	43	-0.27517688	-2.1623576	0.0019305019	0.011571978	0.149	5105	tags=49%, list=21%, signal=62%	
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450	Details ...	44	-0.26323825	-2.0579782	0.003868472	0.020138258	0.266	7839	tags=59%, list=33%, signal=88%	
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE	Details ...	68	-0.20327917	-1.9925784	0.002020202	0.027759405	0.373	9912	tags=62%, list=41%, signal=105%	
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY	Details ...	148	-0.12676837	-1.8201743	0.012	0.06986903	0.72	4577	tags=32%, list=19%, signal=39%	
KEGG_TASTE_TRANSDUCTION	KEGG_TASTE_TRANSDUCTION	Details ...	32	-0.26795375	-1.8171433	0.016064256	0.065629594	0.725	5552	tags=50%, list=23%, signal=65%	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	Details ...	67	-0.18997301	-1.8169281	0.020746889	0.061033558	0.725	6171	tags=45%, list=26%, signal=60%	
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM	Details ...	49	-0.21708459	-1.8102732	0.012	0.059192926	0.736	5063	tags=43%, list=21%, signal=54%	
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	Details ...	16	-0.3671682	-1.7924023	0.023904383	0.06041668	0.761	7658	tags=69%, list=32%, signal=101%	
KEGG_NITROGEN_METABOLISM	KEGG_NITROGEN_METABOLISM	Details ...	19	-0.3389362	-1.78259	0.01934236	0.060095176	0.788	4483	tags=53%, list=19%, signal=65%	
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	Details ...	51	-0.20872141	-1.7307621	0.02244898	0.07443878	0.864	8608	tags=57%, list=36%, signal=89%	
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	Details ...	52	-0.20268033	-1.7212844	0.021782178	0.07348236	0.874	8491	tags=56%, list=36%, signal=86%	
KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY	Details ...	76	-0.16427776	-1.6701251	0.03512015	0.08920264	0.935	5518	tags=39%, list=23%, signal=51%	
KEGG_HEDGEHOG_SIGNALING_PATHWAY	KEGG_HEDGEHOG_SIGNALING_PATHWAY		52	-0.19684888	-1.6623411	0.027777778	0.08831144	0.942	7252	tags=50%, list=30%, signal=72%	
KEGG_TYROSINE_METABOLISM	KEGG_TYROSINE_METABOLISM		35	-0.2268823	-1.6225538	0.050632913	0.10147978	0.961	12333	tags=74%, list=52%, signal=153%	
KEGG_HISTIDINE_METABOLISM	KEGG_HISTIDINE_METABOLISM		26	-0.2742281	-1.6202116	0.031311154	0.09812394	0.963	7238	tags=58%, list=30%, signal=83%	
KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_PRIMARY_IMMUNODEFICIENCY		29	-0.24393919	-1.5421052	0.042307694	0.13489808	0.991	10654	tags=69%, list=45%, signal=124%	
KEGG_O_GLYCAN_BIOSYNTHESIS	KEGG_O_GLYCAN_BIOSYNTHESIS		26	-0.25145486	-1.5355012	0.05487805	0.13367867	0.993	8700	tags=62%, list=36%, signal=97%	
KEGG_TGF_BETA_SIGNALING_PATHWAY	KEGG_TGF_BETA_SIGNALING_PATHWAY		83	-0.13817862	-1.4750954	0.082987554	0.16793242	1.0	9374	tags=53%, list=39%, signal=87%	
KEGG_PHENYLALANINE_METABOLISM	KEGG_PHENYLALANINE_METABOLISM		16	-0.29918775	-1.4640385	0.08541667	0.17029274	1.0	6295	tags=56%, list=26%, signal=76%	
KEGG_TRYPTOPHAN_METABOLISM	KEGG_TRYPTOPHAN_METABOLISM		34	-0.20760137	-1.4165103	0.09815951	0.20131056	1.0	2777	tags=32%, list=12%, signal=37%	
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM		72	-0.13147523	-1.3550506	0.13293651	0.25039873	1.0	7154	tags=43%, list=30%, signal=61%	
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE		125	-0.10324574	-1.3342007	0.14368932	0.26213935	1.0	9777	tags=51%, list=41%, signal=86%	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS		40	-0.16727301	-1.2547573	0.19284295	0.3420169	1.0	8552	tags=52%, list=36%, signal=82%	
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION		94	-0.10273509	-1.1901237	0.23529412	0.41813323	1.0	11278	tags=57%, list=47%, signal=108%	
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE		27	-0.18867493	-1.1595346	0.26501036	0.4509635	1.0	1692	tags=26%, list=7%, signal=28%	
KEGG_OLFACTORY_TRANSDUCTION	KEGG_OLFACTORY_TRANSDUCTION		38	-0.1571013	-1.1394117	0.2742268	0.4678672	1.0	6940	tags=45%, list=29%, signal=63%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE		15	-0.23445044	-1.0966896	0.32271764	0.5242846	1.0	5551	tags=47%, list=23%, signal=61%	
KEGG_STARCH_AND_SUCROSE_METABOLISM	KEGG_STARCH_AND_SUCROSE_METABOLISM		31	-0.16443038	-1.087133	0.34615386	0.524763	1.0	4554	tags=35%, list=19%, signal=44%	
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS		40	-0.1455389	-1.0748851	0.33589253	0.5303279	1.0	7876	tags=48%, list=33%, signal=71%	
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY		57	-0.1182863	-1.0554363	0.37044534	0.5484788	1.0	3468	tags=26%, list=15%, signal=31%	
KEGG_TYPE_I_DIABETES_MELLITUS	KEGG_TYPE_I_DIABETES_MELLITUS		33	-0.14420873	-1.0096437	0.408	0.6128141	1.0	4523	tags=33%, list=19%, signal=41%	
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE		26	-0.16014598	-0.96099055	0.48692152	0.6828296	1.0	1692	tags=23%, list=7%, signal=25%	
KEGG_FOCAL_ADHESION	KEGG_FOCAL_ADHESION		194	-0.058614653	-0.9513619	0.48686868	0.68333125	1.0	5507	tags=29%, list=23%, signal=37%	
KEGG_TYPE_II_DIABETES_MELLITUS	KEGG_TYPE_II_DIABETES_MELLITUS		42	-0.12064338	-0.9241235	0.53218883	0.7166086	1.0	9067	tags=50%, list=38%, signal=80%	
KEGG_GLUTATHIONE_METABOLISM	KEGG_GLUTATHIONE_METABOLISM		44	-0.11511966	-0.9065627	0.568	0.73281324	1.0	2142	tags=20%, list=9%, signal=22%	
KEGG_LONG_TERM_POTENTIATION	KEGG_LONG_TERM_POTENTIATION		63	-0.095830455	-0.8870833	0.59016395	0.75062877	1.0	21224	tags=98%, list=89%, signal=881%	
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM		27	-0.14264955	-0.8791038	0.58483034	0.74760604	1.0	12521	tags=67%, list=52%, signal=140%	
KEGG_GNRH_SIGNALING_PATHWAY	KEGG_GNRH_SIGNALING_PATHWAY		89	-0.07171444	-0.8060914	0.6993865	0.8576622	1.0	21106	tags=96%, list=88%, signal=818%	
