NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACADL	210	1.1450154781341553	-0.004623727	Yes	
row_1	LIPE	231	0.9015378952026367	-1.7347699E-4	Yes	
row_2	SULT1A1	337	0.3429854214191437	2.1736226E-4	Yes	
row_3	IDH1	393	0.23224610090255737	0.0029960903	Yes	
row_4	HSPB8	415	0.19571919739246368	0.0073985825	Yes	
row_5	GPX3	729	0.0306699275970459	-0.0021441954	Yes	
row_6	CYP4B1	864	0.019279569387435913	-0.0031383315	Yes	
row_7	COL15A1	1170	0.0068079205229878426	-0.012299047	Yes	
row_8	MCCC1	1233	0.005652484949678183	-0.009854623	Yes	
row_9	ME1	1336	0.0043086581863462925	-0.009320511	Yes	
row_10	SLC1A5	1356	0.004175130743533373	-0.0048225033	Yes	
row_11	COL4A1	1646	0.002054107841104269	-0.013219094	Yes	
row_12	PEMT	1674	0.0019375524716451764	-0.009103148	Yes	
row_13	DRAM2	1713	0.001749353832565248	-0.0055125384	Yes	
row_14	QDPR	1804	0.0013987132115289569	-0.0044053327	Yes	
row_15	DHRS7	1807	0.0013885225635021925	9.045573E-4	Yes	
row_16	DHRS7B	1865	0.0011843083193525672	0.0035877698	Yes	
row_17	SCARB1	1890	0.0011098005343228579	0.007846989	Yes	
row_18	DHCR7	1895	0.0010956480400636792	0.013061363	Yes	
row_19	PTGER3	1963	9.380677947774529E-4	0.015266998	Yes	
row_20	ACOX1	2103	6.905391346663237E-4	0.014034073	Yes	
row_21	MYLK	2198	5.704545765183866E-4	0.0149502475	Yes	
row_22	DBT	2393	3.6260869819670916E-4	0.011090645	Yes	
row_23	CHCHD10	2429	3.3270244603045285E-4	0.014824528	Yes	
row_24	ACADM	2444	3.199084894731641E-4	0.019561324	Yes	
row_25	ECHS1	2561	2.2724163136444986E-4	0.019426828	Yes	
row_26	NABP1	2635	1.9248061289545149E-4	0.021345917	Yes	
row_27	AGPAT3	2653	1.856820163084194E-4	0.02593944	Yes	
row_28	ABCB8	2714	1.5972470282576978E-4	0.028479379	Yes	
row_29	ELOVL6	2725	1.5089109365362674E-4	0.033407208	Yes	
row_30	PRDX3	2831	1.0766791820060462E-4	0.033798046	Yes	
row_31	ACADS	2926	8.004752453416586E-5	0.034714222	Yes	
row_32	SLC19A1	2944	7.621503027621657E-5	0.039307743	Yes	
row_33	COX6A1	2978	6.897062121424824E-5	0.043137144	Yes	
row_34	DLD	2985	6.709637818858027E-5	0.048256002	Yes	
row_35	DGAT1	3193	2.8028161977999844E-5	0.043775547	Yes	
row_36	ETFB	3200	2.7095929908682592E-5	0.04889441	Yes	
row_37	ARL4A	3266	1.6869318642420694E-5	0.05119556	Yes	
row_38	PFKL	3540	1.3302181969265803E-6	0.04356309	Yes	
row_39	REEP6	3613	8.912713269637607E-7	0.045529936	Yes	
row_40	UCP2	3972	4.6588311874984356E-7	0.03383806	Yes	
row_41	ANGPT1	3980	4.6100083750388876E-7	0.03890916	Yes	
row_42	APOE	4055	4.194380096578243E-7	0.040780492	Yes	
row_43	ITIH5	4388	2.9982226124047884E-7	0.030330315	Yes	
row_44	CD36	4502	2.691580505143065E-7	0.030339092	Yes	
row_45	CMBL	4613	2.4843606638569327E-7	0.030491142	Yes	
row_46	SORBS1	4836	2.0912253262395097E-7	0.025294323	Yes	
row_47	PHYH	4884	2.0241029119461018E-7	0.028455112	Yes	
row_48	ITGA7	4977	1.89113976034605E-7	0.029466802	Yes	
row_49	SOD1	5271	1.5337168690621183E-7	0.020879181	Yes	
row_50	ITSN1	5521	1.3182412317291892E-7	0.0143929	Yes	
row_51	FZD4	5674	1.2065207499745156E-7	0.012539124	Yes	
row_52	NDUFAB1	5727	1.1729694904261123E-7	0.015461125	Yes	
row_53	LPCAT3	5758	1.1584450732016194E-7	0.019433798	Yes	
row_54	TKT	5886	1.0763000091174035E-7	0.018773966	Yes	
row_55	MAP4K3	5899	1.0703127628630682E-7	0.023606278	Yes	
row_56	FAH	6051	9.930142397251984E-8	0.02180026	Yes	
row_57	ACAA2	6075	9.803498812743783E-8	0.026107237	Yes	
row_58	UQCR11	6083	9.757399510590403E-8	0.031178337	Yes	
row_59	COX8A	6108	9.651599697235724E-8	0.035437558	Yes	
row_60	MGST3	6279	8.817178809295001E-8	0.032724142	Yes	
row_61	RIOK3	6379	8.377215721111497E-8	0.033401527	Yes	
row_62	REEP5	6521	7.786447753233006E-8	0.032073084	Yes	
row_63	ARAF	6760	6.950955366846756E-8	0.026112141	Yes	
row_64	COQ3	6876	6.592609480549072E-8	0.026025401	Yes	
row_65	SLC25A10	6914	6.499545435190157E-8	0.02966377	Yes	
row_66	CHUK	6936	6.421476683726723E-8	0.034066264	Yes	
row_67	CPT2	6966	6.339947589140138E-8	0.038086694	Yes	
row_68	GRPEL1	6986	6.298733268295109E-8	0.0425847	Yes	
row_69	SCP2	7013	6.214239789414933E-8	0.046748403	Yes	
row_70	IFNGR1	7111	5.96984790490751E-8	0.047521304	Yes	
row_71	RREB1	7192	5.786198187252012E-8	0.049106088	Yes	
row_72	POR	7201	5.767639521536694E-8	0.054129433	Yes	
row_73	DNAJB9	7250	5.6384511282203675E-8	0.057242464	Yes	
row_74	PIM3	7257	5.607085995507077E-8	0.062361322	Yes	
row_75	HIBCH	7258	5.60687105632951E-8	0.067766726	Yes	
row_76	VEGFB	7342	5.447379081147119E-8	0.06920824	Yes	
row_77	GPAT4	7539	4.9010203895250015E-8	0.06525312	Yes	
row_78	MRPL15	7691	4.581098878020384E-8	0.0634471	Yes	
row_79	UQCRQ	7738	4.488565608085082E-8	0.06665565	Yes	
row_80	CS	7989	3.9407034080340964E-8	0.060121614	Yes	
row_81	CMPK1	7996	3.93075332283388E-8	0.06524047	Yes	
row_82	PPP1R15B	8004	3.923505431657759E-8	0.070311576	Yes	
row_83	ESRRA	8008	3.916097313094724E-8	0.075573705	Yes	
row_84	RNF11	8188	3.568310802393171E-8	0.07243047	Yes	
row_85	COQ5	8404	3.185985875120423E-8	0.06756795	Yes	
row_86	NDUFS3	8461	3.077686017149972E-8	0.070298925	Yes	
row_87	ESYT1	8635	2.798359055589117E-8	0.06744223	Yes	
row_88	ADIPOR2	8678	2.742288529589132E-8	0.07084181	Yes	
row_89	SAMM50	8697	2.707270141399931E-8	0.075387575	Yes	
row_90	ACO2	8778	2.5872848752328537E-8	0.076972365	Yes	
row_91	PPM1B	8859	2.4584361213442207E-8	0.07855715	Yes	
row_92	DDT	8935	2.335182003321279E-8	0.080380715	Yes	
row_93	SLC25A1	8984	2.2556841727805477E-8	0.08349375	Yes	
row_94	TST	9146	2.0058005034684356E-8	0.08121015	Yes	
row_95	CYC1	9242	1.8407025237365815E-8	0.08207857	Yes	
row_96	GPAM	9440	1.549156181113176E-8	0.07807569	Yes	
row_97	SDHB	9495	1.4488751531871458E-8	0.08090218	Yes	
row_98	RETSAT	9513	1.4314424312544816E-8	0.0854957	Yes	
row_99	PTCD3	9532	1.406061400643921E-8	0.09004147	Yes	
row_100	ACLY	9625	1.2313097208505042E-8	0.09105316	Yes	
row_101	MTCH2	9677	1.1574505798250811E-8	0.09402292	Yes	
row_102	BCKDHA	9686	1.1475207450928337E-8	0.09904626	Yes	
row_103	RTN3	9824	9.810691814493566E-9	0.097908854	Yes	
row_104	UQCRC1	9862	9.248236843006907E-9	0.10154722	Yes	
row_105	NKIRAS1	9947	8.252412087017547E-9	0.10294098	Yes	
