NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AMH	89	3.8876233100891113	0.0011845438	No	
row_1	SLC30A3	125	2.7770373821258545	0.0049478845	No	
row_2	CADM2	441	0.159148707985878	-0.0046603135	No	
row_3	NFASC	575	0.06723561137914658	-0.005577011	No	
row_4	ACTG2	595	0.06134336069226265	-0.0010495828	No	
row_5	ARHGEF6	898	0.017216352745890617	-0.010036959	No	
row_6	PPP2R2C	1564	0.002507783006876707	-0.03635958	No	
row_7	TGFBI	1649	0.002047837246209383	-0.034936257	No	
row_8	CLDN4	1730	0.001697344472631812	-0.033321913	No	
row_9	MAPK14	1801	0.0014117013197392225	-0.031230018	No	
row_10	AKT2	1808	0.001383477938361466	-0.026081767	No	
row_11	CLDN9	1838	0.0012874173698946834	-0.022031894	No	
row_12	ATP1A3	1968	9.323516278527677E-4	-0.02275757	No	
row_13	JAM3	2040	7.72528350353241E-4	-0.020713426	No	
row_14	CDH1	2097	6.986724329181015E-4	-0.01795295	No	
row_15	FLNC	2197	5.715751321986318E-4	-0.017245963	No	
row_16	CD34	2255	5.008511361666024E-4	-0.014533243	No	
row_17	PBX2	2425	3.3606772194616497E-4	-0.017169138	No	
row_18	PTPRC	2434	3.2763209310360253E-4	-0.0121164	No	
row_19	ACTC1	2507	2.6778559549711645E-4	-0.010120013	No	
row_20	SYMPK	2535	2.4421184207312763E-4	-0.0059746285	No	
row_21	EPB41L2	2834	1.0625514551065862E-4	-0.014770983	No	
row_22	NECTIN2	2850	1.0146607382921502E-4	-0.010052532	No	
row_23	MMP2	2902	8.756560418987647E-5	-0.00705328	No	
row_24	DHX16	3031	5.783136293757707E-5	-0.0077312	No	
row_25	SPEG	3109	4.3942989577772096E-5	-0.0059735905	No	
row_26	RSU1	3188	2.8750677302014083E-5	-0.0042637363	No	
row_27	MYH10	3270	1.641593007661868E-5	-0.0026971484	No	
row_28	INPPL1	3360	8.925810107029974E-6	-0.0015126045	No	
row_29	CRB3	3452	3.408282282180153E-6	-4.2357174E-4	No	
row_30	CDH6	3656	7.869079468036944E-7	-0.004683154	No	
row_31	ICAM2	3764	6.40549103536614E-7	-0.004358209	No	
row_32	SLIT2	3789	6.092619173614366E-7	-6.955831E-5	No	
row_33	KCNH2	3830	5.643832423629647E-7	0.0034550047	No	
row_34	CLDN6	3944	4.855536985814979E-7	0.0034934166	No	
row_35	CLDN7	4147	3.804473749369208E-7	-7.1841024E-4	No	
row_36	SIRPA	4471	2.762150188573287E-7	-0.0107086515	No	
row_37	MAPK13	4521	2.64472504341029E-7	-0.0076138885	No	
row_38	THBS3	4539	2.6157002253057726E-7	-0.002990949	No	
row_39	CDH3	4541	2.6040973466479045E-7	0.0023960783	No	
row_40	SYK	4555	2.587179892543645E-7	0.0072100395	No	
row_41	INSIG1	4952	1.9245409532686608E-7	-0.006266353	No	
row_42	MVD	5154	1.669233711254492E-7	-0.0104304245	No	
row_43	NECTIN3	5163	1.6557767423819314E-7	-0.0053776857	No	
row_44	LIMA1	5635	1.2370577451292775E-7	-0.02243574	No	
row_45	RAC2	5701	1.191968124203413E-7	-0.020105064	No	
row_46	CLDN15	5843	1.1064195604149063E-7	-0.021403806	No	
row_47	VASP	5874	1.0832808783334258E-7	-0.017401688	No	
row_48	NLGN3	5924	1.0589165810870327E-7	-0.014306925	No	
row_49	SGCE	5977	1.0313868159528283E-7	-0.011355428	No	
row_50	VWF	6042	9.978415249634054E-8	-0.008976997	No	
row_51	CD99	6066	9.857635063781345E-8	-0.0046405904	No	
row_52	BMP1	6429	8.166588116864659E-8	-0.016493296	No	
row_53	ITGB1	6658	7.263658119427419E-8	-0.021946765	No	
row_54	AMIGO1	6725	7.059333739789508E-8	-0.019663846	No	
row_55	ZYX	6771	6.908488359158582E-8	-0.01637806	No	
row_56	CERCAM	6824	6.730257950948726E-8	-0.013426563	No	
row_57	SHC1	6831	6.700665267089789E-8	-0.008278313	No	
row_58	MDK	6865	6.63047217130952E-8	-0.004419462	No	
row_59	TIAL1	6907	6.531247720431566E-8	-9.4265444E-4	No	
row_60	ACTG1	7333	5.463326147037151E-8	-0.015803955	No	
row_61	PIK3R3	7357	5.4127003323856115E-8	-0.01146755	No	
row_62	AKT3	7377	5.351081711069128E-8	-0.0069401218	No	
row_63	PARVA	7443	5.1588919802725286E-8	-0.004609446	No	
row_64	RRAS	7446	5.1490829378053604E-8	7.2982576E-4	No	
row_65	SKAP2	7601	4.7825853499716686E-8	-0.0011897375	No	
row_66	CDK8	7658	4.661054830989997E-8	0.0015707377	No	
row_67	NLGN2	7980	3.9619663994017174E-8	-0.008323993	No	
row_68	PFN1	8109	3.721268626577512E-8	-0.0090019135	No	
row_69	CTNNA1	8160	3.61903218504267E-8	-0.0059549054	No	
row_70	CLDN18	8539	2.9579116045397313E-8	-0.018571699	No	
row_71	B4GALT1	8920	2.353950812050698E-8	-0.031284004	No	
row_72	BAIAP2	8950	2.322505388008267E-8	-0.02723413	No	
row_73	TMEM8B	8998	2.2296108070918308E-8	-0.024043856	No	
row_74	ACTN4	9124	2.0437800785089166E-8	-0.02457851	No	
row_75	MPZL1	9621	1.2372519009318239E-8	-0.042830452	No	
row_76	ACTN1	9737	1.0770673242177509E-8	-0.04288755	No	
row_77	NEGR1	9739	1.073216715496983E-8	-0.037500523	No	
row_78	MADCAM1	9825	9.780817045168533E-9	-0.036124956	No	
row_79	MYL12B	9968	7.913988575580788E-9	-0.037471455	No	
row_80	TJP1	9992	7.603322416116498E-9	-0.03313505	No	
row_81	GTF2F1	10246	4.040257017834392E-9	-0.039782405	No	
row_82	STX4	10259	3.8293324067240064E-9	-0.03492069	No	
row_83	WASL	10569	4.4891212275244285E-11	-0.044242352	No	
row_84	EXOC4	11064	-4.4352146955084493E-10	-0.062398784	No	
row_85	ADAM9	11462	-6.084056369815016E-9	-0.07592293	No	
row_86	PIK3CB	11913	-1.2532063387027392E-8	-0.091978125	No	
row_87	MAP4K2	11930	-1.2782209068973316E-8	-0.08730742	No	
row_88	PKD1	12375	-1.9689851527004976E-8	-0.103076085	No	
row_89	TSC1	12656	-2.414061128774847E-8	-0.11101284	No	
row_90	GNAI2	13055	-3.118515223832219E-8	-0.12458474	No	
row_91	PTK2	13327	-3.578439233820063E-8	-0.1320917	No	
row_92	ARPC2	13584	-4.047377899496496E-8	-0.13888232	No	
row_93	DLG1	13611	-4.0878642693087386E-8	-0.13468918	No	
row_94	CNN2	13674	-4.1920618087942785E-8	-0.13221525	No	
row_95	TSPAN4	13799	-4.4372718832619285E-8	-0.13270214	No	
row_96	ADAM15	13905	-4.698957312143648E-8	-0.13228168	No	
row_97	IRS1	13923	-4.7372221700925365E-8	-0.12765874	No	
row_98	MAPK11	13952	-4.8002853247908206E-8	-0.123561114	No	
row_99	GAMT	13954	-4.803036546263684E-8	-0.11817408	No	
row_100	LDLRAP1	14136	-5.1481436003086856E-8	-0.12138305	No	
row_101	NF1	14213	-5.31483443921843E-8	-0.11957768	No	
row_102	VAV2	14367	-5.6997130570835E-8	-0.12144949	No	
row_103	CTNND1	14485	-5.999238794629491E-8	-0.1216021	No	
row_104	VCL	14535	-6.141282682392557E-8	-0.11850734	No	
row_105	MYH9	14625	-6.413081621303718E-8	-0.117322795	No	
row_106	ACTB	15004	-7.623525277722365E-8	-0.12993959	No	
row_107	EVL	15450	-9.520439903099032E-8	-0.14575599	Yes	
row_108	SRC	15528	-9.949292234523455E-8	-0.14399838	Yes	
row_109	CD276	15601	-1.0357106816627493E-7	-0.142002	Yes	
row_110	ITGA3	15629	-1.0503899261493643E-7	-0.13785662	Yes	
row_111	CLDN5	15663	-1.0669075578562115E-7	-0.13399777	Yes	
row_112	ADAM23	15875	-1.199399690676728E-7	-0.13863939	Yes	
row_113	GNAI1	16047	-1.317404354495011E-7	-0.1413708	Yes	
row_114	ACTN2	16052	-1.3211952420988382E-7	-0.13612704	Yes	
row_115	CALB2	16114	-1.374824591948709E-7	-0.13360535	Yes	
row_116	HADH	16282	-1.5248430429437576E-7	-0.13614573	Yes	
row_117	CNTN1	16295	-1.5391447050205898E-7	-0.13128401	Yes	
row_118	ADRA1B	16413	-1.65389366202362E-7	-0.13143662	Yes	
row_119	AMIGO2	16596	-1.8740588814125658E-7	-0.13469334	Yes	
row_120	NEXN	16801	-2.1679387884887547E-7	-0.13900067	Yes	
row_121	DSC3	16820	-2.196716053504133E-7	-0.13442549	Yes	
