NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ERCC2	408	0.2074967324733734	-0.012551468	No	
row_1	CDA	499	0.10435289889574051	-0.009944921	No	
row_2	NELFE	518	0.09133034199476242	-0.00390637	No	
row_3	ADA	592	0.061604153364896774	-4.8948865E-4	No	
row_4	SURF1	1553	0.0025571309961378574	-0.039352983	No	
row_5	RRM2B	2060	7.479708292521536E-4	-0.05657579	No	
row_6	RFC3	2088	7.09048705175519E-4	-0.05096624	No	
row_7	POLD1	2108	6.814340595155954E-4	-0.044975355	No	
row_8	POLR1D	2524	2.52535508479923E-4	-0.05786049	No	
row_9	GTF2H5	2655	1.8557436123955995E-4	-0.057160612	No	
row_10	POLR1C	2885	9.278387005906552E-5	-0.06117974	No	
row_11	USP11	3018	6.113736890256405E-5	-0.060575195	No	
row_12	LIG1	3093	4.6160275815054774E-5	-0.05720598	No	
row_13	DDB2	3386	7.371917490672786E-6	-0.06422811	No	
row_14	SUPT5H	3664	7.73747615312459E-7	-0.070535235	No	
row_15	POLR2I	4181	3.6879109188703296E-7	-0.08823471	No	
row_16	STX3	5146	1.672988929612984E-7	-0.12728888	Yes	
row_17	POLB	5276	1.5256244978445466E-7	-0.12654133	Yes	
row_18	AK3	5363	1.4495500977318443E-7	-0.123744115	Yes	
row_19	TK2	5467	1.3564896050866082E-7	-0.12175723	Yes	
row_20	APRT	5494	1.343196487368914E-7	-0.11610001	Yes	
row_21	POLH	5596	1.2642783531191526E-7	-0.1140178	Yes	
row_22	NT5C	5721	1.1779673769751753E-7	-0.113031924	Yes	
row_23	TAF1C	5873	1.0839018926844801E-7	-0.11333305	Yes	
row_24	COX17	5929	1.0576593467703788E-7	-0.109058164	Yes	
row_25	POLR2H	6156	9.394687339181473E-8	-0.11293429	Yes	
row_26	ARL6IP1	6242	9.019747437832848E-8	-0.11008941	Yes	
row_27	TP53	6455	8.094109915646186E-8	-0.1132982	Yes	
row_28	TAF13	6654	7.271832203059603E-8	-0.11583966	Yes	
row_29	ERCC5	6681	7.19827966122466E-8	-0.11018244	Yes	
row_30	DCTN4	6940	6.411964648123103E-8	-0.115583904	Yes	
row_31	DAD1	7089	6.010461817140822E-8	-0.11574202	Yes	
row_32	XPC	7136	5.9186881173900474E-8	-0.11103814	Yes	
row_33	GTF2A2	7150	5.894090548963504E-8	-0.10476126	Yes	
row_34	ITPA	7314	5.5107669538756454E-8	-0.10563438	Yes	
row_35	SNAPC5	7398	5.281940218537784E-8	-0.10269417	Yes	
row_36	TMED2	7476	5.0697941844646266E-8	-0.09946795	Yes	
row_37	POLR2K	7655	4.6699714317810503E-8	-0.10105608	Yes	
row_38	SEC61A1	7734	4.500731165535399E-8	-0.097877525	Yes	
row_39	ZNF707	7833	4.259193886468893E-8	-0.09565231	Yes	
row_40	EIF1B	7859	4.1945824591493874E-8	-0.08994743	Yes	
row_41	POLL	8003	3.924120406395559E-8	-0.08986722	Yes	
row_42	TYMS	8103	3.7366302052532774E-8	-0.08768967	Yes	
row_43	SMAD5	8113	3.7065998270691125E-8	-0.08122212	Yes	
row_44	MPG	8168	3.604479914542935E-8	-0.07689957	Yes	
row_45	NCBP2	8233	3.482793786702132E-8	-0.07305369	Yes	
row_46	GTF2B	8249	3.461676101323974E-8	-0.066872135	Yes	
row_47	PNP	8265	3.430111661373303E-8	-0.060690586	Yes	
row_48	POM121	8322	3.336609211146424E-8	-0.056463372	Yes	
row_49	IMPDH2	8336	3.3077068195552783E-8	-0.050186485	Yes	
row_50	GUK1	8423	3.15301740272389E-8	-0.047389273	Yes	
row_51	CMPK2	8476	3.055351527336825E-8	-0.04297139	Yes	
row_52	GTF2H3	8729	2.6521458806882947E-8	-0.04808685	Yes	
row_53	PRIM1	8771	2.593980141796237E-8	-0.043144636	Yes	
row_54	MPC2	8840	2.494208217740379E-8	-0.03948942	Yes	
row_55	POLR2G	8875	2.4258024922119148E-8	-0.034213535	Yes	
row_56	HPRT1	8915	2.357762518556683E-8	-0.029175986	Yes	
row_57	NT5C3A	9596	1.2831418594316801E-8	-0.0546928	Yes	
row_58	TARBP2	9693	1.1345480999125357E-8	-0.052372254	Yes	
row_59	RPA3	9814	9.929877364811546E-9	-0.051195707	Yes	
row_60	PCNA	9865	9.210281426419442E-9	-0.046682492	Yes	
row_61	GTF2H1	9878	9.10641517748445E-9	-0.04035794	Yes	
row_62	TAF10	9892	8.885300495364845E-9	-0.034081057	Yes	
row_63	EDF1	9917	8.622845548700298E-9	-0.028328506	Yes	
row_64	GMPR2	9945	8.276833440845621E-9	-0.022718957	Yes	
row_65	POLD4	9999	7.46760697722948E-9	-0.01834874	Yes	
row_66	POLA1	10057	6.692071341518613E-9	-0.014169191	Yes	
row_67	GTF2F1	10246	4.040257017834392E-9	-0.016233983	Yes	
row_68	RPA2	10248	3.9874539226048E-9	-0.009385097	Yes	
row_69	POLA2	10274	3.6499490096986165E-9	-0.0036802134	Yes	
row_70	POLR2C	10371	2.0632360264727367E-9	-0.0013596662	Yes	
row_71	POLE4	10460	8.00531085864975E-10	0.0013422145	Yes	
row_72	NUDT9	10991	-7.177174653205665E-12	-0.017024593	Yes	
row_73	RFC4	11047	-3.614483434777327E-10	-0.012749711	Yes	
row_74	POLR2E	11061	-4.3568190721821054E-10	-0.0064728265	Yes	
row_75	AAAS	11187	-1.8176746774400954E-9	-0.005534614	Yes	
row_76	NME1	11348	-4.405757092484919E-9	-0.006264737	Yes	
row_77	SUPT4H1	11434	-5.72219871486368E-9	-0.003419856	Yes	
row_78	BCAP31	11509	-6.840888744363838E-9	-5.064122E-5	Yes	
row_79	RALA	11519	-7.004816282574211E-9	0.00641691	Yes	
row_80	UMPS	11577	-7.90021204011282E-9	0.010596459	Yes	
row_81	TSG101	11631	-8.563286968410466E-9	0.014966675	Yes	
row_82	TAF12	11731	-9.858520222394418E-9	0.017144222	Yes	
row_83	RFC5	11873	-1.1804664801218223E-8	0.017319767	Yes	
row_84	SDCBP	11991	-1.382179970477182E-8	0.018639313	Yes	
row_85	ERCC3	12012	-1.4013418869751604E-8	0.02458253	Yes	
row_86	VPS37B	12342	-1.9000761852794312E-8	0.015796732	Yes	
row_87	SNAPC4	12346	-1.9151068286760164E-8	0.022550283	Yes	
row_88	RFC2	12414	-2.0326172744944415E-8	0.026253166	Yes	
row_89	NUDT21	12747	-2.601995596762663E-8	0.017324368	Yes	
row_90	SRSF6	12783	-2.6533481189972008E-8	0.022552583	Yes	
row_91	NELFB	12946	-2.9041089533166087E-8	0.021727128	Yes	
row_92	DGCR8	12996	-3.0026079400613526E-8	0.02628801	Yes	
row_93	CANT1	13090	-3.1636016473157724E-8	0.028751558	Yes	
row_94	ELL	13124	-3.2257645443678484E-8	0.034075107	Yes	
row_95	DDB1	13426	-3.749250865325848E-8	0.026623977	Yes	
row_96	DUT	13485	-3.8583166883654485E-8	0.03075586	Yes	
row_97	POLR2J	13494	-3.870121290105999E-8	0.03727108	Yes	
row_98	SAC3D1	13505	-3.901628531366441E-8	0.043690965	Yes	
row_99	POLR3GL	13530	-3.961357819548539E-8	0.049443513	Yes	
row_100	SF3A3	13620	-4.1064797784429174E-8	0.052097727	Yes	
row_101	ERCC4	13651	-4.1526337923869505E-8	0.057564277	Yes	
row_102	NFX1	13663	-4.1700669584088246E-8	0.063936494	Yes	
row_103	POLR2F	13749	-4.3413738382014344E-8	0.06678138	Yes	
row_104	POLD3	13814	-4.4920476227616746E-8	0.07062726	Yes	
row_105	FEN1	13824	-4.5173621288085997E-8	0.07709481	Yes	
row_106	ADRM1	13881	-4.650413032436518E-8	0.08132202	Yes	
row_107	AGO4	13960	-4.811034770568767E-8	0.08450057	Yes	
row_108	UPF3B	14107	-5.087597187980464E-8	0.08443779	Yes	
