NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POSTN	50	6.659876346588135	0.0027657237	No	
row_1	COL5A1	181	1.4699082374572754	0.0017091827	No	
row_2	COL3A1	188	1.383139967918396	0.006577152	No	
row_3	PDGFRB	197	1.3041326999664307	0.011349564	No	
row_4	LUM	218	1.049465298652649	0.015548637	No	
row_5	OXTR	244	0.7938376665115356	0.019508818	No	
row_6	MMP3	389	0.2388705164194107	0.017783381	No	
row_7	SFRP1	640	0.04619471728801727	0.010993443	No	
row_8	SERPINE1	691	0.03564368188381195	0.013759168	No	
row_9	WNT5A	739	0.029436102136969566	0.016668227	No	
row_10	IGFBP3	852	0.020487572997808456	0.016471695	No	
row_11	PVR	886	0.0181666798889637	0.02004965	No	
row_12	SNTB1	953	0.014365270733833313	0.02205092	No	
row_13	CADM1	981	0.013288850896060467	0.025915544	No	
row_14	WIPF1	1094	0.008653606288135052	0.025719013	No	
row_15	DAB2	1120	0.007980013266205788	0.029679196	No	
row_16	ECM1	1190	0.006418976467102766	0.03153713	No	
row_17	PMP22	1357	0.004169963300228119	0.028760571	No	
row_18	NNMT	1369	0.004036933183670044	0.03338965	No	
row_19	COL1A2	1460	0.0032645093742758036	0.03424424	No	
row_20	FAP	1481	0.0030623269267380238	0.038443312	No	
row_21	COL4A1	1646	0.002054107841104269	0.03576231	No	
row_22	TGFBI	1649	0.002047837246209383	0.040821392	No	
row_23	FBN2	1651	0.0020426278933882713	0.04592825	No	
row_24	LRRC15	1724	0.0017136704409494996	0.047642853	No	
row_25	PFN2	2015	8.306324016302824E-4	0.038941782	No	
row_26	COL4A2	2026	7.995677879080176E-4	0.043618638	No	
row_27	FSTL3	2056	7.529361755587161E-4	0.047387708	No	
row_28	TPM1	2165	6.019430002197623E-4	0.04738229	No	
row_29	MYLK	2198	5.704545765183866E-4	0.051008023	No	
row_30	FMOD	2593	2.125414612237364E-4	0.037338007	No	
row_31	DCN	2784	1.263332087546587E-4	0.03341477	No	
row_32	MMP2	2902	8.756560418987647E-5	0.032979347	No	
row_33	ECM2	3045	5.385407348512672E-5	0.031349465	No	
row_34	FBLN5	3412	5.4093925427878276E-6	0.019017246	No	
row_35	CDH6	3656	7.869079468036944E-7	0.012561755	No	
row_36	LAMA1	3665	7.72078522004449E-7	0.017334169	No	
row_37	SLIT2	3789	6.092619173614366E-7	0.016612075	No	
row_38	ELN	3802	5.942878260611906E-7	0.021193374	No	
row_39	APLP1	3820	5.75885167108936E-7	0.025535783	No	
row_40	THBS1	3881	5.26696851466113E-7	0.027823722	No	
row_41	MATN2	3958	4.764079903907259E-7	0.029347211	No	
row_42	CRLF1	3984	4.579704580010002E-7	0.033307392	No	
row_43	ACTA2	4073	4.0886041574594856E-7	0.03425754	No	
row_44	FN1	4089	4.030907518881577E-7	0.038695503	No	
row_45	BDNF	4126	3.8932370216571144E-7	0.042130124	No	
row_46	CDH2	4150	3.776715686854004E-7	0.046185862	No	
row_47	LRP1	4282	3.3556685252733587E-7	0.045081545	No	
row_48	COL7A1	4330	3.1689268098489265E-7	0.0479906	No	
row_49	ITGB5	4400	2.9598891160276253E-7	0.049848538	No	
row_50	ABI3BP	4441	2.858504046798771E-7	0.053092044	No	
row_51	GEM	4444	2.8481355229814653E-7	0.058151126	No	
row_52	IL6	4727	2.2758575823900173E-7	0.049832284	No	
row_53	QSOX1	4743	2.2440818270297314E-7	0.05427025	No	
row_54	SERPINE2	4926	1.958538859980763E-7	0.050729234	No	
row_55	COL1A1	5083	1.7614951275390922E-7	0.048430458	No	
row_56	MSX1	5342	1.4621983268625627E-7	0.041258294	No	
row_57	SGCB	5398	1.4137626180854568E-7	0.043785125	No	
row_58	CAP2	5430	1.3878614879558882E-7	0.047458638	No	
row_59	BGN	5446	1.373948776972611E-7	0.051896602	No	
row_60	TFPI2	5507	1.3280880750698998E-7	0.05418454	No	
row_61	MXRA5	5602	1.2602735921518615E-7	0.05484802	No	
row_62	JUN	6127	9.562796066120427E-8	0.034966826	No	
row_63	COLGALT1	6169	9.346192797465847E-8	0.038162556	No	
row_64	SLIT3	6262	8.89469689013822E-8	0.03892159	No	
row_65	TNFRSF12A	6304	8.677713481120009E-8	0.04211732	No	
row_66	ITGA5	6330	8.574836840580247E-8	0.0460775	No	
row_67	BMP1	6429	8.166588116864659E-8	0.046549864	No	
row_68	ITGB1	6658	7.263658119427419E-8	0.04081105	No	
row_69	IL15	6673	7.218586972612684E-8	0.045296792	No	
row_70	NOTCH2	6753	6.965377963297215E-8	0.046676945	No	
row_71	SNAI2	7128	5.93244138258342E-8	0.033962496	No	
row_72	ADAM12	7452	5.1279620549848914E-8	0.023684744	No	
row_73	TIMP1	7493	5.030220862067836E-8	0.02692825	No	
row_74	PPIB	7540	4.900640604432738E-8	0.029885087	No	
row_75	DST	8129	3.678698590192653E-8	0.0069460813	No	
row_76	FERMT2	8346	3.282045568653302E-8	0.0017806062	No	
row_77	LAMC1	8675	2.7513937794765297E-8	-0.0087360395	No	
row_78	RHOB	8680	2.7409543079670584E-8	-0.0037725137	No	
row_79	GLIPR1	8871	2.434957124819448E-8	-0.007695753	No	
row_80	CALU	9032	2.1765741209378575E-8	-0.010185643	No	
row_81	GADD45B	9119	2.048639302643096E-8	-0.009139938	No	
row_82	SLC6A8	9283	1.7821314202137728E-8	-0.011773163	No	
row_83	SERPINH1	11009	-1.1783965470080204E-10	-0.08903611	No	
row_84	GADD45A	11156	-1.2459597797942479E-9	-0.090857096	No	
row_85	ITGAV	11785	-1.0670688332936606E-8	-0.11570723	No	
row_86	GPC1	12733	-2.5724641972146856E-8	-0.15579866	No	
row_87	SDC4	12966	-2.947504817996105E-8	-0.16172858	No	
row_88	LOXL1	13334	-3.585743257872309E-8	-0.17410858	No	
row_89	CAPG	13575	-4.037408274371046E-8	-0.18042074	No	
row_90	CD44	13654	-4.1591057708956214E-8	-0.17899281	No	
row_91	DKK1	13788	-4.4184879754993744E-8	-0.18019268	No	
row_92	IGFBP2	13803	-4.4592866288439836E-8	-0.17570694	No	
row_93	COL11A1	14026	-4.950164367301113E-8	-0.18115908	No	
row_94	TPM4	14046	-4.994049263018496E-8	-0.17691223	No	
row_95	PMEPA1	14132	-5.139280290222814E-8	-0.17581874	No	
row_96	IL32	14376	-5.731398644570618E-8	-0.18227424	No	
row_97	P3H1	15039	-7.76240369759762E-8	-0.20874883	No	
row_98	COMP	15104	-8.019317476737342E-8	-0.20665202	No	
row_99	COL6A3	15160	-8.233423187675726E-8	-0.20412518	No	
row_100	SCG2	15189	-8.328083822561894E-8	-0.20030834	No	
row_101	LAMA2	15427	-9.450801030652656E-8	-0.20647715	No	
row_102	ID2	15652	-1.0620464507837823E-7	-0.21202485	Yes	
row_103	PCOLCE	15686	-1.0782100190454003E-7	-0.2084469	Yes	
row_104	FAS	15702	-1.0866782673701891E-7	-0.20400894	Yes	
row_105	GJA1	15967	-1.2518016490048467E-7	-0.21146777	Yes	
row_106	MATN3	15983	-1.259352302440675E-7	-0.2070298	Yes	
row_107	TGFB1	15996	-1.2670571436501632E-7	-0.2024485	Yes	
row_108	PLOD1	16137	-1.3956299937945005E-7	-0.20398283	Yes	
row_109	CALD1	16342	-1.5864011970734282E-7	-0.20857497	Yes	
row_110	FUCA1	16505	-1.7686420505924616E-7	-0.2111604	Yes	
row_111	VEGFA	16521	-1.7908864435867144E-7	-0.20672245	Yes	
row_112	EMP3	16660	-1.9494791558827274E-7	-0.20816122	Yes	
row_113	PRRX1	16685	-1.982426880431376E-7	-0.20415325	Yes	
row_114	INHBA	16712	-2.0330010386260255E-7	-0.20024085	Yes	
row_115	COL12A1	16852	-2.252719895068367E-7	-0.20172739	Yes	
row_116	GREM1	16931	-2.379741772529087E-7	-0.20029947	Yes	
row_117	BASP1	16947	-2.435076282836235E-7	-0.1958615	Yes	
row_118	ITGB3	16982	-2.517907091714733E-7	-0.19233133	Yes	
row_119	PLOD2	17040	-2.6183298018622736E-7	-0.18990006	Yes	
row_120	PLAUR	17079	-2.7340217911842046E-7	-0.18656099	Yes	
row_121	ITGA2	17152	-2.884187892959744E-7	-0.18484639	Yes	
row_122	COL8A2	17234	-3.162008113122283E-7	-0.18356179	Yes	
row_123	NTM	17264	-3.2575067621110065E-7	-0.17979272	Yes	
row_124	TNFRSF11B	17272	-3.2745339240136673E-7	-0.17497253	Yes	
row_125	NT5E	17296	-3.3584962011445896E-7	-0.1709168	Yes	
row_126	LAMA3	17306	-3.404696542474994E-7	-0.16619216	Yes	
row_127	CXCL12	17339	-3.52932801206407E-7	-0.16256642	Yes	
row_128	VIM	17465	-4.0666054701432586E-7	-0.16338408	Yes	
row_129	COL5A3	17513	-4.2909005060209893E-7	-0.16047502	Yes	
row_130	PCOLCE2	17520	-4.3146783923475596E-7	-0.15560704	Yes	
row_131	LOXL2	17533	-4.3490624079822737E-7	-0.15102574	Yes	
row_132	TAGLN	17588	-4.7197588060043927E-7	-0.14845113	Yes	
row_133	CDH11	17638	-5.06830303947936E-7	-0.14563763	Yes	
row_134	FBN1	17640	-5.081643621451803E-7	-0.14053078	Yes	
row_135	LAMC2	17650	-5.145548129803501E-7	-0.13580614	Yes	
row_136	COL5A2	17674	-5.320029003996751E-7	-0.1317504	Yes	
row_137	RGS4	17744	-5.829297151649371E-7	-0.12989247	Yes	
row_138	MEST	17756	-5.939893981121713E-7	-0.1252634	Yes	
row_139	TNC	17794	-6.409042043742375E-7	-0.121876545	Yes	
row_140	MAGEE1	17798	-6.458317898250243E-7	-0.11686524	Yes	
row_141	PTHLH	17893	-7.814653599780286E-7	-0.116201766	Yes	
row_142	SPP1	17933	-8.937113875617797E-7	-0.11291048	Yes	
row_143	MCM7	18015	-1.3276888921609498E-6	-0.11162588	Yes	
row_144	ANPEP	18105	-3.254671128161135E-6	-0.11072351	Yes	
row_145	COPA	18197	-7.64546166465152E-6	-0.1099167	Yes	
row_146	MYL9	18223	-9.003380910144188E-6	-0.10595652	Yes	
row_147	TGFBR3	18358	-2.1892912627663463E-5	-0.10720417	Yes	
row_148	SAT1	18399	-2.870395837817341E-5	-0.10396066	Yes	
row_149	PLOD3	18433	-3.659510184661485E-5	-0.10038271	Yes	
row_150	FLNA	18441	-3.8948604924371466E-5	-0.09556252	Yes	
row_151	TIMP3	18486	-4.802515104529448E-5	-0.09251013	Yes	
row_152	SPOCK1	18700	-1.0895272134803236E-4	-0.097532265	Yes	
row_153	FBLN2	18748	-1.2875338143203408E-4	-0.09462321	Yes	
row_154	ENO2	18859	-1.8420084961690009E-4	-0.094724186	Yes	
row_155	MGP	18949	-2.40358043811284E-4	-0.093821816	Yes	
row_156	VEGFC	19158	-4.255716339685023E-4	-0.09860506	Yes	
row_157	FSTL1	19199	-4.746252088807523E-4	-0.09536155	Yes	
row_158	LGALS1	19267	-5.56049810256809E-4	-0.09340806	Yes	
row_159	LOX	19410	-8.355994941666722E-4	-0.095037945	Yes	
row_160	NID2	19435	-9.16709250304848E-4	-0.09102999	Yes	
row_161	VCAM1	19462	-9.86497849225998E-4	-0.08711758	Yes	
row_162	THY1	19473	-0.0010115319164469838	-0.08244073	Yes	
row_163	MMP14	19609	-0.0013891070848330855	-0.08373616	Yes	
row_164	MFAP5	19700	-0.0017387038096785545	-0.08288156	Yes	
row_165	COL16A1	19711	-0.0017765306401997805	-0.07820471	Yes	
row_166	MMP1	19777	-0.0022498564794659615	-0.07615566	Yes	
row_167	PTX3	19858	-0.0029326712246984243	-0.07482329	Yes	
row_168	EFEMP2	19899	-0.00321885640732944	-0.07157978	Yes	
row_169	TNFAIP3	19940	-0.0036098966374993324	-0.06833627	Yes	
row_170	CD59	19996	-0.004444853402674198	-0.06580944	Yes	
row_171	CTHRC1	20000	-0.0045085777528584	-0.06079814	Yes	
row_172	FBLN1	20109	-0.006691932678222656	-0.060803555	Yes	
row_173	DPYSL3	20119	-0.0068168858997523785	-0.056078922	Yes	
row_174	IGFBP4	20165	-0.00787066575139761	-0.053074304	Yes	
row_175	FGF2	20238	-0.011111692525446415	-0.051359706	Yes	
row_176	EDIL3	20347	-0.016733696684241295	-0.051365122	Yes	
row_177	GPX7	20400	-0.02217293344438076	-0.048694957	Yes	
row_178	HTRA1	20458	-0.027923570945858955	-0.04626368	Yes	
row_179	SDC1	20539	-0.044130392372608185	-0.044931307	Yes	
row_180	VCAN	20674	-0.09954751282930374	-0.04617896	Yes	
row_181	AREG	20803	-0.25565212965011597	-0.047139943	Yes	
row_182	GAS1	20844	-0.3781540095806122	-0.043896437	Yes	
row_183	COL6A2	20848	-0.40840694308280945	-0.03888513	Yes	
row_184	FZD8	20852	-0.42039570212364197	-0.03387383	Yes	
row_185	CXCL6	20947	-1.275107979774475	-0.033210352	Yes	
row_186	SPARC	20948	-1.2843066453933716	-0.028055713	Yes	
row_187	TGM2	20986	-2.111937999725342	-0.02466887	Yes	
row_188	TPM2	20990	-2.199066400527954	-0.019657565	Yes	
row_189	CXCL8	21031	-3.8504905700683594	-0.01641406	Yes	
row_190	CXCL1	21058	-5.436244010925293	-0.012501656	Yes	
row_191	FOXC2	21095	-10.119625091552734	-0.009067036	Yes	
