NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KCNK5	81	4.342530250549316	0.0013938546	No	
row_1	CLIC3	113	3.1447277069091797	0.005176168	No	
row_2	ABCA3	126	2.7591493129730225	0.009866096	No	
row_3	SLC27A2	295	0.4700532853603363	0.007104032	No	
row_4	HSPB8	415	0.19571919739246368	0.006682658	No	
row_5	SNX10	488	0.1181885153055191	0.008506435	No	
row_6	WFS1	497	0.10527694225311279	0.01338744	No	
row_7	BATF	506	0.09854528307914734	0.018268444	No	
row_8	MAPT	564	0.0722554475069046	0.02080876	No	
row_9	FGFR3	659	0.04226887226104736	0.021581614	No	
row_10	SEMA3B	663	0.04138743877410889	0.026701465	No	
row_11	GAL	819	0.022434016689658165	0.024560401	No	
row_12	PDZK1	932	0.015236456878483295	0.02447341	No	
row_13	PTGES	995	0.012574752792716026	0.02677488	No	
row_14	FRK	998	0.012471473775804043	0.031942498	No	
row_15	IGSF1	1231	0.005676738452166319	0.026123207	No	
row_16	ALDH3B1	1495	0.002953829476609826	0.018823072	No	
row_17	FKBP5	1565	0.002492858562618494	0.020790156	No	
row_18	FDFT1	1868	0.0011760088382288814	0.011627023	No	
row_19	SCARB1	1890	0.0011098005343228579	0.015887028	No	
row_20	DHCR7	1895	0.0010956480400636792	0.020959109	No	
row_21	PTGER3	1963	9.380677947774529E-4	0.023021733	No	
row_22	CDH1	2097	6.986724329181015E-4	0.02193159	No	
row_23	SLC2A8	2480	2.89126590359956E-4	0.008946922	No	
row_24	LARGE1	2512	2.607765782158822E-4	0.012729235	No	
row_25	FLNB	2596	2.1094369003549218E-4	0.014027552	No	
row_26	CXCL14	2703	1.6343715833500028E-4	0.014227176	No	
row_27	DCXR	2818	1.1199749860679731E-4	0.014044648	No	
row_28	DYNLT3	2847	1.033434018609114E-4	0.01797027	No	
row_29	FOXC1	3104	4.474905654205941E-5	0.011004518	No	
row_30	TNNC1	3160	3.398621629457921E-5	0.013640371	No	
row_31	CDC6	3178	3.0044571758480743E-5	0.018091453	No	
row_32	ETFB	3200	2.7095929908682592E-5	0.022351459	No	
row_33	PDLIM3	3349	9.550396498525515E-6	0.020544779	No	
row_34	PGR	3553	1.1970503237535013E-6	0.016110793	No	
row_35	CHST8	4288	3.3325059689559566E-7	-0.013688627	No	
row_36	DNAJC12	4348	3.1235401820595143E-7	-0.01124385	No	
row_37	PLAC1	4415	2.9300318260538916E-7	-0.009133458	No	
row_38	DUSP2	4462	2.789931556890224E-7	-0.006067682	No	
row_39	MAPK13	4521	2.64472504341029E-7	-0.0035751364	No	
row_40	OPN3	4572	2.5545668336235394E-7	-7.004373E-4	No	
row_41	ADD3	4707	2.30286076430275E-7	-0.0018383492	No	
row_42	BLVRB	4807	2.1414635398286919E-7	-0.0013043399	No	
row_43	UNC13B	4860	2.0567647140978806E-7	0.001474821	No	
row_44	SGK1	5024	1.826812194849481E-7	-0.001048397	No	
row_45	PAPSS2	5041	1.8092349307607947E-7	0.0034504542	No	
row_46	TIAM1	5150	1.6726498586194793E-7	0.003554541	No	
row_47	DHRS2	5208	1.595106766671961E-7	0.0060948557	No	
row_48	SULT2B1	5226	1.5736149805434252E-7	0.010545938	No	
row_49	CA12	5366	1.4431658712510398E-7	0.00916918	No	
row_50	TFPI2	5507	1.3280880750698998E-7	0.007744653	No	
row_51	KRT19	5627	1.2432761309355556E-7	0.007323279	No	
row_52	CISH	5629	1.241843534671716E-7	0.012538668	No	
row_53	CPE	5656	1.220497409804011E-7	0.016559828	No	
row_54	CHPT1	5695	1.197029178001685E-7	0.020007757	No	
row_55	PTPN6	5696	1.1963143720095104E-7	0.025270915	No	
row_56	FARP1	5754	1.1604161187506179E-7	0.02781123	No	
row_57	BTG3	6334	8.559080555414766E-8	0.005416033	No	
row_58	CD9	6370	8.419883812393891E-8	0.0090072695	No	
row_59	IMPA2	6542	7.713679650578342E-8	0.0061018984	No	
row_60	SLC29A1	6571	7.618376685059047E-8	0.010027519	No	
row_61	AMFR	6643	7.31315736857141E-8	0.011899066	No	
row_62	KLF4	6684	7.192284812163052E-8	0.015251457	No	
row_63	SLC22A5	6802	6.808250674339433E-8	0.0149256205	No	
row_64	MDK	6865	6.63047217130952E-8	0.017227089	No	
row_65	TPD52L1	6897	6.55690257644892E-8	0.021009404	No	
row_66	PPIF	7088	6.015500986222833E-8	0.017196417	No	
row_67	FKBP4	7143	5.9050190515108625E-8	0.01988004	No	
row_68	DNAJC1	7328	5.4711108532501385E-8	0.016353669	No	
row_69	SLC26A2	7370	5.3568463442843495E-8	0.019658292	No	
row_70	AFF1	7447	5.1475812057333314E-8	0.021290991	No	
row_71	RABEP1	7645	4.681971788045303E-8	0.017143622	No	
row_72	IL6ST	7904	4.1025671748684545E-8	0.0100823315	No	
row_73	MICB	8075	3.797680392381153E-8	0.007224729	No	
row_74	ANXA9	8207	3.5321065183779865E-8	0.0062301243	No	
row_75	IDH2	8548	2.9465082818092014E-8	-0.0047482383	No	
row_76	FOS	8610	2.8481927927259676E-8	-0.002399	No	
row_77	JAK1	8701	2.693916023588372E-8	-0.0014350682	No	
row_78	HPRT1	8915	2.357762518556683E-8	-0.0063467454	No	
row_79	HOMER2	9125	2.043192992573495E-8	-0.011067346	No	
row_80	TST	9146	2.0058005034684356E-8	-0.006759571	No	
row_81	JAK2	9191	1.9276653162592083E-8	-0.0035982567	No	
row_82	ST14	9194	1.926398596197032E-8	0.0015693629	No	
row_83	GALE	9364	1.656854031750754E-8	-0.0012404702	No	
row_84	COX6C	9382	1.633914514798107E-8	0.0032106119	No	
row_85	METTL3	10167	5.070236230864111E-9	-0.028977267	No	
row_86	XRCC3	10168	5.068608199820801E-9	-0.023714108	No	
row_87	ALDH3A2	10265	3.758728439606784E-9	-0.023036791	No	
row_88	MOCS2	10384	1.833802887318825E-9	-0.023410397	No	
row_89	PRLR	11087	-5.750991904918124E-10	-0.051681202	No	
row_90	TJP3	11145	-1.1106094932600286E-9	-0.049140885	No	
row_91	ARL3	11213	-2.3390416270530068E-9	-0.047078263	No	
row_92	HMGCS2	11458	-5.992498053331019E-9	-0.053470787	No	
row_93	ATP2B4	11674	-9.099448305960323E-9	-0.058478	No	
row_94	NCOR2	11732	-9.86230741517602E-9	-0.055937685	No	
row_95	NRIP1	11806	-1.0938925321113402E-8	-0.05416168	No	
row_96	GLA	11840	-1.1367608188095346E-8	-0.050474904	No	
row_97	XBP1	11959	-1.328277399181843E-8	-0.050848506	No	
row_98	ABHD2	11975	-1.3564962486611876E-8	-0.046301886	No	
row_99	PRSS23	12056	-1.467919030773146E-8	-0.044860262	No	
row_100	CAV1	12695	-2.500475559941151E-8	-0.07007384	No	
row_101	OVOL2	12719	-2.5395429759100807E-8	-0.06590938	No	
row_102	ITPK1	12886	-2.8000256335758422E-8	-0.068575904	No	
row_103	CD44	13654	-4.1591057708956214E-8	-0.0999517	No	
row_104	SIAH2	13734	-4.299275246921752E-8	-0.09846231	No	
