NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGF	1149	0.007132100407034159	-0.049623627	No	
row_1	HIF1A	1665	0.0019699707627296448	-0.0689616	No	
row_2	MAPK14	1801	0.0014117013197392225	-0.070147276	No	
row_3	HOXC10	1921	0.0010443810606375337	-0.07056865	No	
row_4	ATF5	2092	7.047620601952076E-4	-0.073426254	No	
row_5	HUS1	2300	4.5919689000584185E-4	-0.07805132	No	
row_6	EXO1	2388	3.6842195549979806E-4	-0.076944076	No	
row_7	MEIS2	2549	2.3396920005325228E-4	-0.07932399	No	
row_8	SRSF10	2776	1.2973934644833207E-4	-0.08485667	No	
row_9	TACC3	2948	7.540353544754907E-5	-0.087762035	No	
row_10	CDC6	3178	3.0044571758480743E-5	-0.09343802	No	
row_11	PRIM2	3233	2.1981630197842605E-5	-0.0907544	No	
row_12	UBE2S	3332	1.0981956620526034E-5	-0.09017262	No	
row_13	LBR	3425	4.880543201579712E-6	-0.08930422	No	
row_14	BRCA2	3783	6.146247528704407E-7	-0.10109466	No	
row_15	SQLE	3966	4.703094305114064E-7	-0.1045255	No	
row_16	FOXN3	5307	1.496902086728369E-7	-0.16327304	No	
row_17	SLC7A1	5612	1.2545706340461038E-7	-0.17253171	No	
row_18	E2F1	6205	9.156133273791056E-8	-0.19554791	No	
row_19	SUV39H1	6368	8.427650755038485E-8	-0.19802335	No	
row_20	NOTCH2	6753	6.965377963297215E-8	-0.21110356	No	
row_21	CDK4	6840	6.681723618839897E-8	-0.20994855	No	
row_22	PAFAH1B1	7197	5.777948075547101E-8	-0.22169122	No	
row_23	NOLC1	7735	4.4980332347677177E-8	-0.24208012	No	
row_24	RASAL2	8286	3.39858949871541E-8	-0.26309	No	
row_25	MCM3	8327	3.322113428794182E-8	-0.2597376	No	
row_26	KIF5B	8416	3.1682603207627835E-8	-0.25867814	No	
row_27	WRN	8499	3.025527561817398E-8	-0.25733206	No	
row_28	POLE	8652	2.7727878659788985E-8	-0.25932983	No	
row_29	MCM5	8942	2.3297955564771655E-8	-0.26787195	Yes	
row_30	CUL5	8987	2.251065822633791E-8	-0.26471063	Yes	
row_31	E2F4	9011	2.2049190917527994E-8	-0.26054618	Yes	
row_32	SMC1A	9095	2.0797989108700676E-8	-0.25924784	Yes	
row_33	LIG3	9129	2.0383874144158654E-8	-0.25556108	Yes	
row_34	EFNA5	9238	1.853966757892067E-8	-0.25545698	Yes	
row_35	CHMP1A	9420	1.5786968177167182E-8	-0.25884005	Yes	
row_36	RAD23B	9434	1.5558510924051916E-8	-0.2541979	Yes	
row_37	SS18	9485	1.4622415278608969E-8	-0.2513232	Yes	
row_38	CDKN3	9528	1.4103296308576319E-8	-0.24806635	Yes	
row_39	PDS5B	9692	1.1421212420259508E-8	-0.25058955	Yes	
row_40	UCK2	9813	9.932062283724008E-9	-0.2510587	Yes	
row_41	SYNCRIP	10095	6.235540528365391E-9	-0.2592187	Yes	
row_42	NUP50	10187	4.799852071357691E-9	-0.2583025	Yes	
row_43	KPNB1	10213	4.459464353345766E-9	-0.2542336	Yes	
row_44	RPA2	10248	3.9874539226048E-9	-0.2505946	Yes	
row_45	POLA2	10274	3.6499490096986165E-9	-0.24652566	Yes	
row_46	KMT5A	10353	2.340474702933193E-9	-0.2449885	Yes	
row_47	NEK2	10485	5.949008508032705E-10	-0.24598311	Yes	
row_48	GSPT1	10504	5.248262380241897E-10	-0.24157979	Yes	
row_49	NUMA1	10546	1.9744247903297207E-10	-0.23827517	Yes	
row_50	MNAT1	10570	4.054963309574333E-11	-0.2341107	Yes	
row_51	PML	11000	-7.566800658276307E-11	-0.24934052	Yes	
row_52	CUL1	11215	-2.3666704151992235E-9	-0.25429997	Yes	
row_53	DDX39A	11253	-3.0943423379170554E-9	-0.25080428	Yes	
row_54	CASP8AP2	11305	-3.8198719742865705E-9	-0.24797735	Yes	
row_55	KPNA2	11533	-7.260975376510714E-9	-0.25355777	Yes	
row_56	KIF20B	11568	-7.803235391179442E-9	-0.24991877	Yes	
row_57	DBF4	11594	-8.109440230441578E-9	-0.24584985	Yes	
row_58	CCNB2	11600	-8.136975537809121E-9	-0.24082553	Yes	
row_59	PRMT5	11779	-1.0585313070521352E-8	-0.2440653	Yes	
row_60	SNRPD1	11919	-1.2611190314260057E-8	-0.24544205	Yes	
row_61	CDC27	11931	-1.280224992683543E-8	-0.24070436	Yes	
row_62	CBX1	11952	-1.3162622991558237E-8	-0.23639658	Yes	
row_63	ORC5	12038	-1.4409835991102682E-8	-0.2351938	Yes	
row_64	TRA2B	12140	-1.5880287307368235E-8	-0.23475534	Yes	
row_65	SRSF2	12182	-1.6506827904549937E-8	-0.2314507	Yes	
row_66	CUL4A	12184	-1.6559710047658882E-8	-0.22623532	Yes	
row_67	CHAF1A	12310	-1.844939845341287E-8	-0.22694331	Yes	
row_68	BUB3	12313	-1.8472423590765175E-8	-0.2217757	Yes	
row_69	CTCF	12344	-1.9129952733010214E-8	-0.2179456	Yes	
row_70	SMC4	12352	-1.926093595727707E-8	-0.21301684	Yes	
row_71	HNRNPU	12387	-1.994444076558466E-8	-0.20937783	Yes	
row_72	CDKN1B	12391	-1.997417342636254E-8	-0.20425798	Yes	
row_73	MCM6	12441	-2.0649141063699972E-8	-0.2013355	Yes	
row_74	UPF1	12532	-2.2173683333903682E-8	-0.20037158	Yes	
row_75	TFDP1	12657	-2.415074007444673E-8	-0.20103179	Yes	
row_76	YTHDC1	12785	-2.6549143328225E-8	-0.20183532	Yes	
row_77	PURA	12801	-2.6771591166152575E-8	-0.1972887	Yes	
row_78	TRAIP	12827	-2.714275026960422E-8	-0.19321978	Yes	
row_79	KIF15	12848	-2.7437385696771344E-8	-0.188912	Yes	
row_80	EWSR1	12859	-2.766092244144147E-8	-0.18412653	Yes	
row_81	ORC6	13085	-3.1566258940074476E-8	-0.18961143	Yes	
row_82	KATNA1	13132	-3.2344484424129405E-8	-0.18654567	Yes	
row_83	KIF23	13196	-3.349117605466745E-8	-0.18429196	Yes	
row_84	SFPQ	13229	-3.4056782283187204E-8	-0.18055741	Yes	
row_85	DTYMK	13328	-3.5810181486795045E-8	-0.17997564	Yes	
row_86	HSPA8	13352	-3.6160688665631824E-8	-0.17581117	Yes	
row_87	SMARCC1	13359	-3.6257421953678204E-8	-0.17083463	Yes	
row_88	MCM2	13391	-3.6875761111332395E-8	-0.16705231	Yes	
row_89	CDC25A	13437	-3.7680752740243406E-8	-0.16393878	Yes	
row_90	SRSF1	13468	-3.8245310918227915E-8	-0.16010869	Yes	
row_91	SMAD3	13526	-3.953182314830883E-8	-0.15756838	Yes	
row_92	G3BP1	13573	-4.0342282403571517E-8	-0.1545026	Yes	
row_93	AMD1	13656	-4.16150243154334E-8	-0.15315652	Yes	
row_94	TMPO	13684	-4.207251791399358E-8	-0.14918312	Yes	
row_95	ABL1	13686	-4.209266180055238E-8	-0.14396773	Yes	
row_96	CKS2	13778	-4.395603525608749E-8	-0.14305158	Yes	
row_97	ARID4A	13828	-4.533153941110868E-8	-0.1401291	Yes	
row_98	XPO1	13887	-4.663260355641796E-8	-0.13763656	Yes	
row_99	E2F2	13929	-4.753369253762685E-8	-0.13433194	Yes	
row_100	SLC38A1	14023	-4.9436764015808876E-8	-0.1335113	Yes	
row_101	NCL	14036	-4.9723002604196154E-8	-0.12882139	Yes	
row_102	SLC7A5	14096	-5.073598075000518E-8	-0.12637661	Yes	
row_103	NDC80	14099	-5.078631559740643E-8	-0.12120899	Yes	
row_104	GINS2	14267	-5.437232175609097E-8	-0.12392328	Yes	
row_105	ATRX	14283	-5.47949490226074E-8	-0.11937666	Yes	
row_106	TROAP	14302	-5.5311616620201676E-8	-0.11497335	Yes	
row_107	TOP1	14307	-5.533284408443251E-8	-0.109901264	Yes	
row_108	RAD21	14329	-5.602678854188525E-8	-0.10564126	Yes	
row_109	PLK1	14362	-5.676371017671045E-8	-0.10190672	Yes	
row_110	KIF4A	14390	-5.7625694438456776E-8	-0.09793333	Yes	
row_111	TTK	14416	-5.8387893631106635E-8	-0.093864396	Yes	
row_112	RBM14	14459	-5.9404985819355716E-8	-0.090607546	Yes	
row_113	CKS1B	14596	-6.301385013784966E-8	-0.091841	Yes	
row_114	CCNF	14616	-6.373961269900974E-8	-0.087485455	Yes	
row_115	KIF11	14636	-6.437946353798907E-8	-0.08312991	Yes	
row_116	RBL1	14671	-6.529231910690214E-8	-0.0794909	Yes	
row_117	AURKB	14709	-6.65657182707946E-8	-0.07599521	Yes	
row_118	FBXO5	14782	-6.853728251599023E-8	-0.07417143	Yes	
row_119	CENPF	14805	-6.918695305557776E-8	-0.06995919	Yes	
row_120	POLQ	14816	-6.948324227096236E-8	-0.06517372	Yes	
row_121	CDKN2C	14826	-6.975665201025549E-8	-0.06034049	Yes	
row_122	TPX2	14887	-7.201204255125049E-8	-0.057943482	Yes	
row_123	BIRC5	14889	-7.20573893886467E-8	-0.052728094	Yes	
row_124	PTTG1	14929	-7.32560891947287E-8	-0.049327932	Yes	
row_125	AURKA	14931	-7.333367335604635E-8	-0.044112545	Yes	
row_126	ILF3	14944	-7.377527566632125E-8	-0.039422616	Yes	
row_127	EZH2	14958	-7.429669324210408E-8	-0.034780458	Yes	
row_128	CDK1	15157	-8.221955027920558E-8	-0.038975596	Yes	
row_129	MYBL2	15193	-8.362496117797491E-8	-0.03538436	Yes	
row_130	BUB1	15229	-8.527498351895701E-8	-0.031793125	Yes	
row_131	HMGN2	15345	-8.992369515681276E-8	-0.032023422	Yes	
row_132	HMMR	15389	-9.276976697947248E-8	-0.028814338	Yes	
row_133	HMGA1	15529	-9.949646084805863E-8	-0.030191096	Yes	
row_134	STMN1	15711	-1.0931854177442801E-7	-0.03357416	Yes	
row_135	CCND1	15735	-1.1088145868143329E-7	-0.029409692	Yes	
row_136	TGFB1	15996	-1.2670571436501632E-7	-0.03656652	Yes	
row_137	TNPO2	16132	-1.3902746331950766E-7	-0.0377522	Yes	
row_138	CHEK1	16172	-1.4328591646517452E-7	-0.03435204	Yes	
row_139	PBK	16591	-1.863039642557851E-7	-0.0490564	Yes	
row_140	TLE3	16674	-1.970753089608479E-7	-0.047710314	Yes	
row_141	MYC	16882	-2.3028735540719936E-7	-0.052335378	Yes	
row_142	PTTG3P	16926	-2.3763656997743965E-7	-0.049126294	Yes	
row_143	RACGAP1	17949	-9.343635269942752E-7	-0.09268323	Yes	
row_144	CUL3	17958	-9.626323844713625E-7	-0.08780223	Yes	
row_145	BARD1	17979	-1.0424743095427402E-6	-0.083494455	Yes	
row_146	DKC1	18118	-3.7707557112298673E-6	-0.084823444	Yes	
