NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RTN1	1096	0.008634242229163647	-0.021662261	No	
row_1	VLDLR	1430	0.0035874603781849146	-0.0071479557	No	
row_2	TLE1	2699	1.651677448535338E-4	-0.036965355	No	
row_3	SHH	3714	7.042125389489229E-7	-0.054739702	No	
row_4	NKX6-1	3951	4.804448963113828E-7	-0.035626277	No	
row_5	GLI1	4079	4.067926795414678E-7	-0.011344773	No	
row_6	CDK6	5550	1.2945814376053022E-7	-0.050739717	No	
row_7	ADGRG1	8001	3.927533498426783E-8	-0.13659997	No	
row_8	L1CAM	10305	3.121897629299042E-9	-0.21549045	No	
row_9	PML	11000	-7.566800658276307E-11	-0.21809244	No	
row_10	NRP2	11392	-5.050371232329098E-9	-0.20632812	No	
row_11	OPHN1	11827	-1.116767212039349E-8	-0.19660258	No	
row_12	LDB1	12399	-2.008983734924641E-8	-0.19337271	No	
row_13	ACHE	13421	-3.7356286952672235E-8	-0.21147896	No	
row_14	NF1	14213	-5.31483443921843E-8	-0.21868008	Yes	
row_15	NRP1	14524	-6.114619566233159E-8	-0.20307526	Yes	
row_16	HEY2	14527	-6.116127337918442E-8	-0.17286706	Yes	
row_17	MYH9	14625	-6.413081621303718E-8	-0.14716314	Yes	
row_18	SCG2	15189	-8.328083822561894E-8	-0.14355396	Yes	
row_19	CDK5R1	15381	-9.195822769925144E-8	-0.12230692	Yes	
row_20	PTCH1	16063	-1.3265332654555095E-7	-0.124292545	Yes	
row_21	HEY1	16479	-1.7395549889442918E-7	-0.113666154	Yes	
row_22	UNC5C	16513	-1.7804643448471325E-7	-0.084927775	Yes	
row_23	VEGFA	16521	-1.7908864435867144E-7	-0.054956637	Yes	
row_24	TLE3	16674	-1.970753089608479E-7	-0.03186047	Yes	
row_25	AMOT	17066	-2.684068363123515E-7	-0.020096153	Yes	
row_26	RASA1	17930	-8.886355544746039E-7	-0.030711047	Yes	
row_27	NRCAM	18172	-6.328558356472058E-6	-0.011834691	Yes	
row_28	ETS2	18655	-9.136203152593225E-5	-0.0043850103	Yes	
row_29	CELSR1	19293	-6.119261961430311E-4	-0.004284435	Yes	
row_30	THY1	19473	-0.0010115319164469838	0.017531564	Yes	
row_31	DPYSL2	19564	-0.001238950528204441	0.04356737	Yes	
row_32	CRMP1	20651	-0.08517803996801376	0.022379246	Yes	
