NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RRAGD	169	1.6425598859786987	-0.0026058122	No	
row_1	COL5A1	181	1.4699082374572754	0.0023333833	No	
row_2	SDC2	332	0.34965547919273376	6.348822E-4	No	
row_3	FBP1	377	0.2571902275085449	0.0039982214	No	
row_4	SERPINE1	691	0.03564368188381195	-0.005484053	No	
row_5	GCNT2	692	0.03551997244358063	-1.9572388E-5	No	
row_6	GLRX	745	0.028887640684843063	0.0029617413	No	
row_7	IGFBP3	852	0.020487572997808456	0.0033643816	No	
row_8	GAA	1037	0.01104409247636795	4.2271236E-5	No	
row_9	DPYSL4	1124	0.007744990289211273	0.0013999757	No	
row_10	SELENBP1	1277	0.004994385875761509	-3.940318E-4	No	
row_11	HMOX1	1345	0.004213858395814896	0.0018709837	No	
row_12	DTNA	1362	0.004090369213372469	0.006571413	No	
row_13	PLAC8	1415	0.0036558888386934996	0.0095527265	No	
row_14	VLDLR	1430	0.0035874603781849146	0.014348662	No	
row_15	TGFBI	1649	0.002047837246209383	0.009402943	No	
row_16	PRKCA	1701	0.0017926314612850547	0.01243201	No	
row_17	GPC4	1747	0.001619282877072692	0.015747596	No	
row_18	SRPX	1851	0.001237077871337533	0.016293496	No	
row_19	SCARB1	1890	0.0011098005343228579	0.019943355	No	
row_20	GYS1	2109	6.782597047276795E-4	0.014997635	No	
row_21	CXCR4	2305	4.535606421995908E-4	0.011150239	No	
row_22	LARGE1	2512	2.607765782158822E-4	0.0067775585	No	
row_23	PFKP	2688	1.7040591046679765E-4	0.003885227	No	
row_24	UGP2	2691	1.681065623415634E-4	0.009254201	No	
row_25	TPD52	2718	1.5837425598874688E-4	0.013477098	No	
row_26	DCN	2784	1.263332087546587E-4	0.015837621	No	
row_27	SLC6A6	2848	1.0308732453268021E-4	0.018293649	No	
row_28	PPP1R15A	3237	2.143907295248937E-5	0.0052298834	No	
row_29	ACKR3	3398	6.265063802857185E-6	0.00305385	No	
row_30	PFKL	3540	1.3302181969265803E-6	0.0017851279	No	
row_31	PPARGC1A	3564	1.087740201910492E-6	0.0061512846	No	
row_32	B4GALNT2	3796	5.995196943331393E-7	5.847734E-4	No	
row_33	F3	4189	3.658169873688166E-7	-0.012670005	No	
row_34	BCAN	4287	3.336684812893509E-7	-0.011837586	No	
row_35	EDN2	4559	2.582101785719715E-7	-0.019314226	No	
row_36	PIM1	4596	2.519161057534802E-7	-0.015568861	No	
row_37	IL6	4727	2.2758575823900173E-7	-0.016312297	No	
row_38	CHST3	4900	1.9947555074395495E-7	-0.01906137	No	
row_39	NDST1	4914	1.9788124916431116E-7	-0.01421768	No	
row_40	NDRG1	5199	1.611761319963989E-7	-0.022315111	No	
row_41	SULT2B1	5226	1.5736149805434252E-7	-0.018092215	No	
row_42	B3GALT6	5293	1.5096159700078715E-7	-0.015779445	No	
row_43	ADORA2B	5296	1.5070743586420576E-7	-0.010410472	No	
row_44	CA12	5366	1.4431658712510398E-7	-0.008240962	No	
