NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IDH1	393	0.23224610090255737	-0.0133634	Yes	
row_1	ISCU	494	0.11141560971736908	-0.0127337715	Yes	
row_2	BAX	1039	0.010788625106215477	-0.033308595	Yes	
row_3	NDUFA3	1267	0.005213630851358175	-0.038744204	Yes	
row_4	ACAA1	1521	0.0027519927825778723	-0.045421515	Yes	
row_5	SURF1	1553	0.0025571309961378574	-0.0414966	Yes	
row_6	COX6B1	1566	0.002486908109858632	-0.03666429	Yes	
row_7	ACADVL	1779	0.0015219248598441482	-0.04138353	Yes	
row_8	NDUFC2	1914	0.0010523393284529448	-0.04237767	Yes	
row_9	NDUFB3	2121	6.617637118324637E-4	-0.046810362	Yes	
row_10	CYB5A	2145	6.243926472961903E-4	-0.042503387	Yes	
row_11	MPC1	2238	5.128943594172597E-4	-0.041491695	Yes	
row_12	NDUFB8	2389	3.6527603515423834E-4	-0.043249957	Yes	
row_13	COX10	2413	3.4489508834667504E-4	-0.03894298	Yes	
row_14	UQCRB	2438	3.247447602916509E-4	-0.03468376	Yes	
row_15	ACADM	2444	3.199084894731641E-4	-0.029517144	Yes	
row_16	MTRF1	2465	3.0263367807492614E-4	-0.025066895	Yes	
row_17	MRPS12	2475	2.9246072517707944E-4	-0.02009131	Yes	
row_18	ECHS1	2561	2.2724163136444986E-4	-0.018745314	Yes	
row_19	CYCS	2591	2.142457669833675E-4	-0.014724884	Yes	
row_20	SLC25A3	2668	1.8068971985485405E-4	-0.01294907	Yes	
row_21	NQO2	2674	1.776363205863163E-4	-0.007782453	Yes	
row_22	ALAS1	2758	1.408163079759106E-4	-0.006340943	Yes	
row_23	PRDX3	2831	1.0766791820060462E-4	-0.004374097	Yes	
row_24	NDUFB1	2894	8.903984416974708E-5	-0.0019296734	Yes	
row_25	TIMM50	2959	7.315212860703468E-5	4.1923457E-4	Yes	
row_26	COX6A1	2978	6.897062121424824E-5	0.0049650003	Yes	
row_27	DLD	2985	6.709637818858027E-5	0.010083859	Yes	
row_28	UQCRFS1	3150	3.555862349458039E-5	0.0076569896	Yes	
row_29	ETFB	3200	2.7095929908682592E-5	0.010722265	Yes	
row_30	NDUFB2	3205	2.6564128347672522E-5	0.01593664	Yes	
row_31	SDHA	3251	1.8974931663251482E-5	0.019192945	Yes	
row_32	NDUFV2	3258	1.8172753698308952E-5	0.024311803	Yes	
row_33	FDX1	3267	1.6766987755545415E-5	0.029335147	Yes	
row_34	PDHB	3273	1.6235946532106027E-5	0.034501765	Yes	
row_35	PHB2	3384	7.650866791664157E-6	0.034653813	Yes	
row_36	LDHB	3545	1.2757759577652905E-6	0.032417975	Yes	
row_37	PDHA1	3560	1.1013097491741064E-6	0.03715477	Yes	
row_38	ATP6V1H	3784	6.145625093267881E-7	0.031910192	Yes	
row_39	SLC25A4	4661	2.388203483860707E-7	-0.004520211	Yes	
row_40	SLC25A6	4741	2.2453616566053824E-7	-0.0028876693	Yes	
row_41	PHYH	4884	2.0241029119461018E-7	-0.0042638676	Yes	
row_42	SLC25A20	5023	1.8281392044627864E-7	-0.005449035	Yes	
row_43	ACADSB	5202	1.6044778305968066E-7	-0.008544513	Yes	
row_44	TCIRG1	5443	1.3757917827206256E-7	-0.014600974	Yes	
row_45	NDUFAB1	5727	1.1729694904261123E-7	-0.022711018	Yes	
row_46	ETFA	5742	1.1663208709933315E-7	-0.017974222	Yes	
row_47	COX17	5929	1.0576593467703788E-7	-0.021451762	Yes	
row_48	ALDH6A1	5991	1.0241785730613628E-7	-0.01895958	Yes	
row_49	ACAA2	6075	9.803498812743783E-8	-0.01751807	Yes	
row_50	UQCR11	6083	9.757399510590403E-8	-0.012446969	Yes	
row_51	ATP6V0C	6085	9.752331209256226E-8	-0.0070893215	Yes	
row_52	COX8A	6108	9.651599697235724E-8	-0.0027345868	Yes	
row_53	UQCRC2	6201	9.162469183365829E-8	-0.0017228966	Yes	
row_54	SUCLA2	6275	8.836081377694427E-8	1.9619148E-4	Yes	
row_55	MGST3	6279	8.817178809295001E-8	0.0054583238	Yes	
row_56	TIMM8B	6451	8.103172888240806E-8	0.0026971498	Yes	
row_57	VDAC1	6642	7.313464323033259E-8	-9.714217E-4	Yes	
row_58	OGDH	6645	7.301867555042918E-8	0.0043384684	Yes	
row_59	HCCS	6687	7.176135596864697E-8	0.007785805	Yes	
row_60	HSD17B10	6816	6.75905340585814E-8	0.0070782155	Yes	
row_61	TIMM17A	6835	6.689243292612446E-8	0.011623981	Yes	
row_62	ACAT1	6882	6.579661970818051E-8	0.014832529	Yes	
row_63	MTX2	6886	6.577186439926663E-8	0.020094661	Yes	
row_64	NDUFB5	6924	6.466797941584446E-8	0.02373303	Yes	
row_65	GRPEL1	6986	6.298733268295109E-8	0.026225211	Yes	
