NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PEX6	185	1.4013065099716187	0.0018413406	Yes	
row_1	SLC27A2	295	0.4700532853603363	0.007296566	Yes	
row_2	IDH1	393	0.23224610090255737	0.0133224055	Yes	
row_3	ALB	567	0.07100734114646912	0.01573436	Yes	
row_4	CADM1	981	0.013288850896060467	0.0067340448	Yes	
row_5	NUDT19	1065	0.009509346447885036	0.0134256	Yes	
row_6	ABCB1	1097	0.008619696833193302	0.022589812	Yes	
row_7	ATXN1	1458	0.0032806326635181904	0.016109707	Yes	
row_8	ACAA1	1521	0.0027519927825778723	0.023799835	Yes	
row_9	CTBP1	1762	0.0015660013305023313	0.023025865	Yes	
row_10	ABCB4	1860	0.0011932391207665205	0.029051702	Yes	
row_11	SLC35B2	2077	7.25395220797509E-4	0.029418958	Yes	
row_12	RDH11	2085	7.132924511097372E-4	0.0397244	Yes	
row_13	ACOX1	2103	6.905391346663237E-4	0.049554326	Yes	
row_14	ALDH9A1	2133	6.45350432023406E-4	0.058813643	Yes	
row_15	IDI1	2260	4.941601655445993E-4	0.0634605	Yes	
row_16	ABCC5	2266	4.915958852507174E-4	0.07386104	Yes	
row_17	HSD17B4	2346	4.17266070144251E-4	0.0807428	Yes	
row_18	PABPC1	2840	1.0452511196490377E-4	0.067938395	Yes	
row_19	CLN8	2934	7.883884973125532E-5	0.07415444	Yes	
row_20	ACSL5	4048	4.2262956867489265E-7	0.031868342	Yes	
row_21	EHHADH	4321	3.192063786627841E-7	0.029572735	Yes	
row_22	SLC25A4	4661	2.388203483860707E-7	0.024091203	Yes	
row_23	ALDH1A1	4880	2.0317673943281989E-7	0.024363358	Yes	
row_24	DHCR24	5054	1.7896030612973846E-7	0.026775312	Yes	
row_25	SEMA3C	5129	1.6962903259809536E-7	0.033894826	Yes	
row_26	SULT2B1	5226	1.5736149805434252E-7	0.039968215	Yes	
row_27	SOD1	5271	1.5337168690621183E-7	0.048514266	Yes	
row_28	CACNA1B	5423	1.3944307397650846E-7	0.051972345	Yes	
row_29	CLN6	5427	1.3922662844834122E-7	0.06246799	Yes	
row_30	FDPS	5946	1.0488469825986613E-7	0.048474804	Yes	
row_31	MLYCD	6635	7.331216522743489E-8	0.026397932	Yes	
row_32	ISOC1	6858	6.643884375989728E-8	0.026479881	Yes	
row_33	SCP2	7013	6.214239789414933E-8	0.029795308	Yes	
row_34	ABCD1	7041	6.156278686830774E-8	0.039149724	Yes	
row_35	GSTK1	7384	5.3325418747363074E-8	0.033525538	Yes	
row_36	ECI2	7397	5.282105419723848E-8	0.043593224	Yes	
row_37	ABCD3	8118	3.6990090990229874E-8	0.019994715	Yes	
row_38	CTPS1	8245	3.464174724854274E-8	0.024641572	Yes	
row_39	ACOT8	8261	3.445985896632919E-8	0.034566604	Yes	
row_40	IDE	8429	3.1424303159610645E-8	0.037263863	Yes	
row_41	IDH2	8548	2.9465082818092014E-8	0.04229113	Yes	
row_42	ESR2	8886	2.4112068786052987E-8	0.0369047	Yes	
row_43	PEX5	9326	1.7141465136205625E-8	0.026668057	Yes	
row_44	RETSAT	9513	1.4314424312544816E-8	0.028461846	Yes	
row_45	LONP2	9604	1.265762339386356E-8	0.03482054	Yes	
row_46	GNPAT	9869	9.159175640149897E-9	0.032905344	Yes	
row_47	MSH2	10444	9.73303548867932E-10	0.016249299	Yes	
row_48	PEX2	10512	4.5498610434790976E-10	0.023701672	Yes	
row_49	FABP6	11199	-2.1135557748408473E-9	0.0017199025	Yes	
row_50	PEX14	11245	-2.868749238160717E-9	0.0102184	Yes	
row_51	ITGB1BP1	11463	-6.102222727122353E-9	0.010538105	Yes	
row_52	ECH1	11466	-6.124983631394798E-9	0.0210813	Yes	
row_53	PEX11A	11953	-1.3170534884920926E-8	0.008609753	Yes	
row_54	CNBP	11972	-1.352982348379328E-8	0.01839213	Yes	
row_55	EPHX2	12010	-1.4000568704375382E-8	0.027271038	Yes	
row_56	ERCC3	12012	-1.4013418869751604E-8	0.037861783	Yes	
row_57	SLC25A19	12152	-1.609175015460096E-8	0.041890476	Yes	
row_58	CDK7	12192	-1.6688060711089747E-8	0.05067428	Yes	
row_59	PEX13	12196	-1.6730952623333906E-8	0.061169922	Yes	
row_60	HSD11B2	12298	-1.8249060929065308E-8	0.06700556	Yes	
row_61	MVP	12611	-2.3407427107713374E-8	0.06280791	Yes	
row_62	PRDX5	12777	-2.6466819846859835E-8	0.06560027	Yes	
row_63	SMARCC1	13359	-3.6257421953678204E-8	0.048611365	Yes	
row_64	HMGCL	13420	-3.7313430567564865E-8	0.056396596	Yes	
row_65	PEX11B	13487	-3.86136811414417E-8	0.06389652	Yes	
row_66	DLG4	13736	-4.3075875311160416E-8	0.062742144	Yes	
row_67	FIS1	13890	-4.676023479532887E-8	0.06610512	Yes	
row_68	PRDX1	13990	-4.882160808961089E-8	0.07203586	Yes	
row_69	CRABP1	14011	-4.92687064479469E-8	0.08172313	Yes	
row_70	SIAH1	14151	-5.166241123788495E-8	0.085751824	Yes	
row_71	ERCC1	14172	-5.215514420342515E-8	0.0954391	Yes	
row_72	HSD3B7	14488	-6.003638475249318E-8	0.09109879	Yes	
row_73	ELOVL5	14928	-7.32422975602276E-8	0.08086215	Yes	
row_74	ACSL4	14963	-7.447906824609163E-8	0.08988371	Yes	
row_75	VPS4B	14988	-7.54859215135184E-8	0.09938078	Yes	
row_76	SLC23A2	15127	-8.076568747128476E-8	0.10345702	Yes	
row_77	SOD2	15600	-1.0335868694255623E-7	0.091651194	Yes	
row_78	TSPO	15783	-1.1356232221260143E-7	0.09363519	Yes	
row_79	CAT	15905	-1.2154114870099875E-7	0.098519795	Yes	
row_80	HSD17B11	16006	-1.2794133397164842E-7	0.10440298	Yes	
row_81	FADS1	16204	-1.4567788753083732E-7	0.10567371	Yes	
row_82	CEL	16387	-1.6284924697629322E-7	0.1076577	Yes	
row_83	STS	16488	-1.7466356894146884E-7	0.11354089	Yes	
row_84	ACSL1	17081	-2.738632360888005E-7	0.096028924	No	
row_85	DHRS3	18521	-5.3205934818834066E-5	0.038241163	No	
row_86	SLC25A17	18547	-6.005302202538587E-5	0.047690682	No	
row_87	CRAT	18577	-6.71480520395562E-5	0.056949995	No	
row_88	TOP2A	18686	-1.0201999975834042E-4	0.062452774	No	
row_89	ABCB9	19091	-3.43385647283867E-4	0.05388042	No	
row_90	YWHAH	19269	-5.590237560681999E-4	0.056102168	No	
row_91	HRAS	19817	-0.0025031117256730795	0.040730003	No	
row_92	BCL10	20193	-0.00895090401172638	0.03353663	No	
row_93	CRABP2	20330	-0.015178506262600422	0.037707977	No	
