NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TSPAN8	436	0.16428165137767792	-0.010093991	Yes	
row_1	ICA1	565	0.07148865610361099	-0.005542236	Yes	
row_2	SCRN1	919	0.015874259173870087	-0.011689483	Yes	
row_3	STAM	1332	0.004328984301537275	-0.020642247	Yes	
row_4	AP2M1	1817	0.0013453011633828282	-0.03301869	Yes	
row_5	NAPA	2035	7.808205555193126E-4	-0.032698985	Yes	
row_6	AP2S1	2059	7.492131553590298E-4	-0.023154365	Yes	
row_7	ADAM10	2542	2.409145381534472E-4	-0.035435706	Yes	
row_8	DNM1L	2578	2.1809250756632537E-4	-0.026461698	Yes	
row_9	TPD52	2718	1.5837425598874688E-4	-0.022433005	Yes	
row_10	SH3GL2	2900	8.776973118074238E-5	-0.020401461	Yes	
row_11	TMX1	3190	2.8582904633367434E-5	-0.023505436	Yes	
row_12	GOLGA4	3344	9.677816706243902E-6	-0.02014246	Yes	
row_13	CLN5	3351	9.528232112643309E-6	-0.009789469	Yes	
row_14	ATP6V1B1	3638	8.141828402585816E-7	-0.012750791	Yes	
row_15	ATP6V1H	3784	6.145625093267881E-7	-0.009007406	Yes	
row_16	CTSC	4233	3.5183273894290323E-7	-0.01967201	Yes	
row_17	CAV2	4764	2.2092996232458972E-7	-0.034235805	Yes	
row_18	GALC	4870	2.0446516657557368E-7	-0.028590376	Yes	
row_19	RAB5A	4941	1.93585137253649E-7	-0.021280656	Yes	
row_20	KRT18	5148	1.6728097307350254E-7	-0.020437889	Yes	
row_21	SOD1	5271	1.5337168690621183E-7	-0.0156008275	Yes	
row_22	RAB2A	5331	1.4730346720170928E-7	-0.007768046	Yes	
row_23	NAPG	6844	6.677434072344113E-8	-0.069027044	Yes	
row_24	STX12	6904	6.536828323078225E-8	-0.06119426	Yes	
row_25	SCAMP3	7043	6.150469999965935E-8	-0.057118017	Yes	
row_26	ARFGEF2	7087	6.016350084792066E-8	-0.048524417	Yes	
row_27	TMED2	7476	5.0697941844646266E-8	-0.056335952	Yes	
row_28	YKT6	7546	4.8862911938840625E-8	-0.048978683	Yes	
row_29	RER1	7773	4.386312824067318E-8	-0.049086936	Yes	
row_30	USO1	7858	4.194670566448622E-8	-0.042442933	Yes	
row_31	COG2	7971	3.974199103140563E-8	-0.037130363	Yes	
row_32	DST	8129	3.678698590192653E-8	-0.03395759	Yes	
row_33	ARFGAP3	8297	3.376860036041762E-8	-0.03126033	Yes	
row_34	SNX2	8401	3.19370698775856E-8	-0.025519798	Yes	
row_35	AP1G1	8451	3.0963533959038614E-8	-0.017211504	Yes	
row_36	GBF1	8496	3.02917051442364E-8	-0.0086654555	Yes	
row_37	STX7	8541	2.954363864660081E-8	-1.1940766E-4	Yes	
row_38	CD63	8561	2.9276359114760453E-8	0.0096154185	Yes	
row_39	KIF1B	8572	2.9094403330987006E-8	0.019778205	Yes	
row_40	YIPF6	8647	2.7788717105181604E-8	0.02689772	Yes	
row_41	MON2	8653	2.770431706267118E-8	0.037298262	Yes	
row_42	SGMS1	8947	2.3258472481302306E-8	0.03400408	Yes	
row_43	VAMP7	9101	2.0724954197248735E-8	0.037367057	Yes	
row_44	CLTA	9433	1.5562125810220095E-8	0.032265935	Yes	
row_45	RAB9A	9446	1.5401449005025825E-8	0.042333618	Yes	
row_46	OCRL	9451	1.529839011027434E-8	0.052781712	Yes	
row_47	M6PR	9482	1.4653230628880465E-8	0.061993476	Yes	
row_48	SNAP23	9573	1.3290081923855723E-8	0.06835217	Yes	
row_49	IGF2R	9590	1.2958198958301637E-8	0.07822965	Yes	
row_50	ARFIP1	9646	1.19938174947265E-8	0.08625264	Yes	
row_51	BET1	9702	1.117730086264146E-8	0.09427562	Yes	
row_52	TMED10	9835	9.667165734583705E-9	0.09863717	Yes	
row_53	COPB2	9906	8.750123292600165E-9	0.10594689	Yes	
row_54	ARF1	9946	8.257575956349683E-9	0.1147307	Yes	
row_55	COPE	9990	7.618536024267542E-9	0.1233243	Yes	
row_56	GOSR2	10010	7.273253999073859E-9	0.13305913	Yes	
row_57	ATP7A	10041	6.828992482610374E-9	0.1422709	Yes	
row_58	ARFGEF1	10071	6.5178897834528016E-9	0.1515302	Yes	
row_59	ERGIC3	10096	6.227403481773308E-9	0.16102727	Yes	
row_60	VPS45	10236	4.113414053819042E-9	0.16505596	Yes	
row_61	CLTC	10270	3.7018257348364614E-9	0.17412508	Yes	
row_62	RPS6KA3	10471	6.696473930922764E-10	0.17525315	Yes	
row_63	PAM	10521	3.919052582457283E-10	0.18356144	Yes	
row_64	LMAN1	10531	3.4859673481157927E-10	0.19377178	Yes	
