NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OLR1	22	15.271795272827148	0.0041573113	No	
row_1	ICOSLG	54	6.4997711181640625	0.007884659	No	
row_2	SLC16A6	214	1.121008038520813	0.0054969667	No	
row_3	CD83	263	0.6516802906990051	0.00841216	No	
row_4	CCRL2	315	0.39090824127197266	0.011184033	No	
row_5	SERPINE1	691	0.03564368188381195	-0.0015227881	No	
row_6	CSF1	805	0.02403944544494152	-0.0017128878	No	
row_7	NINJ1	943	0.01490400917828083	-0.0030495573	No	
row_8	PLEK	1237	0.005543163977563381	-0.011838931	No	
row_9	TAP1	1697	0.001817300682887435	-0.028558746	No	
row_10	GCH1	1976	9.16569319088012E-4	-0.036631513	No	
row_11	NFKBIE	2137	6.355852237902582E-4	-0.03906698	No	
row_12	TNIP2	2233	5.170826334506273E-4	-0.038397152	No	
row_13	DRAM1	2316	4.4282039743848145E-4	-0.037106264	No	
row_14	PLPP3	2488	2.850492892321199E-4	-0.040067244	No	
row_15	PPP1R15A	3237	2.143907295248937E-5	-0.07059367	No	
row_16	ACKR3	3398	6.265063802857185E-6	-0.07302914	No	
row_17	KYNU	3600	9.327033581030264E-7	-0.07742333	No	
row_18	F3	4189	3.658169873688166E-7	-0.10030595	No	
row_19	TUBB2A	4394	2.984070306411013E-7	-0.10484347	No	
row_20	GEM	4444	2.8481355229814653E-7	-0.101976044	No	
row_21	DUSP2	4462	2.789931556890224E-7	-0.09757987	No	
row_22	SIK1	4654	2.4033326440076053E-7	-0.10149632	No	
row_23	IL6	4727	2.2758575823900173E-7	-0.09972769	No	
row_24	SLC2A6	4930	1.94728102087538E-7	-0.10416965	No	
row_25	SGK1	5024	1.826812194849481E-7	-0.10340428	No	
row_26	LIF	5059	1.783735825711119E-7	-0.099820256	No	
row_27	SQSTM1	5357	1.45096890946661E-7	-0.108800724	No	
row_28	MAP2K3	5372	1.4375699208812875E-7	-0.10426122	No	
row_29	PTPRE	5383	1.4254155189519224E-7	-0.09953062	No	
row_30	DNAJB4	5431	1.3873363968741614E-7	-0.09656766	No	
row_31	JUN	6127	9.562796066120427E-8	-0.12456208	No	
row_32	TRIB1	6285	8.790546246473241E-8	-0.12685423	No	
