NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SSR1	430	0.17313812673091888	-0.011113835	No	
row_1	WFS1	497	0.10527694225311279	-0.0049083554	No	
row_2	ERN1	1556	0.002540420740842819	-0.045902763	No	
row_3	NOP14	1812	0.0013725627213716507	-0.048690006	No	
row_4	WIPI1	1816	0.0013501847861334682	-0.039486952	No	
row_5	NFYB	2055	7.531146402470767E-4	-0.041465327	No	
row_6	EXOC2	2159	6.096531869843602E-4	-0.037020326	No	
row_7	EXOSC5	2291	4.670854250434786E-4	-0.03390758	No	
row_8	POP4	2538	2.4281108926516026E-4	-0.0362666	No	
row_9	NABP1	2635	1.9248061289545149E-4	-0.031488534	No	
row_10	DNAJC3	2964	7.186527363955975E-5	-0.037749156	No	
row_11	EIF4G1	3049	5.2560335461748764E-5	-0.032400128	No	
row_12	PARN	3269	1.657432221691124E-5	-0.033474468	No	
row_13	EXOSC1	3393	6.597195351787377E-6	-0.02998108	No	
row_14	SERP1	3505	1.715881012387399E-6	-0.025916725	No	
row_15	SRPRB	3903	5.091244474897394E-7	-0.0354604	No	
row_16	TUBB2A	4394	2.984070306411013E-7	-0.04942907	No	
row_17	ASNS	5189	1.622778000864855E-7	-0.07786222	No	
row_18	FKBP14	6229	9.061635353191377E-8	-0.11795259	No	
row_19	YWHAZ	6380	8.372867910111381E-8	-0.11574388	No	
row_20	CEBPB	6679	7.213166952624306E-8	-0.12057708	Yes	
row_21	SHC1	6831	6.700665267089789E-8	-0.11841595	Yes	
row_22	PAIP1	6863	6.636098959234005E-8	-0.11054515	Yes	
row_23	HERPUD1	7104	5.981387118936254E-8	-0.112618685	Yes	
row_24	SPCS1	7193	5.782870715620447E-8	-0.10745998	Yes	
row_25	LSM1	7221	5.7258521479752744E-8	-0.09939886	Yes	
row_26	DNAJB9	7250	5.6384511282203675E-8	-0.09138532	Yes	
row_27	HYOU1	7253	5.633679123207003E-8	-0.08213469	Yes	
row_28	NOLC1	7735	4.4980332347677177E-8	-0.09567513	Yes	
row_29	HSPA9	8090	3.7731251012473876E-8	-0.103172846	Yes	
row_30	EIF2AK3	8163	3.6091552857442366E-8	-0.097252846	Yes	
row_31	CNOT2	8184	3.580068508313161E-8	-0.088858664	Yes	
row_32	BAG3	8285	3.403513559874227E-8	-0.084270924	Yes	
row_33	ERO1A	8328	3.321586206084248E-8	-0.07692351	Yes	
row_34	KIF5B	8416	3.1682603207627835E-8	-0.071717225	Yes	
row_35	CALR	8525	2.978188895497169E-8	-0.06751013	Yes	
row_36	XPOT	8582	2.8871831148080673E-8	-0.060828842	Yes	
row_37	NPM1	8736	2.640923035812648E-8	-0.05876287	Yes	
row_38	IMP3	8801	2.555873379606055E-8	-0.05246223	Yes	
row_39	EIF4A1	8815	2.526820708226296E-8	-0.043734983	Yes	
row_40	RPS14	8863	2.4498651995941145E-8	-0.036625475	Yes	
row_41	CEBPG	8938	2.333381132757495E-8	-0.030800639	Yes	
row_42	EIF2S1	8990	2.2424950785193687E-8	-0.023881452	Yes	
row_43	EDC4	9167	1.9751938751255693E-8	-0.022909831	Yes	
row_44	DCP2	9349	1.6785538292651836E-8	-0.022176115	Yes	
row_45	EXOSC4	9405	1.594235676805056E-8	-0.01544725	Yes	
row_46	TSPYL2	9526	1.4115957291949144E-8	-0.0118111195	Yes	
row_47	ZBTB17	9561	1.3528890896452594E-8	-0.004083063	Yes	
row_48	GEMIN4	9632	1.2211371469561527E-8	0.0019320936	Yes	
row_49	ATP6V0D1	9639	1.2118986703057999E-8	0.010992405	Yes	
row_50	EEF2	9747	1.0639983116789153E-8	0.015247081	Yes	
row_51	GOSR2	10010	7.273253999073859E-9	0.012126776	Yes	
row_52	ALDH18A1	10018	7.1688619485144045E-9	0.021139506	Yes	
row_53	YIF1A	10432	1.1103850061644494E-9	0.010834541	Yes	
row_54	SRPRA	10528	3.600643949663862E-10	0.015660185	Yes	
row_55	EDEM1	10537	2.9670646495283393E-10	0.024625335	Yes	
row_56	EIF4EBP1	11104	-6.888016823580756E-10	0.0070405477	Yes	
row_57	HSP90B1	11232	-2.5841273565418987E-9	0.010343614	Yes	
row_58	FUS	11446	-5.835036454016063E-9	0.009554755	Yes	
row_59	ARFGAP1	11512	-6.899238513824457E-9	0.015807815	Yes	
row_60	NOP56	11634	-8.580303578753501E-9	0.019396365	Yes	
row_61	EIF4A2	11719	-9.679654411343108E-9	0.024745394	Yes	
row_62	RRP9	11762	-1.032405627654498E-8	0.032092806	Yes	
row_63	BANF1	11947	-1.3036306256708485E-8	0.032683782	Yes	
row_64	XBP1	11959	-1.328277399181843E-8	0.04150619	Yes	
row_65	SLC30A5	11985	-1.3779499319355182E-8	0.04966247	Yes	
row_66	NHP2	12053	-1.4584548679863474E-8	0.05582037	Yes	
row_67	CNOT6	12058	-1.4733145370371403E-8	0.06497584	Yes	
row_68	DDIT4	12125	-1.5640049255694066E-8	0.07118132	Yes	
row_69	DCTN1	12149	-1.6022548621208443E-8	0.07943276	Yes	
row_70	EXOSC2	12271	-1.7842712196625143E-8	0.08302131	Yes	
row_71	NFYA	12593	-2.3137946669749E-8	0.07709376	Yes	
row_72	PDIA5	12741	-2.5926283342414536E-8	0.07944521	Yes	
row_73	EXOSC10	12797	-2.671026599898596E-8	0.08617408	Yes	
row_74	DDX10	13142	-3.2474297029239096E-8	0.07915217	Yes	
row_75	HSPA5	13175	-3.319253494282748E-8	0.08697538	Yes	
row_76	LSM4	13179	-3.322191588495116E-8	0.096178435	Yes	
