NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AMPH	58	6.203562259674072	0.0044303657	Yes	
row_1	KIT	136	2.4498870372772217	0.007955323	Yes	
row_2	COL3A1	188	1.383139967918396	0.0127192605	Yes	
row_3	PDGFRB	197	1.3041326999664307	0.01953228	Yes	
row_4	SDC2	332	0.34965547919273376	0.020341013	Yes	
row_5	ADGRL2	524	0.08950811624526978	0.018433519	Yes	
row_6	ICA1	565	0.07148865610361099	0.023721639	Yes	
row_7	SERPINE1	691	0.03564368188381195	0.02495925	Yes	
row_8	CELF2	714	0.03238566219806671	0.031105125	Yes	
row_9	PLCB4	836	0.021461116150021553	0.032533348	Yes	
row_10	SCN8A	899	0.017216255888342857	0.0367731	Yes	
row_11	DAB2	1120	0.007980013266205788	0.033483665	Yes	
row_12	INPP4B	1227	0.0057378108613193035	0.035626683	Yes	
row_13	PTPRM	1251	0.00540789682418108	0.04172491	Yes	
row_14	PMP22	1357	0.004169963300228119	0.04391558	Yes	
row_15	PTGFR	1363	0.004089519381523132	0.05087156	Yes	
row_16	VLDLR	1430	0.0035874603781849146	0.0549207	Yes	
row_17	ATXN1	1458	0.0032806326635181904	0.060828313	Yes	
row_18	COL1A2	1460	0.0032645093742758036	0.0679749	Yes	
row_19	PRKCA	1701	0.0017926314612850547	0.06373241	Yes	
row_20	SMAD7	1706	0.0017720304895192385	0.07073604	Yes	
row_21	CDC42BPA	1723	0.001715094200335443	0.07716784	Yes	
row_22	MAPK14	1801	0.0014117013197392225	0.08069279	Yes	
row_23	RUNX1	2027	7.995186606422067E-4	0.0771651	Yes	
row_24	GCNT1	2374	3.87353531550616E-4	0.06787137	Yes	
row_25	PLPP3	2488	2.850492892321199E-4	0.06968082	Yes	
row_26	KALRN	2769	1.3500367640517652E-4	0.063532196	Yes	
row_27	MRPS31	2928	7.989378354977816E-5	0.063197255	Yes	
row_28	APBB2	3141	3.682008173200302E-5	0.060289048	Yes	
row_29	ACVR2A	3207	2.6051451641251333E-5	0.06438584	Yes	
row_30	FBLN5	3412	5.4093925427878276E-6	0.06185886	Yes	
row_31	FZD2	3637	8.163289635376714E-7	0.058378812	Yes	
row_32	BDNF	4126	3.8932370216571144E-7	0.04231835	Yes	
row_33	F3	4189	3.658169873688166E-7	0.046558104	Yes	
row_34	RBPMS	4467	2.7699761062649486E-7	0.040552445	Yes	
row_35	CDON	4553	2.589475514014339E-7	0.043696176	Yes	
row_36	ADD3	4707	2.30286076430275E-7	0.0435995	Yes	
row_37	DDAH1	4816	2.1273166339597083E-7	0.04564721	Yes	
row_38	TFPI	4910	1.984409578881241E-7	0.04840972	Yes	
row_39	INSIG1	4952	1.9245409532686608E-7	0.05365019	Yes	
row_40	ZMIZ1	5006	1.8502802845432598E-7	0.05831882	Yes	
row_41	SYNE1	5033	1.8197206941295008E-7	0.06427409	Yes	
row_42	COL1A1	5083	1.7614951275390922E-7	0.06913333	Yes	
row_43	ADORA2B	5296	1.5070743586420576E-7	0.06622512	Yes	
row_44	IGFBP5	5378	1.431695153542023E-7	0.06955946	Yes	
row_45	CAP2	5430	1.3878614879558882E-7	0.0743234	Yes	
row_46	MAGI2	5448	1.3728258352330158E-7	0.08070754	Yes	
row_47	SLC7A1	5612	1.2545706340461038E-7	0.08013434	No	
row_48	SFMBT1	6436	8.140920471078061E-8	0.048110094	No	
row_49	NEK7	6548	7.692482029142411E-8	0.050014846	No	
row_50	CITED2	6577	7.5954858402838E-8	0.055874802	No	
row_51	ATP2B1	6720	7.086948272672089E-8	0.05630231	No	
row_52	NOTCH2	6753	6.965377963297215E-8	0.061971657	No	
row_53	PRKCE	6916	6.482441960997676E-8	0.0614461	No	
row_54	LTBP1	6920	6.47854818680571E-8	0.06849739	No	
row_55	SNAI2	7128	5.93244138258342E-8	0.065827444	No	
row_56	CDK13	7315	5.503122935124338E-8	0.064158216	No	
row_57	PIK3R3	7357	5.4127003323856115E-8	0.06939869	No	
row_58	AKT3	7377	5.351081711069128E-8	0.07568752	No	
row_59	FHL2	7960	3.9914297644827457E-8	0.05514767	No	
row_60	MIOS	8138	3.6626726540589516E-8	0.053907316	No	
row_61	LAMC1	8675	2.7513937794765297E-8	0.03555951	No	
row_62	CACNA1A	8861	2.4513012064630857E-8	0.033937935	No	
row_63	DYRK1A	8890	2.408581423196665E-8	0.03979789	No	
row_64	SYNJ2	8967	2.2907430619056868E-8	0.043370504	No	
row_65	PTPN21	8974	2.270643228996505E-8	0.050278828	No	
row_66	SRI	9071	2.12000799137968E-8	0.052898377	No	
row_67	MTA1	9431	1.5576665290950586E-8	0.042985164	No	
row_68	NIPBL	9669	1.1727858684196235E-8	0.03888563	No	
row_69	NR1D2	9789	1.017596140684418E-8	0.040409155	No	
row_70	TJP1	9992	7.603322416116498E-9	0.03797748	No	
row_71	ERBB2	10293	3.3983034164464243E-9	0.030875798	No	
row_72	ATRN	10298	3.3458604775660206E-9	0.03787943	No	
row_73	PPARG	10300	3.257273784029735E-9	0.045026023	No	
row_74	MAP2K5	10497	5.411783798869862E-10	0.042880263	No	
row_75	ABCC1	10507	5.163556804355096E-10	0.04964563	No	
row_76	MET	11083	-5.671909608651049E-10	0.02943935	No	
row_77	PRDM2	11099	-6.657919771058118E-10	0.0359188	No	
row_78	ANXA2	11155	-1.2175549457538182E-9	0.040492125	No	
row_79	PEX14	11245	-2.868749238160717E-9	0.043445244	No	
row_80	MAP1B	11324	-4.042469470277865E-9	0.04692255	No	
row_81	ATP2B4	11674	-9.099448305960323E-9	0.037485868	No	
row_82	WDR37	11705	-9.499373732069216E-9	0.04325052	No	
row_83	DLC1	12153	-1.6091847854227126E-8	0.029143836	No	
row_84	CDKN1B	12391	-1.997417342636254E-8	0.0250443	No	
row_85	BCKDHB	12471	-2.105832308529898E-8	0.02847395	No	
row_86	ANXA4	12534	-2.2206393168744398E-8	0.032713704	No	
row_87	TGFBR2	12623	-2.3634211032685926E-8	0.035714477	No	
row_88	CAV1	12695	-2.500475559941151E-8	0.039525352	No	
row_89	SLC22A18	12740	-2.5924860480586176E-8	0.044622865	No	
row_90	YTHDC1	12785	-2.6549143328225E-8	0.049720373	No	
row_91	SCAF8	13146	-3.2573613140129964E-8	0.039759506	No	
row_92	SMAD3	13526	-3.953182314830883E-8	0.028893232	No	
row_93	BHLHE40	13572	-4.032825628996761E-8	0.033943087	No	
row_94	AGGF1	13602	-4.0736978235145216E-8	0.039755393	No	
row_95	DLG1	13611	-4.0878642693087386E-8	0.046568412	No	
row_96	IRS1	13923	-4.7372221700925365E-8	0.03894255	No	
row_97	COL11A1	14026	-4.950164367301113E-8	0.04127618	No	
row_98	ATRX	14283	-5.47949490226074E-8	0.036271237	No	
row_99	VAV2	14367	-5.6997130570835E-8	0.039510272	No	
row_100	NRP1	14524	-6.114619566233159E-8	0.039270636	No	
row_101	ATP2C1	15346	-8.997400158250457E-8	0.0073417	No	
row_102	RND3	15560	-1.0092431068642327E-7	0.0043858383	No	
row_103	PIAS3	15747	-1.1145842648829785E-7	0.0027166093	No	
